italian,english
assistere,to assist
limitare,to limit
riprendere,to resume
mandare,to send
dotare,to endow
prevenire,to prevent
tentare,to attempt
curare,to cure
finalizzare,to finalize
addossare,to place upon
escludere,to exclude
attenere,to pertain
dormire,to sleep
coprire,to cover
preparare,to prepare
consultare,to consult
collegare,to connect
condannare,to condemn
avanzare,to advance
segnare,to mark
esercire,to exercise (rare)
pungere,to sting
puntare,to point
proteggere,to protect
attendere,to wait
descrivere,to describe
distinguere,to distinguish
analizzare,to analyze
esaminare,to examine
facilitare,to facilitate
interpretare,to interpret
elaborare,to process
convenire,to agree / to be worthwhile
provocare,to provoke
togliere,to remove
ribadire,to reiterate
integrare,to integrate
divenire,to become
richiamare,to recall
abbandonare,to abandon
delegare,to delegate
denominare,to name
conservare,to conserve
perseguire,to pursue
contrastare,to contrast
stipulare,to stipulate
situare,to situate
commettere,to commit
giudicare,to judge
ripetere,to repeat
dispiacere,to be displeased / to regret
avvalersi,to avail oneself
usufruire,to make use of
investire,to invest / to hit
guidare,to drive / to guide
completare,to complete
sfruttare,to exploit
insegnare,to teach
incaricare,to charge / to task
redigere,to draft
implicare,to imply
suonare,to play (an instrument) / to ring
finanziare,to finance
identificare,to identify
associare,to associate
emanare,to emanate / to issue
impostare,to set up / to configure
rivedere,to review / to see again
accertare,to ascertain
apportare,to bring (changes)
informare,to inform
illustrare,to illustrate
vietare,to forbid
respingere,to reject / to push back
ospitare,to host
augurare,to wish
risalire,to go back up
giustificare,to justify
sospendere,to suspend
volgere,to turn
voltare,to turn
estendere,to extend
avvicinare,to approach
godere,to enjoy
manifestare,to manifest
collaborare,to collaborate
privare,to deprive
paragrafare,to paragraph
spendere,to spend
convertire,to convert
impiegare,to employ
consegnare,to deliver
contattare,to contact
ritornare,to return
ricostruire,to rebuild
spingere,to push
do,to give
comparire,to appear
concedere,to concede
formulare,to formulate
arrestare,to arrest
desiderare,to desire
causare,to cause
sorgere,to rise
cancellare,to delete
denunciare,to report
ordinare,to order
suggerire,to suggest
tirare,to pull
negare,to deny
dividere,to divide
divisare,to devise
sposare,to marry
ispirare,to inspire
rinviare,to postpone
intraprendere,to undertake
designare,to designate
selezionare,to select
rinnovare,to renew
includere,to include
saltare,to jump
ritrovare,to find again
percorrere,to travel along
distruggere,to destroy
distribuire,to distribute
piangere,to cry
nascondere,to hide
trasferire,to transfer
sperimentare,to experiment
intitolare,to entitle
aderire,to adhere
accusare,to accuse
governare,to govern
camminare,to walk
mirare,to aim
conquistare,to conquer
sopprimere,to suppress
apprezzare,to appreciate
versare,to pour
frequentare,to attend
emettere,to emit
soffrire,to suffer
bloccare,to block
promettere,to promise
sopravvivere,to survive
stimolare,to stimulate
sfuggire,to escape
resistere,to resist
unire,to join
cantare,to sing
ricercare,to search for
calcolare,to calculate
fronteggiare,to face
generare,to generate
avvalere,to make use of
degradare,to degrade
incrementare,to increase
indurre,to induce
confrontare,to compare
impugnare,to grasp
viaggiare,to travel
scusare,to excuse
salvaguardare,to safeguard
battere,to beat
agevolare,to facilitate
specificare,to specify
cliccare,to click
restituire,to return
necessitare,to need
collocare,to place
rimuovere,to remove
incidere,to engrave
consigliare,to advise
correlare,to correlate
ostare,to hinder
riunire,to reunite
constatare,to ascertain
cedere,to give in
maturare,to mature
volare,to fly
subordinare,to subordinate
visualizzare,to visualize
punire,to punish
ferire,to wound
ammirare,to admire
sollevare,to lift
erogare,to provide
ritirare,to withdraw
sedere,to sit
coordinare,to coordinate
liberare,to free
articolare,to articulate
allegare,to attach
motivare,to motivate
misurare,to measure
migrare,to migrate
attraversare,to cross
insistere,to insist
fuggire,to flee
notificare,to notify
rilanciare,to relaunch
circondare,to surround
lottare,to fight
ripartire,to restart
spostare,to move
depositare,to deposit
peccare,to sin
tagliare,to cut
aggiornare,to update
guadagnare,to earn
diminuire,to decrease
ragionare,to reason
installare,to install
alzare,to raise
abituare,to accustom
trascorrere,to spend time
tradurre,to translate
apprendere,to learn
regolare,to regulate
risparmiare,to save
abrogare,to abrogate
presiedere,to preside
accennare,to hint
convocare,to convene
incentivare,to incentivize
sommare,to add
rifiutare,to refuse
praticare,to practice
progettare,to design
compilare,to compile
rompere,to break
ampliare,to expand
competere,to compete
adeguare,to adjust
attaccare,to attack
pronunciare,to pronounce
pretendere,to claim
elencare,to list
connettere,to connect
avversare,to oppose
pregare,to pray
reperire,to find
preoccupare,to worry
precedere,to precede
sopportare,"to bear, to tolerate"
recitare,"to act, to recite"
indettare,to dictate
indire,"to call, to announce"
sconoscere,to not know
celebrare,to celebrate
concepire,to conceive
smettere,to stop
potenziare,"to strengthen, to empower"
suscitare,to arouse
corredare,"to outfit, to equip"
accelerare,to accelerate
conferire,"to confer, to bestow"
scomparire,to disappear
accrescere,"to increase, to grow"
presupporre,to presuppose
concorrere,"to compete, to concur"
pescare,to fish
indirizzare,"to address, to direct"
interrompere,to interrupt
concordare,"to agree, to reconcile"
rivestire,"to coat, to cover, to hold a post"
ballare,to dance
sognare,to dream
percepire,to perceive
tesare,to tension
udire,to hear
separare,to separate
accorgere,to notice
accortare,to shorten
locare,"to rent, to lease"
adattare,to adapt
reagire,to react
configurare,to configure
indagare,to investigate
raccomandare,to recommend
sussistere,"to subsist, to exist"
abitare,"to live, to dwell"
scorrere,"to flow, to run"
temere,to fear
attestare,"to attest, to certify"
coincidere,to coincide
idrogenare,to hydrogenate
vantare,to boast
disegnare,to draw
sparare,to shoot
programmare,to program
riempire,to fill
spesare,to provide for expenses
disciplinare,to discipline
variare,to vary
stimare,to estimate
orientare,to orient
auspicare,to hope for
beneficiare,to benefit
equivalere,to be equivalent
monitorare,to monitor
rimettere,to put back
particolare,to particularize
fumare,to smoke
scappare,to escape
allargare,to widen
esplorare,to explore
candidare,to nominate
prescrivere,to prescribe
deliberare,to deliberate
rimandare,to postpone
ignorare,to ignore
sollecitare,to urge
fregare,to scrub / to cheat
munire,to equip
regalare,to give as a gift
vestire,to dress
anticipare,to anticipate
riprodurre,to reproduce
prevalere,to prevail
fruire,to enjoy / to use
sancire,to ratify/sanction
alimentare,to feed
riscontrare,to find/encounter
inaugurare,to inaugurate
elevare,to elevate
trainare,to tow
navigare,to navigate
interagire,to interact
evincere,to deduce
abbattere,to knock down
durare,to last
consolidare,to consolidate
obbligare,to oblige
sconfiggere,to defeat
festeggiare,to celebrate
testimoniare,to testify
animare,to animate
supportare,to support
cuocere,to cook
appienare,to complete
siglare,to sign
sciogliere,to melt
spiacere,to be sorry
opporre,to oppose
rodere,to gnaw
sensibilizzare,to sensitize
coltivare,to cultivate
licere,to be allowed
inventare,to invent
stampare,to print
sorridere,to smile
dialogare,to dialogue
figurare,to appear
lamentare,to lament
tacere,to be silent
ripristinare,to restore
allontanare,to move away
abbassare,to lower
dominare,to dominate
indossare,to wear
incoraggiare,to encourage
ricoprire,to cover
scambiare,to exchange
narrare,to narrate
convalidare,to validate
attirare,to attract
laureare,to graduate
suddividere,to subdivide
trasportare,to transport
colmare,to fill
catturare,to capture
innamorare,to make someone fall in love
pendere,to hang
pesare,to weigh
esigere,to demand
ideare,to conceive/to design
gettare,to throw
vigere,to be in force
semplificare,to simplify
appoggiare,to lean/to support
telefonare,to phone
ipotizzare,to hypothesize
soffermare,to dwell upon
criticare,to criticize
conciliare,to reconcile
esplodere,to explode
classificare,to classify
adibire,to use for a purpose
premettere,to premise/to preface
scattare,to snap/to trigger
buttare,to throw
educare,to educate
influenzare,to influence
esaurire,to exhaust
delineare,to delineate
infare,to flour
annullare,to cancel
scadere,to expire
riproporre,to propose again
consumare,to consume
divertire,to amuse
coire,to copulate
replicare,to reply/to replicate
arricchire,to enrich
respirare,to breathe
fingere,to pretend
fintare,to feint
spedire,to ship
angere,to anguish
proclamare,to proclaim
agitare,to shake
gridare,to shout
tifare,to support
convivere,to live together
cessare,to cease
svegliare,to wake up
compromettere,to compromise
concentrare,to concentrate
tracciare,to trace
ottimizzare,to optimize
coniugare,to conjugate
sparire,to disappear
riposare,to rest
appaltare,to contract out
piare,to chirp
domandare,to ask
assolvere,to absolve
autenticare,to authenticate
prenotare,to book
allestire,to prepare
relazionare,to report
adempiere,to fulfill
preannunciare,to announce beforehand
violare,to violate
donare,to donate
protestare,to protest
privilegiare,to favor
ricavare,to derive
ricominciare,to start over
retribuire,to pay
compensare,to compensate
gustare,to taste
trascurare,to neglect
prorogare,to extend
isolare,to isolate
instaurare,to establish
adorare,to adore
intestare,to put in one's name
spargere,to scatter
decentrare,to decentralize
minacciare,to threaten
premere,to press
disturbare,to disturb
montare,to mount
preservare,to preserve
confondere,to confuse
numerare,to number
copiare,to copy
detenere,to detain
discendere,to descend
omettere,to omit
reggere,to support/hold up
domare,to tame
dedurre,to deduce
sorprendere,to surprise
scapitare,to lose
condizionare,to condition
affacciare,to face
stanziare,to allocate
rifare,to redo
spiccare,to stand out
prescegliere,to choose beforehand
perseguitare,to persecute
mutare,to change
complimentare,to compliment
varare,to launch
certificare,to certify
nutrire,to nourish
sottrarre,to subtract
vigilare,to watch over
recepire,to transpose
contestare,to contest
centrare,to center
menzionare,to mention
aggirare,to circumvent
piovere,to rain
accendere,to turn on
sottovalutare,to underestimate
astenere,to abstain
riparare,to repair
codificare,to codify
rubare,to steal
industrializzare,to industrialize
ammontare,to amount
rivivere,to relive
stupire,to astonish
inquadrare,to frame
caricare,to load
aire,to air/to plow (archaic)
ricondurre,to bring back
insulinare,to treat with insulin
ripensare,to rethink
ingrossare,to enlarge
inverare,to verify
premiare,to reward
penetrare,to penetrate
riscoprire,to rediscover
cubare,to calculate the volume (of)
assomigliare,to resemble
stringere,to tighten
divergere,to diverge
ridare,to give back
sistemare,to arrange
incentrare,to center
riempiere,to fill
giurare,to swear
danneggiare,to damage
documentare,to document
affiancare,to place side by side
compire,to accomplish
compitare,to spell
schermare,to shield
trattenere,to detain
riassumere,to summarize
eccettare,to except
orlare,to hem
salutare,to greet
intuire,to intuit
tradire,to betray
attingere,to draw from
sommergere,to submerge
impartire,to impart
espellere,to expel
immergere,to immerse
prospettare,to envision/prospect
intravedere,to glimpse
strutturare,to structure
fammare,to make/to do (dialectal)
ambientare,to set (in a scene)
deludere,to disappoint
apprestare,to prepare
riscuotere,to collect/cash
bruciare,to burn
comprovare,to prove
guarire,to heal
rimediare,to remedy
collare,to collar
rivendicare,to claim/vindicate
riprovare,to retry/reprove
attentare,to attempt (a crime)
attere,to beat/thresh
moderare,to moderate
suicidare,to kill (someone else) in a suicide fashion
influire,to influence
urlare,to shout/scream
giovare,to be useful/to help
invadere,to invade
invasare,to possess (demons)/to pot
racchiudere,to enclose
costatare,to note/to verify
scaturire,to spring forth/to arise
rassicurare,to reassure
spegnere,to extinguish/to turn off
illuminare,to illuminate/to light up
sconvolgere,to disrupt/to upset
riaprire,to reopen
comandare,to command/to order
abbracciare,to hug/to embrace
uscitare,to cause to go out
rispecchiare,to reflect
scongiurare,to avert/to beg
offendere,to offend
optare,to opt
evolversi,to evolve
implementare,to implement
qualificare,to qualify
esibire,to exhibit/to show
ovviare,to remedy/to avoid
ricoverare,to hospitalize/to shelter
scatenare,to unleash
inoltrare,to forward
esportare,to export
accumulare,to accumulate
proiettare,to project
svelare,to unveil/to reveal
estrarre,to extract
insorgere,to rise up/to protest
pere,to perish
ostacolare,to hinder
frenare,to brake
nocere,to harm
progredire,to progress
immettere,to insert
permanere,to remain
piantare,to plant
cacciare,to hunt
fotografare,to photograph
abolire,to abolish
regnare,to reign
intrecciare,to weave
sfiorare,to graze
razionalizzare,to rationalize
ristabilire,to restore
gallare,to fertilize
editare,to edit
sequestrare,to seize
assorbire,to absorb
ripercorrere,to retrace
ubicare,to locate
esaltare,to exalt
dubitare,to doubt
modulare,to modulate
approfittare,to take advantage
appellare,to appeal
eccheggiare,to echo
riformare,to reform
accorrere,to rush
imitare,to imitate
stendere,to spread
interrogare,to interrogate
ozonare,to ozonize
dipingere,to paint
abilitare,to enable
assassinare,to murder
contemplare,to contemplate
parare,to parry
idrocarburare,to process hydrocarbons
schedare,to file
apporre,to affix
appostare,to lie in wait
affascinare,to fascinate
regolamentare,to regulate
rallentare,to slow down
attrarre,to attract
ingannare,to deceive
supporre,to suppose
risentire,to hear again / to resent
scivolare,to slide
contraddistinguere,to distinguish
rintracciare,to trace / to track down
ratificare,to ratify
contentare,to satisfy
sfidare,to challenge
innescare,to trigger / to prime
impoverire,to impoverish
spezzare,to break
alterare,to alter
prelevare,to withdraw
testare,to test
rileggere,to reread
amiantare,to coat with asbestos
accontentare,to satisfy
sementare,to sow
odiare,to hate
arginare,to dam / to contain
inseguire,to chase
susseguire,to follow
trascinare,to drag
affondare,to sink
sanare,to cure / to heal
onorare,to honor
addire,to add/to agree
calare,to lower / to drop
pulire,to clean
avvolgere,to wrap
avvoltare,to wrap / to fold
pianificare,to plan
prefiggere,to prefix / to set as a goal
smentire,to deny
scorgere,to glimpse
procurare,to procure / to obtain
rapire,to kidnap
invocare,to invoke
avvincere,to bind / to grip
distare,to be located at a distance
fallire,to fail
poggiare,to rest/lay
delinquere,to commit a crime
accorgersi,to notice/realize
equiparare,to equate
esclamare,to exclaim
cucinare,to cook
ricreare,to recreate
requisire,to requisition
strappare,to tear/rip
assimilare,to assimilate
abbinare,to match/combine
evocare,to evoke
impazzire,to go crazy
perdonare,to forgive
lavare,to wash
alternare,to alternate
proibire,to prohibit
ristrutturare,to restructure/renovate
circolare,to circulate
accomunare,to unite/share
incorrere,to incur
staccare,to detach
sarare,to fence in
ricadere,to fall back
armonizzare,to harmonize
differenziare,to differentiate
sacrificare,to sacrifice
ruotare,to rotate
esimere,to exempt
subìre,to undergo/suffer
subìtare,to cause to undergo
adire,to approach/resort to
presumere,to presume
licenziare,to fire/dismiss
deputare,to depute
complicare,to complicate
recensire,to review
travolgere,to overwhelm/run over
spuntare,to appear/trim
digitare,to type
rammentare,to remind
contrarre,to contract
esagerare,to exaggerate
bocciare,to fail/reject
divulgare,to divulge
moltiplicare,to multiply
interferire,to interfere
alleviare,to alleviate
scavare,to dig
invertire,to reverse
legittimare,to legitimize
ridefinire,to redefine
conformare,to conform
spassare,to amuse
convenzionare,to contract/to formalize an agreement
schierare,to deploy/to line up
linkare,to link
pregiudicare,to prejudice/to jeopardize
minimizzare,to minimize
snodare,to unknot/to unfold
veicolare,to convey
personalizzare,to personalize
preporre,to prefer/to place before
approdare,to land/to arrive
ereditare,to inherit
rovinare,to ruin
scoppiare,to burst
eccedere,to exceed
visionare,to view/to examine
precipitare,to fall/to rush
mollare,to release/to let go
ritardare,to delay
spaventare,to frighten
osare,to dare
mescolare,to mix
pensionare,to retire
raffreddare,to cool down
tamburare,to drum
forzare,to force
scherzare,to joke
contrapporre,to oppose
espletare,to perform
allungare,to lengthen
constare,to consist
enunciare,to enunciate
suire,to follow
lucere,to shine
autostimare,to self-esteem
quantificare,to quantify
vincolare,to bind
nuotare,to swim
tappare,to plug
fungere,to serve as
declinare,to decline
reprimere,to repress
spaziare,to range
originare,to originate
posare,to pose
assoggettare,to subjugate
litigare,to argue
manipolare,to manipulate
combinare,to combine
peggiorare,to worsen
posizionare,to position
incombere,to be imminent
badare,to take care
gravare,to weigh down
incominciare,to begin
accreditare,to accredit
memorizzare,to memorize
concretizzare,to concretize
entusiasmare,to thrill
amministrare,to administer
riaffermare,to reaffirm
sintetizzare,to synthesize
cooperare,to cooperate
sbattere,"to slam, to beat"
consacrare,to consecrate
scoraggiare,to discourage
interpellare,"to interpellate, to consult"
perfezionare,"to perfect, to improve"
ammazzare,to kill
negoziare,to negotiate
tollerare,to tolerate
passeggiare,to walk
diversificare,to diversify
riformulare,to reformulate
recedere,"to withdraw, to recede"
somigliare,to resemble
meditare,to meditate
decollare,to take off
ricomprendere,"to include, to comprehend"
intensificare,to intensify
crollare,to collapse
celare,to conceal
scuotere,to shake
vertere,"to turn on, to be about"
rilassare,to relax
tremare,to tremble
assaggiare,to taste
confessare,to confess
demandare,to delegate
radicare,to root
scalare,"to climb, to scale"
esordire,"to debut, to begin"
bandire,"to ban, to proclaim"
liquidare,to liquidate
denotare,to denote
censurare,to censor
prolungare,to prolong
reputare,"to deem, to consider"
confluire,to flow together
innalzare,"to raise, to exalt"
schiacciare,"to crush, to press"
degnare,to deign
regolarizzare,to regularize
trasparire,"to show through, to be evident"
allenare,to train
contrare,to counter
attenuare,to attenuate
rinvenire,to recover
sopravvenire,to supervene
tritare,to mince
accordare,to agree/tune
cimentare,to attempt
giacere,to lie down
piegare,to bend
aspirare,to aspire
paragonare,to compare
devolere,to devolve
gareggiare,to compete
grattugiare,to grate
destare,to awaken
rapare,to crop/shave
sopperire,to provide for/supply
rimborsare,to reimburse
appassionare,to fascinate
decretare,to decree
fondere,to melt/merge
sbloccare,to unblock
custodire,to guard/keep
derogare,to derogate
partorire,to give birth
rinchiudere,to lock up
validare,to validate
terrificare,to terrify
spaccare,to break/split
gradire,to appreciate
risorgere,to rise again
subentrare,to step in
brillare,to shine
eludere,to elude
centralizzare,to centralize
oppiare,to drug/dull
focalizzare,to focus
risarcire,to compensate
riscrivere,to rewrite
esplicare,to explain
aggredire,to attack
battezzare,to baptize
raggruppare,to group
consorziare,to form a consortium
infliggere,to inflict
abbreviare,to abbreviate
improntare,to imprint
afferrare,to grasp
confidare,to confide
novare,to innovate
novere,to number
rinascere,to be reborn
assaporare,to savor
capere,to be contained
oscillare,to oscillate
pubblicizzare,to publicize
raffigurare,to represent
assecondare,to follow
rovesciare,to overturn
fidare,to trust
discapire,to experience a loss
discapitare,to lose advantage
emozionare,to thrill
obbedire,to obey
stilare,to draw up
bollire,to boil
decifrare,to decipher
decrescere,to decrease
sedare,to sedate
cavernare,to create caves
simulare,to simulate
infilare,to insert
popolare,to populate
dimettere,to resign
restaurare,to restore
smaltire,to dispose of
contaminare,to contaminate
scommettere,to bet
innovare,to innovate
appropriare,to appropriate
interattivare,to turn interactive
commissionare,to commission
dislocare,to dislocate
torcere,to twist
incassare,to cash
incorporare,to incorporate
largire,to bestow
scontare,to discount
scontrare,to clash
turbare,to disturb
decadere,to decay
aggiudicare,to adjudicate
fiorire,to bloom
penalizzare,to penalize
annoverare,to enumerate
imprimere,to imprint
profilare,to profile
sciare,to ski
alfare,to be the alpha
mobilitare,to mobilize
raddoppiare,to double
distendere,to spread
soggiornare,to stay
sottostare,to be subject to
bipartisare,to bipartite
espandere,to expand
facere,to do/make (archaic)
tessere,to weave
arrecare,to cause
convergere,to converge
impressionare,to impress
distorcere,to distort
imputare,to impute
incrociare,to cross
nuocere,to harm
evolvere,to evolve
arrendere,to surrender
scaldare,to heat
mentire,to lie
sezionare,to dissect
coadiuvare,to assist
specchiare,to reflect
avvelenare,to poison
armare,to arm
legiferare,to legislate
banire,to ban
intercettare,to intercept
avvisare,to warn
incuriosire,to intrigue
devastare,to devastate
imboccare,to enter/to feed
disperdere,to disperse
somministrare,to administer
emigrare,to emigrate
oltreoceare,to go beyond the ocean
istruire,to instruct
contendere,to contend
sfilare,to parade
riciclare,to recycle
chiacchierare,to chat
concertare,to plan
esortare,to urge
polire,to polish
rigettare,to reject
riconquistare,to reconquer
equivalentare,to equate
soffiare,to blow
automatizzare,to automate
affiggere,to affix
affissare,to put up
ultimare,to finish
agliare,to add garlic to
adoperare,to use
esplicitare,to make explicit
asciugare,to dry
edificare,to build
ribattere,to retort
obiettare,to object
precludere,to preclude
ritrarre,to portray
smontare,to dismantle
presidere,to preside
usufruttare,to have the usufruct of
aggravare,to aggravate
mobiliare,to furnish
decedere,to pass away
appendere,to hang
rapportare,to relate
allineare,to align
comperare,to buy
solere,to be accustomed to
proliferare,to proliferate
potassiare,to treat with potassium
affittare,to rent
contrassegnare,to mark
riconfermare,to reconfirm
intervistare,to interview
delimitare,to delimit
congelare,to freeze
indovinare,to guess
attrezzare,to equip
comodare,to accommodate
tralasciare,to omit
riorganizzare,to reorganize
arredare,to furnish
domiciliare,to domicile
beccare,to peck
predicare,to preach
sprecare,to waste
rinforzare,to reinforce
girellare,to wander
evadere,to evade
indebolire,to weaken
serbare,to keep
esitare,to hesitate
affliggere,to afflict
trascrivere,to transcribe
lievitare,to rise
argomentare,to argue
differire,to differ
pervadere,to pervade
scandire,to articulate
levare,to lift
alludere,to allude
uniformare,to standardize
filtrare,to filter
insediare,to install
ridimensionare,to resize
sigillare,to seal
ottemperare,to comply
soffocare,to suffocate
frammentare,to fragment
autotutelare,to self-protect
rassegnare,to resign
transitare,to transit
intercorrere,to intervene
riconsiderare,to reconsider
deporre,to depose
confezionare,to package
consolare,to console
sospettare,to suspect
seminare,to sow
digerire,to digest
piazzare,to place
globalizzare,to globalize
quire,to seek
invidiare,to envy
vergognare,to shame
orzare,to luff
alleggerire,to lighten
propiare,to propitiate
fruttare,to yield
riscattare,to redeem
addestrare,to train
commisurare,to measure out
ricalcare,to trace
pipire,to chirp
deviare,to deviate
sfondare,to break through
debuttare,to debut
fluire,to flow
computare,to compute
accantonare,to set aside
sfogliare,to leaf through
unificare,to unify
esonerare,to exonerate
archiviare,to file
risvegliare,to awaken
immatricolare,to register
alberare,to hoist
ricomporre,to recompose
scovare,to discover
disputare,to dispute
accentuare,to accentuate
contraddire,to contradict
rimarcare,to remark
condire,to season
addormentare,to put to sleep
impadronirsi,to take possession of
predeterminare,to predetermine
generalizzare,to generalize
demolire,to demolish
intimare,to summon
autogestire,to self-manage
ergere,to erect
ancorare,to anchor
allevare,to raise
ripulire,to clean up
vanificare,to make vain
stravolgere,to distort
rimpiangere,to regret
cagare,to shit
affettare,to slice
mediare,to mediate
marcare,to mark
protrarre,to extend
riequilibrare,to rebalance
accingere,to prepare
localizzare,to localize
rosolare,to brown
dismettere,to decommission
omologare,to approve
vendicare,to avenge
insinuare,to insinuate
commuovere,to move
riordinare,to reorganize
sciorare,to air out
erigere,to erect
informatizzare,to computerize
restringere,to restrict
diplomare,to graduate/to award a diploma
contrattare,to negotiate
incollare,to glue
ledere,to harm/to injure
persistere,to persist
discostare,to move away
parimentare,to pave
gratificare,to gratify
annotare,to annotate/to note down
spiare,to spy
gioire,to rejoice
ravvisare,to notice/to recognize
riqualificare,to retrain/to redevelop
romare,to roam
