italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
approvare,to approve,approvo,I approve,approvi,you approve,approva,he/she approves,approviamo,we approve,approvate,you all approve,approvano,they approve
vivere,to live,vivo,I live,vivi,you live,vive,he/she lives,viviamo,we live,vivete,you all live,vivono,they live
ottenere,to obtain,ottengo,I obtain,ottieni,you obtain,ottiene,he/she obtains,otteniamo,we obtain,ottenete,you all obtain,ottengono,they obtain
presentare,to present,presento,I present,presenti,you present,presenta,he/she presents,presentiamo,we present,presentate,you all present,presentano,they present
significare,to mean,significo,I mean,significhi,you mean,significa,he/she means,significhiamo,we mean,significate,you all mean,significano,they mean
venire,to come,vengo,I come,vieni,you come,viene,he/she comes,veniamo,we come,venite,you all come,vengono,they come
esistere,to exist,esisto,I exist,esisti,you exist,esiste,he/she exists,esistiamo,we exist,esistete,you all exist,esistono,they exist
parere,to seem,paio,I seem,pari,you seem,pare,he/she seems,paiamo,we seem,parete,you all seem,paiono,they seem
rappresentare,to represent,rappresento,I represent,rappresenti,you represent,rappresenta,he/she represents,rappresentiamo,we represent,rappresentate,you all represent,rappresentano,they represent
continuare,to continue,continuo,I continue,continui,you continue,continua,he/she continues,continuiamo,we continue,continuate,you all continue,continuano,they continue
rendere,to render,rendo,I render,rendi,you render,rende,he/she renders,rendiamo,we render,rendete,you all render,rendono,they render
pubblicare,to publish,pubblico,I publish,pubblichi,you publish,pubblica,he/she publishes,pubblichiamo,we publish,pubblicate,you all publish,pubblicano,they publish
decidere,to decide,decido,I decide,decidi,you decide,decide,he/she decides,decidiamo,we decide,decidete,you all decide,decidono,they decide
conoscere,to know,conosco,I know,conosci,you know,conosce,he/she knows,conosciamo,we know,conoscete,you all know,conoscono,they know
intendere,to intend,intendo,I intend,intendi,you intend,intende,he/she intends,intendiamo,we intend,intendete,you all intend,intendono,they intend
realizzare,to realize,realizzo,I realize,realizzi,you realize,realizza,he/she realizes,realizziamo,we realize,realizzate,you all realize,realizzano,they realize
bastare,to suffice,basto,I am enough,basti,you are enough,basta,he/she is enough,bastiamo,we are enough,bastate,you all are enough,bastano,they are enough
chiedere,to ask,chiedo,I ask,chiedi,you ask,chiede,he/she asks,chiediamo,we ask,chiedete,you all ask,chiedono,they ask
portare,to carry,porto,I carry,porti,you carry,porta,he/she carries,portiamo,we carry,portate,you all carry,portano,they carry
diventare,to become,divento,I become,diventi,you become,diventa,he/she becomes,diventiamo,we become,diventate,you all become,diventano,they become
apparire,to appear,appaio,I appear,appari,you appear,appare,he/she appears,appariamo,we appear,apparite,you all appear,appaiono,they appear
ritenere,to consider,ritengo,I believe,ritieni,you believe,ritiene,he/she believes,riteniamo,we believe,ritenete,you all believe,ritengono,they believe
proporre,to propose,propongo,I propose,proponi,you propose,propone,he/she proposes,proponiamo,we propose,proponete,you all propose,propongono,they propose
porgere,to offer/give,porgo,I offer,porgi,you offer,porge,he/she offers,porgiamo,we offer,porgete,you all offer,porgono,they offer
utilizzare,to utilize,utilizzo,I utilize,utilizzi,you utilize,utilizza,he/she utilizes,utilizziamo,we utilize,utilizzate,you all utilize,utilizzano,they utilize
tenere,to hold,tengo,I hold,tieni,you hold,tiene,he/she holds,teniamo,we hold,tenete,you all hold,tengono,they hold
arrivare,to arrive,arrivo,I arrive,arrivi,you arrive,arriva,he/she arrives,arriviamo,we arrive,arrivate,you all arrive,arrivano,they arrive
occorrere,to need,occorro,I need,occorri,you need,occorre,he/she needs,occorriamo,we need,occorrete,you all need,occorrono,they need
raggiungere,to reach,raggiungo,I reach,raggiungi,you reach,raggiunge,he/she reaches,raggiungiamo,we reach,raggiungete,you all reach,raggiungono,they reach
restare,to remain,resto,I stay,resti,you stay,resta,he/she stays,restiamo,we stay,restate,you all stay,restano,they stay
affrontare,to face,affronto,I face,affronti,you face,affronta,he/she faces,affrontiamo,we face,affrontate,you all face,affrontano,they face
consentire,to allow,consento,I allow,consenti,you allow,consente,he/she allows,consentiamo,we allow,consentite,you all allow,consentono,they allow
permettere,to permit,permetto,I permit,permetti,you permit,permette,he/she permits,permettiamo,we permit,permettete,you all permit,permettono,they permit
fornire,to provide,fornisco,I provide,fornisci,you provide,fornisce,he/she provides,forniamo,we provide,fornite,you all provide,forniscono,they provide
passare,to pass,passo,I pass,passi,you pass,passa,he/she passes,passiamo,we pass,passate,you all pass,passano,they pass
cercare,to look for,cerco,I look for,cerchi,you look for,cerca,he/she looks for,cerchiamo,we look for,cercate,you all look for,cercano,they look for
valere,to be worth,valgo,I am worth,vali,you are worth,vale,he/she is worth,valiamo,we are worth,valete,you all are worth,valgono,they are worth
lavorare,to work,lavoro,I work,lavori,you work,lavora,he/she works,lavoriamo,we work,lavorate,you all work,lavorano,they work
spiegare,to explain,spiego,I explain,spieghi,you explain,spiega,he/she explains,spieghiamo,we explain,spiegate,you all explain,spiegano,they explain
partecipare,to participate,partecipo,I participate,partecipi,you participate,partecipa,he/she participates,partecipiamo,we participate,partecipate,you all participate,partecipano,they participate
usare,to use,uso,I use,usi,you use,usa,he/she uses,usiamo,we use,usate,you all use,usano,they use
offrire,to offer,offro,I offer,offri,you offer,offre,he/she offers,offriamo,we offer,offrite,you all offer,offrono,they offer
ricordare,to remember,ricordo,I remember,ricordi,you remember,ricorda,he/she remembers,ricordiamo,we remember,ricordate,you all remember,ricordano,they remember
leggere,to read,leggo,I read,leggi,you read,legge,he/she reads,leggiamo,we read,leggete,you all read,leggono,they read
riuscire,to succeed,riesco,I succeed,riesci,you succeed,riesce,he/she succeeds,riusciamo,we succeed,riuscite,you all succeed,riescono,they succeed
costituire,to constitute,costituisco,I constitute,costituisci,you constitute,costituisce,he/she constitutes,costituiamo,we constitute,costituite,you all constitute,costituiscono,they constitute
considerare,to consider,considero,I consider,consideri,you consider,considera,he/she considers,consideriamo,we consider,considerate,you all consider,considerano,they consider
rimanere,to remain,rimango,I remain,rimani,you remain,rimane,he/she remains,rimaniamo,we remain,rimanete,you all remain,rimangono,they remain
rimare,to rhyme,rimo,I rhyme,rimi,you rhyme,rima,he/she rhymes,rimiamo,we rhyme,rimate,you all rhyme,rimano,they rhyme
entrare,to enter,entro,I enter,entri,you enter,entra,he/she enters,entriamo,we enter,entrate,you all enter,entrano,they enter
costruire,to build,costruisco,I build,costruisci,you build,costruisce,he/she builds,costruiamo,we build,costruite,you all build,costruiscono,they build
piacere,to please,piaccio,I am pleasing,piaci,you are pleasing,piace,he/she is pleasing,piacciamo,we are pleasing,piacete,you all are pleasing,piacciono,they are pleasing
rispondere,to respond,rispondo,I answer,rispondi,you answer,risponde,he/she answers,rispondiamo,we answer,rispondete,you all answer,rispondono,they answer
seguire,to follow,seguo,I follow,segui,you follow,segue,he/she follows,seguiamo,we follow,seguite,you all follow,seguono,they follow
nascere,to be born,nasco,I am born,nasci,you are born,nasce,he/she is born,nasciamo,we are born,nascete,you all are born,nascono,they are born
natare,to swim,nato,I swim,nati,you swim,nata,he/she swims,natiamo,we swim,natate,you all swim,natano,they swim
promuovere,to promote,promuovo,I promote,promuovi,you promote,promuove,he/she promotes,promuoviamo,we promote,promuovete,you all promote,promuovono,they promote
dichiarare,to declare,dichiaro,I declare,dichiari,you declare,dichiara,he/she declares,dichiariamo,we declare,dichiarate,you all declare,dichiarano,they declare
dedicare,to dedicate,dedico,I dedicate,dedichi,you dedicate,dedica,he/she dedicates,dedichiamo,we dedicate,dedicate,you all dedicate,dedicano,they dedicate
definire,to define,definisco,I define,definisci,you define,definisce,he/she defines,definiamo,we define,definite,you all define,definiscono,they define
sostenere,to support/sustain,sostengo,I support,sostieni,you support,sostiene,he/she supports,sosteniamo,we support,sostenete,you all support,sostengono,they support
assicurare,to ensure/insure,assicuro,I ensure,assicuri,you ensure,assicura,he/she ensures,assicuriamo,we ensure,assicurate,you all ensure,assicurano,they ensure
favorire,to favor,favorisco,I favor,favorisci,you favor,favorisce,he/she favors,favoreiamo,we favor,favorite,you all favor,favoriscono,they favor
esprimere,to express,esprimo,I express,esprimi,you express,esprime,he/she expresses,esprimiamo,we express,esprimete,you all express,esprimono,they express
svolgere,to carry out/perform,svolgo,I perform,svolgi,you perform,svolge,he/she performs,svolgiamo,we perform,svolgete,you all perform,svolgono,they perform
porre,to place/put,pongo,I place,poni,you place,pone,he/she places,poniamo,we place,ponete,you all place,pongono,they place
postare,to post (online),posto,I post,posti,you post,posta,he/she posts,postiamo,we post,postate,you all post,postano,they post
sentire,to feel/hear,sento,I hear,senti,you hear,sente,he/she hears,sentiamo,we hear,sentite,you all hear,sentono,they hear
servire,to serve/need,servo,I serve,servi,you serve,serve,he/she serves,serviamo,we serve,servite,you all serve,servono,they serve
capitare,to happen,capito,I happen,capiti,you happen,capita,he/she happens,capitiamo,we happen,capitate,you all happen,capitano,they happen
perdere,to lose,perdo,I lose,perdi,you lose,perde,he/she loses,perdiamo,we lose,perdete,you all lose,perdono,they lose
cambiare,to change,cambio,I change,cambi,you change,cambia,he/she changes,cambiamo,we change,cambiate,you all change,cambiano,they change
indicare,to indicate,indico,I indicate,indichi,you indicate,indica,he/she indicates,indichiamo,we indicate,indicate,you all indicate,indicano,they indicate
procedere,to proceed,procedo,I proceed,procedi,you proceed,procede,he/she proceeds,procediamo,we proceed,procedete,you all proceed,procedono,they proceed
svoltare,to turn,svolto,I turn,svolti,you turn,svolta,he/she turns,svoltiamo,we turn,svoltate,you all turn,svoltano,they turn
avvenire,to happen,avvengo,I happen,avvieni,you happen,avviene,he/she happens,avveniamo,we happen,avvenite,you all happen,avvengono,they happen
effettuare,to carry out,effettuo,I effect,effettui,you effect,effettua,he/she effects,effettuiamo,we effect,effettuate,you all effect,effettuano,they effect
tornare,to return,torno,I return,torni,you return,torna,he/she returns,torniamo,we return,tornate,you all return,tornano,they return
verificare,to verify,verifico,I verify,verifichi,you verify,verifica,he/she verifies,verifichiamo,we verify,verificate,you all verify,verificano,they verify
stabilire,to establish,stabilisco,I establish,stabilisci,you establish,stabilisce,he/she establishes,stabiliamo,we establish,stabilite,you all establish,stabiliscono,they establish
recare,to bring/carry,reco,I bring,rechi,you bring,reca,he/she brings,rechiamo,we bring,recate,you all bring,recano,they bring
richiedere,to request,richiedo,I request,richiedi,you request,richiede,he/she requests,richiediamo,we request,richiedete,you all request,richiedono,they request
mantenere,to maintain,mantengo,I maintain,mantieni,you maintain,mantiene,he/she maintains,manteniamo,we maintain,mantenete,you all maintain,mantengono,they maintain
affermare,to affirm/state,affermo,I affirm,affermi,you affirm,afferma,he/she affirms,affermiamo,we affirm,affermate,you all affirm,affermano,they affirm
lasciare,to leave,lascio,I leave,lasci,you leave,lascia,he/she leaves,lasciamo,we leave,lasciate,you all leave,lasciano,they leave
scegliere,to choose,scelgo,I choose,scegli,you choose,sceglie,he/she chooses,scegliamo,we choose,scegliete,you all choose,scelgono,they choose
migliorare,to improve,miglioro,I improve,migliori,you improve,migliora,he/she improves,miglioriamo,we improve,migliorate,you all improve,migliorano,they improve
disporre,to arrange/dispose,dispongo,I arrange,disponi,you arrange,dispone,he/she arranges,disponiamo,we arrange,disponete,you all arrange,dispongono,they arrange
chiamare,to call,chiamo,I call,chiami,you call,chiama,he/she calls,chiamiamo,we call,chiamate,you all call,chiamano,they call
valutare,to evaluate,valuto,I evaluate,valuti,you evaluate,valuta,he/she evaluates,valutiamo,we evaluate,valutate,you all evaluate,valutano,they evaluate
individuare,to identify,individuo,I identify,individui,you identify,individua,he/she identifies,individuiamo,we identify,individuate,you all identify,individuano,they identify
provenire,to come from,provengo,I come from,proveni,you come from,proviene,he/she comes from,proveniamo,we come from,provenite,you all come from,provengono,they come from
derivare,to derive,derivo,I derive,derivi,you derive,deriva,he/she derives,deriviamo,we derive,derivate,you all derive,derivano,they derive
pagare,to pay,pago,I pay,paghi,you pay,paga,he/she pays,paghiamo,we pay,pagate,you all pay,pagano,they pay
ricevere,to receive,ricevo,I receive,ricevi,you receive,riceve,he/she receives,riceviamo,we receive,ricevete,you all receive,ricevono,they receive
aggiungere,to add,aggiungo,I add,aggiungi,you add,aggiunge,he/she adds,aggiungiamo,we add,aggiungete,you all add,aggiungono,they add
superare,to overcome/exceed,supero,I overcome,superi,you overcome,supera,he/she overcomes,superiamo,we overcome,superate,you all overcome,superano,they overcome
iniziare,to start,inizio,I start,inizi,you start,inizia,he/she starts,iniziamo,we start,iniziate,you all start,iniziano,they start
intervenire,to intervene,intervengo,I intervene,intervieni,you intervene,interviene,he/she intervenes,interveniamo,we intervene,intervenite,you all intervene,intervengono,they intervene
aprire,to open,apro,I open,apri,you open,apre,he/she opens,apriamo,we open,aprite,you all open,aprono,they open
organizzare,to organize,organizzo,I organize,organizzi,you organize,organizza,he/she organizes,organizziamo,we organize,organizzate,you all organize,organizzano,they organize
contenere,to contain,contengo,I contain,contieni,you contain,contiene,he/she contains,conteniamo,we contain,contenete,you all contain,contengono,they contain
uscire,to exit,esco,I go out,esci,you go out,esce,he/she goes out,usciamo,we go out,uscite,you all go out,escono,they go out
ridurre,to reduce,riduco,I reduce,riduci,you reduce,riduce,he/she reduces,riduciamo,we reduce,riducete,you all reduce,riducono,they reduce
comportare,to entail,comporto,I entail,comporti,you entail,comporta,he/she entails,comportiamo,we entail,comportate,you all entail,comportano,they entail
modificare,to modify,modifico,I modify,modifichi,you modify,modifica,he/she modifies,modifichiamo,we modify,modificate,you all modify,modificano,they modify
risolvere,to resolve,risolvo,I solve,risolvi,you solve,risolve,he/she solves,risolviamo,we solve,risolvete,you all solve,risolvono,they solve
guardare,to look,guardo,I watch,guardi,you watch,guarda,he/she watches,guardiamo,we watch,guardate,you all watch,guardano,they watch
provvedere,to provide,provvedo,I provide,provvedi,you provide,provvede,he/she provides,provvediamo,we provide,provvedete,you all provide,provvedono,they provide
inserire,to insert,inserisco,I insert,inserisci,you insert,inserisce,he/she inserts,inseriamo,we insert,inserite,you all insert,inseriscono,they insert
cominciare,to begin,comincio,I begin,cominci,you begin,comincia,he/she begins,cominciamo,we begin,cominciate,you all begin,cominciano,they begin
applicare,to apply,applico,I apply,applichi,you apply,applica,he/she applies,applichiamo,we apply,applicate,you all apply,applicano,they apply
produrre,to produce,produco,I produce,produci,you produce,produce,he/she produces,produciamo,we produce,producete,you all produce,producono,they produce
destinare,to earmark,destino,I designate,destini,you designate,destina,he/she designates,destiniamo,we designate,destinate,you all designate,destinano,they designate
comprendere,to understand/include,comprendo,I understand,comprendi,you understand,comprende,he/she understands,comprendiamo,we understand,comprendete,you all understand,comprendono,they understand
assumere,to assume/hire,assumo,I assume,assumi,you assume,assume,he/she assumes,assumiamo,we assume,assumete,you all assume,assumono,they assume
sostituire,to replace,sostituisco,I replace,sostituisci,you replace,sostituisce,he/she replaces,sostituiamo,we replace,sostituite,you all replace,sostituiscono,they replace
seguitare,to continue,seguito,I continue,seguiti,you continue,seguita,he/she continues,seguitiamo,we continue,seguitate,you all continue,seguitano,they continue
sottolineare,to underline,sottolineo,I underline,sottolinei,you underline,sottolinea,he/she underlines,sottolineiamo,we underline,sottolineate,you all underline,sottolineano,they underline
accedere,to access,accedo,I access,accedi,you access,accede,he/she accesses,accediamo,we access,accedete,you all access,accedono,they access
sviluppare,to develop,sviluppo,I develop,sviluppi,you develop,sviluppa,he/she develops,sviluppiamo,we develop,sviluppate,you all develop,sviluppano,they develop
giocare,to play,gioco,I play,giochi,you play,gioca,he/she plays,giochiamo,we play,giocate,you all play,giocano,they play
dimostrare,to demonstrate,dimostro,I demonstrate,dimostri,you demonstrate,dimostra,he/she demonstrates,dimostriamo,we demonstrate,dimostrate,you all demonstrate,dimostrano,they demonstrate
riconoscere,to recognize,riconosco,I recognize,riconosci,you recognize,riconosce,he/she recognizes,riconosciamo,we recognize,riconoscete,you all recognize,riconoscono,they recognize
adottare,to adopt,adotto,I adopt,adotti,you adopt,adotta,he/she adopts,adottiamo,we adopt,adottate,you all adopt,adottano,they adopt
sperare,to hope,spero,I hope,speri,you hope,spera,he/she hopes,speriamo,we hope,sperate,you all hope,sperano,they hope
gestire,to manage,gestisco,I manage,gestisci,you manage,gestisce,he/she manages,gestiamo,we manage,gestite,you all manage,gestiscono,they manage
raccontare,to tell,racconto,I tell,racconti,you tell,racconta,he/she tells,raccontiamo,we tell,raccontate,you all tell,raccontano,they tell
comporre,to compose,compongo,I compose,componi,you compose,compone,he/she composes,componiamo,we compose,componete,you all compose,compongono,they compose
aiutare,to help,aiuto,I help,aiuti,you help,aiuta,he/she helps,aiutiamo,we help,aiutate,you all help,aiutano,they help
mancare,to lack/miss,manco,I am missing,manchi,you are missing,manca,he/she is missing,manchiamo,we are missing,mancate,you all are missing,mancano,they are missing
finire,to finish,finisco,I finish,finisci,you finish,finisce,he/she finishes,finiamo,we finish,finite,you all finish,finiscono,they finish
operare,to operate,opero,I operate,operi,you operate,opera,he/she operates,operiamo,we operate,operate,you all operate,operano,they operate
comunicare,to communicate,comunico,I communicate,comunichi,you communicate,comunica,he/she communicates,comunichiamo,we communicate,comunicate,you all communicate,comunicano,they communicate
vincere,to win,vinco,I win,vinci,you win,vince,he/she wins,vinciamo,we win,vincete,you all win,vincono,they win
occupare,to occupy,occupo,I occupy,occupi,you occupy,occupa,he/she occupies,occupiamo,we occupy,occupate,you all occupy,occupano,they occupy
aumentare,to increase,aumento,I increase,aumenti,you increase,aumenta,he/she increases,aumentiamo,we increase,aumentate,you all increase,aumentano,they increase
succedere,to happen,succedo,I happen,succedi,you happen,succede,he/she happens,succediamo,we happen,succedete,you all happen,succedono,they happen
consistere,to consist,consisto,I consist,consisti,you consist,consiste,he/she consists,consistiamo,we consist,consistete,you all consist,consistono,they consist
agire,to act,agisco,I act,agisci,you act,agisce,he/she acts,agiamo,we act,agite,you all act,agiscono,they act
concernere,to concern,concerno,I concern,concerni,you concern,concerne,he/she concerns,concerniamo,we concern,concernete,you all concern,concergono,they concern
scoprire,to discover,scopro,I discover,scopri,you discover,scopre,he/she discovers,scopriamo,we discover,scoprite,you all discover,scoprono,they discover
notare,to notice,noto,I notice,noti,you notice,nota,he/she notices,notiamo,we notice,notate,you all notice,notano,they notice
provare,to try,provo,I try,provi,you try,prova,he/she tries,proviamo,we try,provate,you all try,provano,they try
accettare,to accept,accetto,I accept,accetti,you accept,accetta,he/she accepts,accettiamo,we accept,accettate,you all accept,accettano,they accept
discutere,to discuss,discuto,I discuss,discuti,you discuss,discute,he/she discusses,discutiamo,we discuss,discutete,you all discuss,discutono,they discuss
dipendere,to depend,dipendo,I depend,dipendi,you depend,dipende,he/she depends,dipendiamo,we depend,dipendete,you all depend,dipendono,they depend
osservare,to observe,osservo,I observe,osservi,you observe,osserva,he/she observes,osserviamo,we observe,osservate,you all observe,osservano,they observe
legare,to tie,lego,I tie,leghi,you tie,lega,he/she ties,leghiamo,we tie,legate,you all tie,legano,they tie
rischiare,to risk,rischio,I risk,rischi,you risk,rischia,he/she risks,rischiamo,we risk,rischiate,you all risk,rischiano,they risk
crescere,to grow,cresco,I grow,cresci,you grow,cresce,he/she grows,cresciamo,we grow,crescete,you all grow,crescono,they grow
interessare,to interest,interesso,I interest,interessi,you interest,interessa,he/she interests,interessiamo,we interest,interessate,you all interest,interessano,they interest
mostrare,to show,mostro,I show,mostri,you show,mostra,he/she shows,mostriamo,we show,mostrate,you all show,mostrano,they show
riferire,to report,riferisco,I report,riferisci,you report,riferisce,he/she reports,riferiamo,we report,riferite,you all report,riferiscono,they report
determinare,to determine,determino,I determine,determini,you determine,determina,he/she determines,determiniamo,we determine,determinate,you all determine,determinano,they determine
iscrivere,to enroll,iscrivo,I enroll,iscrivi,you enroll,iscrive,he/she enrolls,iscriviamo,we enroll,iscrivete,you all enroll,iscrivono,they enroll
riportare,to bring back,riporto,I bring back,riporti,you bring back,riporta,he/she brings back,riportiamo,we bring back,riportate,you all bring back,riportano,they bring back
decorrere,to elapse,decorro,I run,decorri,you run,decorre,he/she runs,decorriamo,we run,decorrete,you all run,decorrono,they run
morire,to die,muoio,I die,muori,you die,muore,he/she dies,moriamo,we die,morite,you all die,muoiono,they die
controllare,to control,controllo,I control,controlli,you control,controlla,he/she controls,controlliamo,we control,controllate,you all control,controllano,they control
ascoltare,to listen,ascolto,I listen,ascolti,you listen,ascolta,he/she listens,ascoltiamo,we listen,ascoltate,you all listen,ascoltano,they listen
confermare,to confirm,confermo,I confirm,confermi,you confirm,conferma,he/she confirms,confermiamo,we confirm,confermate,you all confirm,confermano,they confirm
concludere,to conclude,concludo,I conclude,concludi,you conclude,conclude,he/she concludes,concludiamo,we conclude,concludete,you all conclude,concludono,they conclude
coinvolgere,to involve,coinvolgo,I involve,coinvolgi,you involve,coinvolge,he/she involves,coinvolgiamo,we involve,coinvolgete,you all involve,coinvolgono,they involve
accadere,to happen,accado,I happen,accadi,you happen,accade,he/she happens,accadiamo,we happen,accadete,you all happen,accadono,they happen
mangiare,to eat,mangio,I eat,mangi,you eat,mangia,he/she eats,mangiamo,we eat,mangiate,you all eat,mangiano,they eat
rivolgere,to turn,rivolgo,I turn,rivolgi,you turn,rivolge,he/she turns,rivolgiamo,we turn,rivolgete,you all turn,rivolgono,they turn
rivoltare,to turn over,rivolto,I overturn,rivolti,you overturn,rivolta,he/she overturns,rivoltiamo,we overturn,rivoltate,you all overturn,rivoltano,they overturn
proseguire,to continue,proseguo,I continue,prosegui,you continue,prosegue,he/she continues,proseguiamo,we continue,proseguite,you all continue,proseguono,they continue
registrare,to register,registro,I record,registri,you record,registra,he/she records,registriamo,we record,registrate,you all record,registrano,they record
funzionare,to function,funziono,I function,funzioni,you function,funziona,he/she functions,funzioniamo,we function,funzionate,you all function,funzionano,they function
votare,to vote,voto,I vote,voti,you vote,vota,he/she votes,votiamo,we vote,votate,you all vote,votano,they vote
compiere,to accomplish,compio,I accomplish,compi,you accomplish,compie,he/she accomplishes,compiamo,we accomplish,compiete,you all accomplish,compiono,they accomplish
rispettare,to respect,rispetto,I respect,rispetti,you respect,rispetta,he/she respects,rispettiamo,we respect,rispettate,you all respect,rispettano,they respect
combattere,to fight,combatto,I fight,combatti,you fight,combatte,he/she fights,combattiamo,we fight,combattete,you all fight,combattono,they fight
imparare,to learn,imparo,I learn,impari,you learn,impara,he/she learns,impariamo,we learn,imparate,you all learn,imparano,they learn
formare,to form,formo,I form,formi,you form,forma,he/she forms,formiamo,we form,formate,you all form,formano,they form
colpire,to hit,colpisco,I hit,colpisci,you hit,colpisce,he/she hits,colpiamo,we hit,colpite,you all hit,colpiscono,they hit
dimenticare,to forget,dimentico,I forget,dimentichi,you forget,dimentica,he/she forgets,dimentichiamo,we forget,dimenticate,you all forget,dimenticano,they forget
impegnare,to commit,impegno,I engage,impegni,you engage,impegna,he/she engages,impegniamo,we engage,impegnate,you all engage,impegnano,they engage
difendere,to defend,difendo,I defend,difendi,you defend,difende,he/she defends,difendiamo,we defend,difendete,you all defend,difendono,they defend
appartenere,to belong,appartengo,I belong,appartieni,you belong,appartiene,he/she belongs,apparteniamo,we belong,appartenete,you all belong,appartengono,they belong
annunciare,to announce,annuncio,I announce,annunci,you announce,annuncia,he/she announces,annunciamo,we announce,annunciate,you all announce,annunciano,they announce
tendere,to tend,tendo,I stretch,tendi,you stretch,tende,he/she stretches,tendiamo,we stretch,tendete,you all stretch,tendono,they stretch
fissare,to fix,fisso,I fix,fissi,you fix,fissa,he/she fixes,fissiamo,we fix,fissate,you all fix,fissano,they fix
riflettere,to reflect,rifletto,I reflect,rifletti,you reflect,riflette,he/she reflects,riflettiamo,we reflect,riflettete,you all reflect,riflettono,they reflect
firmare,to sign,firmo,I sign,firmi,you sign,firma,he/she signs,firmiamo,we sign,firmate,you all sign,firmano,they sign
