italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
credere,to believe,ho creduto,I have believed/I believed,hai creduto,you have believed/you believed,ha creduto,he/she has believed/believed,abbiamo creduto,we have believed/we believed,avete creduto,you all have believed/you all believed,hanno creduto,they have believed/they believed
trovare,to find,ho trovato,I have found/I found,hai trovato,you have found/you found,ha trovato,he/she has found/found,abbiamo trovato,we have found/we found,avete trovato,you all have found/you all found,hanno trovato,they have found/they found
prevedere,to foresee/predict,ho previsto,I have foreseen/I foresaw,hai previsto,you have foreseen/you foresaw,ha previsto,he/she has foreseen/foresaw,abbiamo previsto,we have foreseen/we foresaw,avete previsto,you all have foreseen/you all foresaw,hanno previsto,they have foreseen/they foresaw
partire,to leave,sono partito/a,I have left/I left,sei partito/a,you have left/you left,è partito/a,he/she has left/left,siamo partiti/e,we have left/we left,siete partiti/e,you all have left/you all left,sono partiti/e,they have left/they left
capire,to understand,ho capito,I have understood/I understood,hai capito,you have understood/you understood,ha capito,he/she has understood/understood,abbiamo capito,we have understood/we understood,avete capito,you all have understood/you all understood,hanno capito,they have understood/they understood
pensare,to think,ho pensato,I have thought/I thought,hai pensato,you have thought/you thought,ha pensato,he/she has thought/thought,abbiamo pensato,we have thought/we thought,avete pensato,you all have thought/you all thought,hanno pensato,they have thought/they thought
mettere,to put,ho messo,I have put/I put,hai messo,you have put/you put,ha messo,he/she has put/put,abbiamo messo,we have put/we put,avete messo,you all have put/you all put,hanno messo,they have put/they put
prendere,to take,ho preso,I have taken/I took,hai preso,you have taken/you took,ha preso,he/she has taken/took,abbiamo preso,we have taken/we took,avete preso,you all have taken/you all took,hanno preso,they have taken/they took
inviare,to send,ho inviato,I have sent/I sent,hai inviato,you have sent/you sent,ha inviato,he/she has sent/sent,abbiamo inviato,we have sent/we sent,avete inviato,you all have sent/you all sent,hanno inviato,they have sent/they sent
evitare,to avoid,ho evitato,I have avoided/I avoided,hai evitato,you have avoided/you avoided,ha evitato,he/she has avoided/avoided,abbiamo evitato,we have avoided/we avoided,avete evitato,you all have avoided/you all avoided,hanno evitato,they have avoided/they avoided
bisognare,to be necessary,è bisognato,it was necessary,è bisognato,it was necessary,è bisognato,it was necessary,è bisognato,it was necessary,è bisognato,it was necessary,è bisognato,it was necessary
creare,to create,ho creato,I have created/I created,hai creato,you have created/you created,ha creato,he/she has created/created,abbiamo creato,we have created/we created,avete creato,you all have created/you all created,hanno creato,they have created/they created
risultare,to result/turn out,sono risultato/a,I have resulted/I resulted,sei risultato/a,you have resulted/you resulted,è risultato/a,he/she has resulted/resulted,siamo risultati/e,we have resulted/we resulted,siete risultati/e,you all have resulted/you all resulted,sono risultati/e,they have resulted/they resulted
garantire,to guarantee,ho garantito,I have guaranteed/I guaranteed,hai garantito,you have guaranteed/you guaranteed,ha garantito,he/she has guaranteed/guaranteed,abbiamo garantito,we have guaranteed/we guaranteed,avete garantito,you all have guaranteed/you all guaranteed,hanno garantito,they have guaranteed/they guaranteed
approvare,to approve,ho approvato,I have approved/I approved,hai approvato,you have approved/you approved,ha approvato,he/she has approved/approved,abbiamo approvato,we have approved/we approved,avete approvato,you all have approved/you all approved,hanno approvato,they have approved/they approved
vivere,to live,ho vissuto,I have lived/I lived,hai vissuto,you have lived/you lived,ha vissuto,he/she has lived/lived,abbiamo vissuto,we have lived/we lived,avete vissuto,you all have lived/you all lived,hanno vissuto,they have lived/they lived
ottenere,to obtain,ho ottenuto,I have obtained/I obtained,hai ottenuto,you have obtained/you obtained,ha ottenuto,he/she has obtained/obtained,abbiamo ottenuto,we have obtained/we obtained,avete ottenuto,you all have obtained/you all obtained,hanno ottenuto,they have obtained/they obtained
presentare,to present,ho presentato,I have presented/I presented,hai presentato,you have presented/you presented,ha presentato,he/she has presented/presented,abbiamo presentato,we have presented/we presented,avete presentato,you all have presented/you all presented,hanno presentato,they have presented/they presented
significare,to mean,ho significato,I have meant/I meant,hai significato,you have meant/you meant,ha significato,he/she has meant/meant,abbiamo significato,we have meant/we meant,avete significato,you all have meant/you all meant,hanno significato,they have meant/they meant
venire,to come,sono venuto/a,I have come/I came,sei venuto/a,you have come/you came,è venuto/a,he/she has come/came,siamo venuti/e,we have come/we came,siete venuti/e,you all have come/you all came,sono venuti/e,they have come/they came
esistere,to exist,sono esistito/a,I have existed,sei esistito/a,you have existed,è esistito/a,he/she has existed,siamo esistiti/e,we have existed,siete esistiti/e,you all have existed,sono esistiti/e,they have existed
parere,to seem,sono parso/a,I have seemed,sei parso/a,you have seemed,è parso/a,he/she has seemed,siamo parsi/e,we have seemed,siete parsi/e,you all have seemed,sono parsi/e,they have seemed
rappresentare,to represent,ho rappresentato,I have represented,hai rappresentato,you have represented,ha rappresentato,he/she has represented,abbiamo rappresentato,we have represented,avete rappresentato,you all have represented,hanno rappresentato,they have represented
continuare,to continue,ho continuato,I have continued,hai continuato,you have continued,ha continuato,he/she has continued,abbiamo continuato,we have continued,avete continuato,you all have continued,hanno continuato,they have continued
rendere,to render,ho reso,I have rendered,hai reso,you have rendered,ha reso,he/she has rendered,abbiamo reso,we have rendered,avete reso,you all have rendered,hanno reso,they have rendered
pubblicare,to publish,ho pubblicato,I have published,hai pubblicato,you have published,ha pubblicato,he/she has published,abbiamo pubblicato,we have published,avete pubblicato,you all have published,hanno pubblicato,they have published
decidere,to decide,ho deciso,I have decided,hai deciso,you have decided,ha deciso,he/she has decided,abbiamo deciso,we have decided,avete deciso,you all have decided,hanno deciso,they have decided
conoscere,to know,ho conosciuto,I have known,hai conosciuto,you have known,ha conosciuto,he/she has known,abbiamo conosciuto,we have known,avete conosciuto,you all have known,hanno conosciuto,they have known
intendere,to intend,ho inteso,I have intended,hai inteso,you have intended,ha inteso,he/she has intended,abbiamo inteso,we have intended,avete inteso,you all have intended,hanno inteso,they have intended
realizzare,to realize,ho realizzato,I have realized,hai realizzato,you have realized,ha realizzato,he/she has realized,abbiamo realizzato,we have realized,avete realizzato,you all have realized,hanno realizzato,they have realized
bastare,to suffice,sono bastato/a,I have been enough,sei bastato/a,you have been enough,è bastato/a,he/she has been enough,siamo bastati/e,we have been enough,siete bastati/e,you all have been enough,sono bastati/e,they have been enough
chiedere,to ask,ho chiesto,I have asked,hai chiesto,you have asked,ha chiesto,he/she has asked,abbiamo chiesto,we have asked,avete chiesto,you all have asked,hanno chiesto,they have asked
portare,to carry,ho portato,I have brought,hai portato,you have brought,ha portato,he/she has brought,abbiamo portato,we have brought,avete portato,you all have brought,hanno portato,they have brought
diventare,to become,sono diventato/a,I have become,sei diventato/a,you have become,è diventato/a,he/she has become,siamo diventati/e,we have become,siete diventati/e,you all have become,sono diventati/e,they have become
apparire,to appear,sono apparso/a,I have appeared,sei apparso/a,you have appeared,è apparso/a,he/she has appeared,siamo apparsi/e,we have appeared,siete apparsi/e,you all have appeared,sono apparsi/e,they have appeared
ritenere,to consider,ho ritenuto,I have considered,hai ritenuto,you have considered,ha ritenuto,he/she has considered,abbiamo ritenuto,we have considered,avete ritenuto,you all have considered,hanno ritenuto,they have considered
proporre,to propose,ho proposto,I have proposed,hai proposto,you have proposed,ha proposto,he/she has proposed,abbiamo proposto,we have proposed,avete proposto,you all have proposed,hanno proposto,they have proposed
porgere,to offer/give,ho porto,I have offered,hai porto,you have offered,ha porto,he/she has offered,abbiamo porto,we have offered,avete porto,you all have offered,hanno porto,they have offered
utilizzare,to utilize,ho utilizzato,I have used,hai utilizzato,you have used,ha utilizzato,he/she has used,abbiamo utilizzato,we have used,avete utilizzato,you all have used,hanno utilizzato,they have used
tenere,to hold,ho tenuto,I have held,hai tenuto,you have held,ha tenuto,he/she has held,abbiamo tenuto,we have held,avete tenuto,you all have held,hanno tenuto,they have held
arrivare,to arrive,sono arrivato/a,I arrived,sei arrivato/a,you arrived,è arrivato/a,he/she arrived,siamo arrivati/e,we arrived,siete arrivati/e,you all arrived,sono arrivati/e,they arrived
occorrere,to need,sono occorso/a,it was necessary for me,sei occorso/a,it was necessary for you,è occorso/a,it was necessary for him/her,siamo occorsi/e,it was necessary for us,siete occorsi/e,it was necessary for you all,sono occorsi/e,it was necessary for them
raggiungere,to reach,ho raggiunto,I reached,hai raggiunto,you reached,ha raggiunto,he/she reached,abbiamo raggiunto,we reached,avete raggiunto,you all reached,hanno raggiunto,they reached
restare,to remain,sono restato/a,I remained,sei restato/a,you remained,è restato/a,he/she remained,siamo restati/e,we remained,siete restati/e,you all remained,sono restati/e,they remained
affrontare,to face,ho affrontato,I faced/tackled,hai affrontato,you faced/tackled,ha affrontato,he/she faced/tackled,abbiamo affrontato,we faced/tackled,avete affrontato,you all faced/tackled,hanno affrontato,they faced/tackled
consentire,to allow,ho consentito,I allowed,hai consentito,you allowed,ha consentito,he/she allowed,abbiamo consentito,we allowed,avete consentito,you all allowed,hanno consentito,they allowed
permettere,to permit,ho permesso,I permitted,hai permesso,you permitted,ha permesso,he/she permitted,abbiamo permesso,we permitted,avete permesso,you all permitted,hanno permesso,they permitted
fornire,to provide,ho fornito,I provided,hai fornito,you provided,ha fornito,he/she provided,abbiamo fornito,we provided,avete fornito,you all provided,hanno fornito,they provided
passare,to pass,sono/ho passato/a,I passed/spent,sei/hai passato/a,you passed/spent,è/ha passato/a,he/she passed/spent,siamo/abbiamo passato/i/e,we passed/spent,siete/avete passato/i/e,you all passed/spent,sono/hanno passato/i/e,they passed/spent
cercare,to look for,ho cercato,I looked for,hai cercato,you looked for,ha cercato,he/she looked for,abbiamo cercato,we looked for,avete cercato,you all looked for,hanno cercato,they looked for
valere,to be worth,ho valso,I was worth,hai valso,you were worth,ha valso,he/she was worth,abbiamo valso,we were worth,avete valso,you all were worth,hanno valso,they were worth
lavorare,to work,ho lavorato,I worked,hai lavorato,you worked,ha lavorato,he/she worked,abbiamo lavorato,we worked,avete lavorato,you all worked,hanno lavorato,they worked
spiegare,to explain,ho spiegato,I explained,hai spiegato,you explained,ha spiegato,he/she explained,abbiamo spiegato,we explained,avete spiegato,you all explained,hanno spiegato,they explained
partecipare,to participate,ho partecipato,I participated,hai partecipato,you participated,ha partecipato,he/she participated,abbiamo partecipato,we participated,avete partecipato,you all participated,hanno partecipato,they participated
usare,to use,ho usato,I used,hai usato,you used,ha usato,he/she used,abbiamo usato,we used,avete usato,you all used,hanno usato,they used
offrire,to offer,ho offerto,I offered,hai offerto,you offered,ha offerto,he/she offered,abbiamo offerto,we offered,avete offerto,you all offered,hanno offerto,they offered
ricordare,to remember,ho ricordato,I remembered,hai ricordato,you remembered,ha ricordato,he/she remembered,abbiamo ricordato,we remembered,avete ricordato,you all remembered,hanno ricordato,they remembered
leggere,to read,ho letto,I read,hai letto,you read,ha letto,he/she read,abbiamo letto,we read,avete letto,you all read,hanno letto,they read
riuscire,to succeed,sono riuscito/a,I succeeded,sei riuscito/a,you succeeded,è riuscito/a,he/she succeeded,siamo riusciti/e,we succeeded,siete riusciti/e,you all succeeded,sono riusciti/e,they succeeded
costituire,to constitute,ho costituito,I constituted/formed,hai costituito,you constituted/formed,ha costituito,he/she constituted/formed,abbiamo costituito,we constituted/formed,avete costituito,you all constituted/formed,hanno costituito,they constituted/formed
considerare,to consider,ho considerato,I have considered,hai considerato,you have considered,ha considerato,he/she has considered,abbiamo considerato,we have considered,avete considerato,you all have considered,hanno considerato,they have considered
rimanere,to remain,sono rimasto/a,I have remained,sei rimasto/a,you have remained,è rimasto/a,he/she has remained,siamo rimasti/e,we have remained,siete rimasti/e,you all have remained,sono rimasti/e,they have remained
rimare,to rhyme,ho rimato,I have rhymed,hai rimato,you have rhymed,ha rimato,he/she has rhymed,abbiamo rimato,we have rhymed,avete rimato,you all have rhymed,hanno rimato,they have rhymed
entrare,to enter,sono entrato/a,I have entered,sei entrato/a,you have entered,è entrato/a,he/she has entered,siamo entrati/e,we have entered,siete entrati/e,you all have entered,sono entrati/e,they have entered
costruire,to build,ho costruito,I have built,hai costruito,you have built,ha costruito,he/she has built,abbiamo costruito,we have built,avete costruito,you all have built,hanno costruito,they have built
piacere,to please,sono piaciuto/a,I have pleased,sei piaciuto/a,you have pleased,è piaciuto/a,he/she has pleased,siamo piaciuti/e,we have pleased,siete piaciuti/e,you all have pleased,sono piaciuti/e,they have pleased
rispondere,to respond,ho risposto,I have answered,hai risposto,you have answered,ha risposto,he/she has answered,abbiamo risposto,we have answered,avete risposto,you all have answered,hanno risposto,they have answered
seguire,to follow,ho seguito,I have followed,hai seguito,you have followed,ha seguito,he/she has followed,abbiamo seguito,we have followed,avete seguito,you all have followed,hanno seguito,they have followed
nascere,to be born,sono nato/a,I was born,sei nato/a,you were born,è nato/a,he/she was born,siamo nati/e,we were born,siete nati/e,you all were born,sono nati/e,they were born
natare,to swim,ho natato,I have swam,hai natato,you have swam,ha natato,he/she has swam,abbiamo natato,we have swam,avete natato,you all have swam,hanno natato,they have swam
promuovere,to promote,ho promosso,I have promoted,hai promosso,you have promoted,ha promosso,he/she has promoted,abbiamo promosso,we have promoted,avete promosso,you all have promoted,hanno promosso,they have promoted
dichiarare,to declare,ho dichiarato,I have declared,hai dichiarato,you have declared,ha dichiarato,he/she has declared,abbiamo dichiarato,we have declared,avete dichiarato,you all have declared,hanno dichiarato,they have declared
dedicare,to dedicate,ho dedicato,I have dedicated,hai dedicato,you have dedicated,ha dedicato,he/she has dedicated,abbiamo dedicato,we have dedicated,avete dedicato,you all have dedicated,hanno dedicato,they have dedicated
definire,to define,ho definito,I have defined,hai definito,you have defined,ha definito,he/she has defined,abbiamo definito,we have defined,avete definito,you all have defined,hanno definito,they have defined
sostenere,to support/sustain,ho sostenuto,I have supported,hai sostenuto,you have supported,ha sostenuto,he/she has supported,abbiamo sostenuto,we have supported,avete sostenuto,you all have supported,hanno sostenuto,they have supported
assicurare,to ensure/insure,ho assicurato,I have insured,hai assicurato,you have insured,ha assicurato,he/she has insured,abbiamo assicurato,we have insured,avete assicurato,you all have insured,hanno assicurato,they have insured
favorire,to favor,ho favorito,I have favored,hai favorito,you have favored,ha favorito,he/she has favored,abbiamo favorito,we have favored,avete favorito,you all have favored,hanno favorito,they have favored
esprimere,to express,ho espresso,I have expressed,hai espresso,you have expressed,ha espresso,he/she has expressed,abbiamo espresso,we have expressed,avete espresso,you all have expressed,hanno espresso,they have expressed
svolgere,to carry out/perform,ho svolto,I have developed,hai svolto,you have developed,ha svolto,he/she has developed,abbiamo svolto,we have developed,avete svolto,you all have developed,hanno svolto,they have developed
porre,to place/put,ho posto,I have placed,hai posto,you have placed,ha posto,he/she has placed,abbiamo posto,we have placed,avete posto,you all have placed,hanno posto,they have placed
postare,to post (online),ho postato,I have posted,hai postato,you have posted,ha postato,he/she has posted,abbiamo postato,we have posted,avete postato,you all have posted,hanno postato,they have posted
sentire,to feel/hear,ho sentito,I have felt/heard,hai sentito,you have felt/heard,ha sentito,he/she has felt/heard,abbiamo sentito,we have felt/heard,avete sentito,you all have felt/heard,hanno sentito,they have felt/heard
servire,to serve/need,sono servito/a,I have served,sei servito/a,you have served,è servito/a,he/she has served,siamo serviti/e,we have served,siete serviti/e,you all have served,sono serviti/e,they have served
capitare,to happen,sono capitato/a,I happened,sei capitato/a,you happened,è capitato/a,he/she happened,siamo capitati/e,we happened,siete capitati/e,you all happened,sono capitati/e,they happened
perdere,to lose,ho perso,I have lost,hai perso,you have lost,ha perso,he/she has lost,abbiamo perso,we have lost,avete perso,you all have lost,hanno perso,they have lost
cambiare,to change,ho cambiato,I have changed,hai cambiato,you have changed,ha cambiato,he/she has changed,abbiamo cambiato,we have changed,avete cambiato,you all have changed,hanno cambiato,they have changed
indicare,to indicate,ho indicato,I have indicated,hai indicato,you have indicated,ha indicato,he/she has indicated,abbiamo indicato,we have indicated,avete indicato,you all have indicated,hanno indicato,they have indicated
procedere,to proceed,ho proceduto,I have proceeded,hai proceduto,you have proceeded,ha proceduto,he/she has proceeded,abbiamo proceduto,we have proceeded,avete proceduto,you all have proceeded,hanno proceduto,they have proceeded
svoltare,to turn,ho svoltato,I have turned,hai svoltato,you have turned,ha svoltato,he/she has turned,abbiamo svoltato,we have turned,avete svoltato,you all have turned,hanno svoltato,they have turned
avvenire,to happen,sono avvenuto/a,I have happened,sei avvenuto/a,you have happened,è avvenuto/a,he/she has happened,siamo avvenuti/e,we have happened,siete avvenuti/e,you all have happened,sono avvenuti/e,they have happened
effettuare,to carry out,ho effettuato,I have carried out,hai effettuato,you have carried out,ha effettuato,he/she has carried out,abbiamo effettuato,we have carried out,avete effettuato,you all have carried out,hanno effettuato,they have carried out
tornare,to return,sono tornato/a,I have returned,sei tornato/a,you have returned,è tornato/a,he/she has returned,siamo tornati/e,we have returned,siete tornati/e,you all have returned,sono tornati/e,they have returned
verificare,to verify,ho verificato,I have verified,hai verificato,you have verified,ha verificato,he/she has verified,abbiamo verificato,we have verified,avete verificato,you all have verified,hanno verificato,they have verified
stabilire,to establish,ho stabilito,I have established,hai stabilito,you have established,ha stabilito,he/she has established,abbiamo stabilito,we have established,avete stabilito,you all have established,hanno stabilito,they have established
recare,to bring/carry,ho recato,I have carried/caused,hai recato,you have carried/caused,ha recato,he/she has carried/caused,abbiamo recato,we have carried/caused,avete recato,you all have carried/caused,hanno recato,they have carried/caused
richiedere,to request,ho richiesto,I have requested,hai richiesto,you have requested,ha richiesto,he/she has requested,abbiamo richiesto,we have requested,avete richiesto,you all have requested,hanno richiesto,they have requested
mantenere,to maintain,ho mantenuto,I have maintained,hai mantenuto,you have maintained,ha mantenuto,he/she has maintained,abbiamo mantenuto,we have maintained,avete mantenuto,you all have maintained,hanno mantenuto,they have maintained
affermare,to affirm/state,ho affermato,I have affirmed,hai affermato,you have affirmed,ha affermato,he/she has affirmed,abbiamo affermato,we have affirmed,avete affermato,you all have affirmed,hanno affermato,they have affirmed
lasciare,to leave,ho lasciato,I have left,hai lasciato,you have left,ha lasciato,he/she has left,abbiamo lasciato,we have left,avete lasciato,you all have left,hanno lasciato,they have left
scegliere,to choose,ho scelto,I have chosen,hai scelto,you have chosen,ha scelto,he/she has chosen,abbiamo scelto,we have chosen,avete scelto,you all have chosen,hanno scelto,they have chosen
migliorare,to improve,ho migliorato,I have improved,hai migliorato,you have improved,ha migliorato,he/she has improved,abbiamo migliorato,we have improved,avete migliorato,you all have improved,hanno migliorato,they have improved
disporre,to arrange/dispose,ho disposto,I have arranged,hai disposto,you have arranged,ha disposto,he/she has arranged,abbiamo disposto,we have arranged,avete disposto,you all have arranged,hanno disposto,they have arranged
chiamare,to call,ho chiamato,I have called,hai chiamato,you have called,ha chiamato,he/she has called,abbiamo chiamato,we have called,avete chiamato,you all have called,hanno chiamato,they have called
valutare,to evaluate,ho valutato,I have evaluated,hai valutato,you have evaluated,ha valutato,he/she has evaluated,abbiamo valutato,we have evaluated,avete valutato,you all have evaluated,hanno valutato,they have evaluated
individuare,to identify,ho individuato,I have identified,hai individuato,you have identified,ha individuato,he/she has identified,abbiamo individuato,we have identified,avete individuato,you all have identified,hanno individuato,they have identified
provenire,to come from,sono provenuto/a,I have come from,sei provenuto/a,you have come from,è provenuto/a,he/she has come from,siamo provenuti/e,we have come from,siete provenuti/e,you all have come from,sono provenuti/e,they have come from
derivare,to derive,sono derivato/a,I have derived,sei derivato/a,you have derived,è derivato/a,he/she has derived,siamo derivati/e,we have derived,siete derivati/e,you all have derived,sono derivati/e,they have derived
pagare,to pay,ho pagato,I have paid,hai pagato,you have paid,ha pagato,he/she has paid,abbiamo pagato,we have paid,avete pagato,you all have paid,hanno pagato,they have paid
ricevere,to receive,ho ricevuto,I have received,hai ricevuto,you have received,ha ricevuto,he/she has received,abbiamo ricevuto,we have received,avete ricevuto,you all have received,hanno ricevuto,they have received
aggiungere,to add,ho aggiunto,I have added,hai aggiunto,you have added,ha aggiunto,he/she has added,abbiamo aggiunto,we have added,avete aggiunto,you all have added,hanno aggiunto,they have added
superare,to overcome/exceed,ho superato,I have passed,hai superato,you have passed,ha superato,he/she has passed,abbiamo superato,we have passed,avete superato,you all have passed,hanno superato,they have passed
iniziare,to start,ho iniziato,I have started,hai iniziato,you have started,ha iniziato,he/she has started,abbiamo iniziato,we have started,avete iniziato,you all have started,hanno iniziato,they have started
intervenire,to intervene,sono intervenuto/a,I have intervened,sei intervenuto/a,you have intervened,è intervenuto/a,he/she has intervened,siamo intervenuti/e,we have intervened,siete intervenuti/e,you all have intervened,sono intervenuti/e,they have intervened
aprire,to open,ho aperto,I have opened,hai aperto,you have opened,ha aperto,he/she has opened,abbiamo aperto,we have opened,avete aperto,you all have opened,hanno aperto,they have opened
organizzare,to organize,ho organizzato,I have organized,hai organizzato,you have organized,ha organizzato,he/she has organized,abbiamo organizzato,we have organized,avete organizzato,you all have organized,hanno organizzato,they have organized
contenere,to contain,ho contenuto,I have contained,hai contenuto,you have contained,ha contenuto,he/she has contained,abbiamo contenuto,we have contained,avete contenuto,you all have contained,hanno contenuto,they have contained
uscire,to exit,sono uscito/a,I have gone out,sei uscito/a,you have gone out,è uscito/a,he/she has gone out,siamo usciti/e,we have gone out,siete usciti/e,you all have gone out,sono usciti/e,they have gone out
ridurre,to reduce,ho ridotto,I have reduced,hai ridotto,you have reduced,ha ridotto,he/she has reduced,abbiamo ridotto,we have reduced,avete ridotto,you all have reduced,hanno ridotto,they have reduced
comportare,to entail,ho comportato,I have involved,hai comportato,you have involved,ha comportato,he/she has involved,abbiamo comportato,we have involved,avete comportato,you all have involved,hanno comportato,they have involved
modificare,to modify,ho modificato,I have modified,hai modificato,you have modified,ha modificato,he/she has modified,abbiamo modificato,we have modified,avete modificato,you all have modified,hanno modificato,they have modified
risolvere,to resolve,ho risolto,I have solved,hai risolto,you have solved,ha risolto,he/she has solved,abbiamo risolto,we have solved,avete risolto,you all have solved,hanno risolto,they have solved
guardare,to look,ho guardato,I have watched,hai guardato,you have watched,ha guardato,he/she has watched,abbiamo guardato,we have watched,avete guardato,you all have watched,hanno guardato,they have watched
provvedere,to provide,ho provveduto,I have provided,hai provveduto,you have provided,ha provveduto,he/she has provided,abbiamo provveduto,we have provided,avete provveduto,you all have provided,hanno provveduto,they have provided
inserire,to insert,ho inserito,I have inserted,hai inserito,you have inserted,ha inserito,he/she has inserted,abbiamo inserito,we have inserted,avete inserito,you all have inserted,hanno inserito,they have inserted
cominciare,to begin,ho cominciato,I have started,hai cominciato,you have started,ha cominciato,he/she has started,abbiamo cominciato,we have started,avete cominciato,you all have started,hanno cominciato,they have started
applicare,to apply,ho applicato,I have applied,hai applicato,you have applied,ha applicato,he/she has applied,abbiamo applicato,we have applied,avete applicato,you all have applied,hanno applicato,they have applied
produrre,to produce,ho prodotto,I have produced,hai prodotto,you have produced,ha prodotto,he/she has produced,abbiamo prodotto,we have produced,avete prodotto,you all have produced,hanno prodotto,they have produced
destinare,to earmark,ho destinato,I have destined,hai destinato,you have destined,ha destinato,he/she has destined,abbiamo destinato,we have destined,avete destinato,you all have destined,hanno destinato,they have destined
comprendere,to understand/include,ho compreso,I have understood,hai compreso,you have understood,ha compreso,he/she has understood,abbiamo compreso,we have understood,avete compreso,you all have understood,hanno compreso,they have understood
assumere,to assume/hire,ho assunto,I have assumed/hired,hai assunto,you have assumed/hired,ha assunto,he/she has assumed/hired,abbiamo assunto,we have assumed/hired,avete assunto,you all have assumed/hired,hanno assunto,they have assumed/hired
sostituire,to replace,ho sostituito,I have replaced,hai sostituito,you have replaced,ha sostituito,he/she has replaced,abbiamo sostituito,we have replaced,avete sostituito,you all have replaced,hanno sostituito,they have replaced
seguitare,to continue,ho seguitato,I have continued,hai seguitato,you have continued,ha seguitato,he/she has continued,abbiamo seguitato,we have continued,avete seguitato,you all have continued,hanno seguitato,they have continued
sottolineare,to underline,ho sottolineato,I have underlined,hai sottolineato,you have underlined,ha sottolineato,he/she has underlined,abbiamo sottolineato,we have underlined,avete sottolineato,you all have underlined,hanno sottolineato,they have underlined
accedere,to access,sono acceduto/a,I have accessed,sei acceduto/a,you have accessed,è acceduto/a,he/she has accessed,siamo acceduti/e,we have accessed,siete acceduti/e,you all have accessed,sono acceduti/e,they have accessed
