Word,Infinitive,English_Translation,Word_Type,Jaro_Score,Initial_Jaro,Rule_Chain,Max_Jaro_Score
episodio,episodio,episode,nm,0.8690476190476191,0.8690476190476191,,0.8690476190476191
inglese,inglese,English,"adj, nmf",0.7142857142857143,0.7142857142857143,,0.7142857142857143
differenza,differenza,difference,nf,0.8666666666666667,0.8666666666666667,suffix-enza-ence,1.0
codice,codice,code,nm,0.8888888888888888,0.8888888888888888,,0.8888888888888888
uniti,unire,united,"adj, verb",0.8222222222222223,0.8222222222222223,,0.8222222222222223
umano,umano,human,"adj, nm",0.8666666666666667,0.8666666666666667,prefix-h-none + suffix-o-,1.0
interno,interno,internal,"adj, nm",0.8690476190476191,0.8690476190476191,,0.8690476190476191
comandante,comandante,commander,nmf,0.825925925925926,0.825925925925926,,0.825925925925926
documenti,documento,documents,"m, pl",0.9259259259259259,0.9259259259259259,,0.9259259259259259
mostro,mostro,monster,nm,0.8492063492063492,0.8492063492063492,,0.8492063492063492
presente,presente,present,"adj, nm",0.9583333333333334,0.9583333333333334,suffix-e-,1.0
caffè,caffè,coffee,nm,0.7000000000000001,0.7000000000000001,,0.7000000000000001
lezione,lezione,lesson,nf,0.746031746031746,0.746031746031746,,0.746031746031746
nord,nord,north,nm,0.7833333333333333,0.7833333333333333,,0.7833333333333333
congratulazioni,congratulazione,congratulations,"nf, pl",0.9111111111111111,0.9111111111111111,,0.9111111111111111
data,data,date,"nf, sg",0.8333333333333334,0.8333333333333334,suffix-a-e,1.0
treno,treno,train,nm,0.7333333333333334,0.7333333333333334,,0.7333333333333334
comune,comune,common,"adj, nm",0.7777777777777777,0.7777777777777777,,0.7777777777777777
responsabile,responsabile,responsible,"adj, nmf",0.9419191919191919,0.9419191919191919,suffix-abile-ible,1.0
bomba,bomba,bomb,nf,0.9333333333333332,0.9333333333333332,suffix-a-,1.0
periodo,periodo,period,nm,0.9523809523809524,0.9523809523809524,suffix-o-,1.0
energia,energia,energy,nf,0.8492063492063492,0.8492063492063492,suffix-ia-y,1.0
segno,segno,sign,nm,0.7833333333333333,0.7833333333333333,,0.7833333333333333
rischio,rischio,risk,nm,0.7261904761904763,0.7261904761904763,,0.7261904761904763
tocca,toccare,to touch,verb,0.6583333333333333,0.7333333333333334,,0.7333333333333334
operazione,operazione,operation,nf,0.8962962962962964,0.8962962962962964,suffix-zione-tion,1.0
ufficiale,ufficiale,official,"adj, nm",0.8842592592592592,0.8842592592592592,,0.8842592592592592
pressione,pressione,pressure,nf,0.8055555555555555,0.8055555555555555,,0.8055555555555555
offerta,offerta,offer,nf,0.9047619047619048,0.9047619047619048,,0.9047619047619048
finta,finto,feint,"nf, adj",0.8666666666666667,0.8666666666666667,,0.8666666666666667
banca,banca,bank,nf,0.7833333333333333,0.7833333333333333,,0.7833333333333333
esperienza,esperienza,experience,nf,0.7999999999999999,0.7999999999999999,,0.7999999999999999
messa,messa,mass,nf,0.7833333333333333,0.7833333333333333,,0.7833333333333333
pianeta,pianeta,planet,nm,0.8492063492063492,0.8492063492063492,,0.8492063492063492
serie,serie,series,nf,0.9444444444444445,0.9444444444444445,suffix-es-e,1.0
guida,guidare,guide,"verb, nf",0.8666666666666667,0.8666666666666667,suffix-a-e,1.0
prezzo,prezzo,price,nm,0.7000000000000001,0.7000000000000001,,0.7000000000000001
orribile,orribile,horrible,adj,0.9166666666666666,0.9166666666666666,prefix-h-none + suffix-bile-ble,1.0
ritorno,ritornare,return,"nm, verb",0.746031746031746,0.746031746031746,,0.746031746031746
animali,animale,animals,"nm, pl",0.9047619047619048,0.9047619047619048,,0.9047619047619048
enorme,enorme,enormous,adj,0.8194444444444445,0.8194444444444445,,0.8194444444444445
passaggio,passaggio,passage,nm,0.8412698412698413,0.8412698412698413,,0.8412698412698413
progetto,progetto,project,nm,0.7797619047619048,0.7797619047619048,,0.7797619047619048
naturalmente,naturalmente,naturally,adv,0.7870370370370371,0.7870370370370371,,0.7870370370370371
metri,metro,meters,"nm, pl",0.8222222222222223,0.8222222222222223,,0.8222222222222223
suppongo,supporre,to suppose,verb,0.6722222222222222,0.7797619047619048,,0.7797619047619048
destino,destino,destiny,nm,0.9047619047619048,0.9047619047619048,,0.9047619047619048
ristorante,ristorante,restaurant,nm,0.7523809523809524,0.7523809523809524,,0.7523809523809524
laboratorio,laboratorio,laboratory,nm,0.9060606060606061,0.9060606060606061,suffix-orio-ory,1.0
comando,comandare,command,"nm, verb",0.9047619047619048,0.9047619047619048,,0.9047619047619048
arte,arte,art,nf,0.9166666666666666,0.9166666666666666,suffix-e-,1.0
segnale,segnale,signal,nm,0.8492063492063492,0.8492063492063492,,0.8492063492063492
carriera,carriera,career,nf,0.7527777777777779,0.7527777777777779,,0.7527777777777779
blu,blu,blue,"adj, nm",0.9166666666666666,0.9166666666666666,,0.9166666666666666
proteggere,proteggere,to protect,verb,0.5333333333333333,0.7380952380952381,,0.7380952380952381
dubbio,dubbio,doubt,nm,0.7000000000000001,0.7000000000000001,,0.7000000000000001
stazione,stazione,station,nf,0.8690476190476191,0.8690476190476191,suffix-zione-tion,1.0
emergenza,emergenza,emergency,nf,0.8518518518518517,0.8518518518518517,,0.8518518518518517
immediatamente,immediatamente,immediately,adv,0.8203463203463204,0.8203463203463204,,0.8203463203463204
locale,locale,local,"adj, nm",0.9444444444444445,0.9444444444444445,suffix-ale-al,1.0
battaglia,battaglia,battle,nf,0.7962962962962963,0.7962962962962963,,0.7962962962962963
sceriffo,sceriffo,sheriff,nm,0.8690476190476191,0.8690476190476191,,0.8690476190476191
spirito,spirito,spirit,nm,0.9523809523809524,0.9523809523809524,suffix-o-,1.0
lingua,lingua,language,nf,0.8194444444444445,0.8194444444444445,,0.8194444444444445
dipartimento,dipartimento,department,nm,0.8833333333333333,0.8833333333333333,,0.8833333333333333
massimo,massimo,maximum,"adj, nm",0.7142857142857143,0.7142857142857143,,0.7142857142857143
eroe,eroe,hero,nm,0.8333333333333334,0.8333333333333334,prefix-h-none + suffix-e-,1.0
turno,turno,turn,nm,0.9333333333333332,0.9333333333333332,suffix-o-,1.0
londra,londra,London,nf,0.6666666666666666,0.7777777777777777,,0.7777777777777777
ovvio,ovvio,obvious,adj,0.7904761904761904,0.7904761904761904,,0.7904761904761904
amy,amy,ami,nm,0.7777777777777777,0.7777777777777777,,0.7777777777777777
pausa,pausa,pause,nf,0.8666666666666667,0.8666666666666667,suffix-a-e,1.0
billy,billy,billy goat,nm,0.8333333333333334,0.8518518518518517,,0.8518518518518517
memoria,memoria,memory,nf,0.8492063492063492,0.8492063492063492,suffix-ia-y,1.0
colonnello,colonnello,colonel,nm,0.9,0.9,,0.9
costa,costare,coast,"nf, verb",0.8666666666666667,0.8666666666666667,,0.8666666666666667
arresto,arresto,arrest,nm,0.9523809523809524,0.9523809523809524,suffix-o-,1.0
soldato,soldato,soldier,nm,0.7142857142857143,0.7142857142857143,,0.7142857142857143
natura,natura,nature,nf,0.888888888888889,0.888888888888889,suffix-ura-ure,1.0
colore,colore,color,nm,0.9444444444444445,0.9444444444444445,suffix-e-,1.0
parigi,Parigi,Paris,f,0.7000000000000001,0.8222222222222223,,0.8222222222222223
fidanzato,fidanzato,fiancé,"adj, nm",0.7037037037037037,0.7037037037037037,,0.7037037037037037
legale,legale,legal,"adj, nmf",0.9444444444444445,0.9444444444444445,suffix-ale-al,1.0
corte,corto,short,"adj, pl",0.7333333333333334,0.7333333333333334,,0.7333333333333334
obiettivo,obiettivo,objective,"nm, adj",0.7777777777777777,0.7777777777777777,,0.7777777777777777
conta,contare,to count,"verb, nf",0.5472222222222222,0.8666666666666667,,0.8666666666666667
accesso,accesso,access,nm,0.9523809523809524,0.9523809523809524,suffix-o-,1.0
risolvere,risolvere,to solve,verb,0.6601851851851852,0.8518518518518517,,0.8518518518518517
isola,isola,island,nf,0.8222222222222223,0.8222222222222223,,0.8222222222222223
povero,povero,poor,"adj, nm",0.75,0.75,,0.75
accettare,accettare,to accept,verb,0.7037037037037037,0.7962962962962963,,0.7962962962962963
continuo,continuo,continuous,"adj, nm",0.9333333333333332,0.9333333333333332,suffix-o-ous,1.0
stile,stile,style,nm,0.8666666666666667,0.8666666666666667,,0.8666666666666667
entrata,entrata,entrance,nf,0.7797619047619048,0.7797619047619048,,0.7797619047619048
soluzione,soluzione,solution,nf,0.8842592592592592,0.8842592592592592,suffix-zione-tion,1.0
maria,maria,Mary,nf,0.6333333333333333,0.7833333333333333,suffix-ia-y,1.0
contratto,contratto,contract,nm,0.8842592592592592,0.8842592592592592,replace-tt-ct + suffix-o-,1.0
creato,creare,created,"verb, adj, m",0.8492063492063492,0.8492063492063492,suffix-ato-ate + suffix-ed-e,1.0
dipende,dipendere,to depend,verb,0.7301587301587301,0.7825396825396825,,0.7825396825396825
innocente,innocente,innocent,"adj, nmf",0.9629629629629629,0.9629629629629629,suffix-e-,1.0
magia,magia,magic,nf,0.8666666666666667,0.8666666666666667,,0.8666666666666667
procuratore,procuratore,prosecutor,nm,0.8007575757575758,0.8007575757575758,,0.8007575757575758
centrale,centrale,central,"adj, nf",0.9583333333333334,0.9583333333333334,suffix-ale-al,1.0
azione,azione,action,nf,0.7777777777777777,0.7777777777777777,replace-zione-ction,1.0
principe,principe,prince,nm,0.9166666666666666,0.9166666666666666,,0.9166666666666666
assistente,assistente,assistant,nmf,0.8962962962962964,0.8962962962962964,,0.8962962962962964
risultati,risultato,results,"nm, pl",0.7566137566137566,0.7566137566137566,,0.7566137566137566
ridicolo,ridicolo,ridiculous,"adj, nm",0.8107142857142856,0.8107142857142856,,0.8107142857142856
adam,adamante,adamant,"adj, nm",0.8571428571428571,0.8571428571428571,,0.8571428571428571
grandioso,grandioso,grand,adj,0.8518518518518517,0.8518518518518517,,0.8518518518518517
americano,americano,American,"adj, nm",0.8842592592592592,0.9629629629629629,suffix-o-,1.0
francese,francese,French,"adj, nmf",0.6388888888888888,0.7527777777777779,,0.7527777777777779
condizioni,condizione,conditions,"nf, pl",0.8666666666666667,0.8666666666666667,,0.8666666666666667
muoviti,muovere,to move,"verb, sentence",0.5238095238095238,0.7261904761904763,,0.7261904761904763
angeles,angelo,angels,"nm, pl",0.9523809523809524,0.9523809523809524,,0.9523809523809524
bobby,bobby,bobby pin,nm,0.8518518518518517,0.875,,0.875
dettagli,dettaglio,details,"nm, pl",0.8134920634920636,0.8134920634920636,,0.8134920634920636
capace,capace,capable,adj,0.8492063492063492,0.8492063492063492,,0.8492063492063492
distrutto,distruggere,destroyed,"adj, verb",0.7037037037037037,0.7037037037037037,,0.7037037037037037
importanza,importanza,importance,nf,0.8666666666666667,0.8666666666666667,suffix-anza-ance,1.0
particolare,particolare,particular,"adj, nm",0.9060606060606061,0.9060606060606061,,0.9060606060606061
mantenere,mantenere,to maintain,verb,0.436026936026936,0.7268518518518517,,0.7268518518518517
convinto,convincere,convinced,"adj, verb",0.8055555555555555,0.8055555555555555,,0.8055555555555555
campione,campione,champion,nm,0.9166666666666666,0.9166666666666666,replace-ch-c + suffix-e-,1.0
valore,valore,value,nm,0.8222222222222223,0.8222222222222223,,0.8222222222222223
conversazione,conversazione,conversation,nf,0.9209401709401709,0.9209401709401709,suffix-zione-tion,1.0
finale,finale,final,"adj, nm, nf",0.9444444444444445,0.9444444444444445,suffix-ale-al,1.0
tracce,traccia,traces,"nf, pl",0.888888888888889,0.888888888888889,suffix-es-e + replace-cc-c,1.0
bottiglia,bottiglia,bottle,nf,0.7962962962962963,0.7962962962962963,,0.7962962962962963
pratica,pratico,practice,"nf, adj",0.8134920634920636,0.8134920634920636,,0.8134920634920636
villaggio,villaggio,village,nm,0.8412698412698413,0.8412698412698413,,0.8412698412698413
scuse,scusa,excuses,"nf, pl",0.7904761904761904,0.7904761904761904,,0.7904761904761904
