Word,Infinitive,English_Translation,Word_Type,Jaro_Score
ok,ok,ok,"adj, adv, nm",1.0
va,andare,goes,verb,0.0
perche,perche,because,"conj, adv, nm",0.6428571428571429
quello,quello,that,"adj, pron",0.0
mai,mai,never,adv,0.0
alla,alla,to the,"prep, art",0.0
o,o,or,conj,0.8333333333333334
anche,anche,also,"adv, conj",0.48333333333333334
stato,essere,state,"nm, verb",0.8666666666666667
abbiamo,avere,to have,verb,0.42857142857142855
tutti,tutto,everyone,"adj, pron, pl",0.0
dei,di,some,art,0.0
grazie,grazia,thanks,"interj, nf, pl",0.4444444444444444
chi,chi,who,pron,0.5555555555555555
sta,stare,is,verb,0.0
molto,molto,very,"adv, adj, pron",0.0
più,più,more,"adv, adj, nm",0.0
voglio,volere,to want,verb,0.4365079365079365
perché,perché,why,"adv, conj, nm",0.0
tuo,tuo,your,"adj, pron",0.5555555555555555
beh,beh,well,interj,0.5277777777777778
sia,essere,be,"verb, conj",0.0
nel,in,in the,prep,0.5
lui,lui,he,pron,0.0
allora,allora,then,"adv, conj",0.0
posso,potere,to be able to,verb,0.4256410256410256
piu,più,more,adv,0.0
ehi,ehi,hey,interj,0.0
prima,primo,before,"adv, conj, prep, nf",0.0
tua,tuo,your,"adj, pron",0.5277777777777778
suo,suo,his,"adj, pron",0.0
niente,niente,nothing,"adv, nm, pron",0.5317460317460317
qualcosa,qualcosa,something,pron,0.0
sai,sapere,you know,verb,0.0
siamo,essere,to be,verb,0.0
un',uno,a,art,0.0
cosi,così,so,"adv, conj",0.5833333333333334
davvero,davvero,really,"adv, interj",0.4365079365079365
ancora,ancora,still,"adv, nf",0.0
hanno,avere,to have,verb,0.0
stai,stare,staying,verb,0.8571428571428571
fa,fare,does,verb,0.0
sua,suo,his,"adj, pron",0.0
così,così,so,"adv, conj",0.5833333333333334
casa,casa,house,nf,0.48333333333333334
uno,uno,one,"num, art, pron",0.5555555555555555
dove,dove,where,"adv, conj, pron",0.48333333333333334
su,su,on,prep,0.0
vero,vero,true,"adj, nm",0.5
vuoi,volere,to want,verb,0.46428571428571425
noi,noi,we,pron,0.0
due,due,two,"num, nm",0.0
quindi,quindi,therefore,"adv, conj",0.0
dire,dire,to say,verb,0.0
d',di,of,prep,0.0
delle,del,some,"art, prep",0.48333333333333334
quella,quello,that,"adj, pron",0.0
sempre,sempre,always,adv,0.0
altro,altro,other,"adj, pron, m, sg",0.6
sto,stare,I am,verb,0.0
andare,andare,to go,verb,0.0
ad,a,to,prep,0.0
po,poco,little,"adv, nm, adj",0.0
loro,loro,they,pron,0.0
devo,dovere,must,verb,0.0
quel,quello,that,"adj, pron",0.0
forse,forse,maybe,adv,0.4666666666666666
li,li,them,"pron, dir obj",0.0
proprio,proprio,own,"adj, adv, pron",0.4920634920634921
certo,certo,certain,"adj, adv",0.7904761904761904
tempo,tempo,time,nm,0.6333333333333333
nella,in,in the,prep,0.45555555555555555
poi,poi,then,adv,0.0
vi,voi,you,"pron, dir obj, indir obj",0.0
credo,credere,to believe,"verb, nm",0.3666666666666667
vita,vita,life,nf,0.5
cose,cosa,things,"nf, pl",0.0
sul,sul,on the,"prep, art",0.0
quanto,quanto,how much,"adj, adv, pron",0.0
puoi,potere,to be able to,verb,0.4423076923076923
fuori,fuori,outside,"adv, prep, m",0.565079365079365
anni,anno,years,"m, pl",0.0
cui,cui,which,pron,0.5111111111111111
andiamo,andare,to go,verb,0.44761904761904764
dell',di,of the,"prep, art",0.0
parte,parte,part,nf,0.9333333333333332
visto,vedere,seen,"verb, nm",0.0
qualcuno,qualcuno,someone,pron,0.3452380952380952
all',al,to the,"prep, art",0.0
lavoro,lavoro,work,nm,0.611111111111111
voi,voi,you,"pron, pl",0.5555555555555555
ciao,ciao,hello,interj,0.48333333333333334
dio,dio,god,nm,0.0
volta,volta,time,nf,0.0
dopo,dopo,after,"adv, prep, conj",0.0
adesso,adesso,now,adv,0.0
stata,essere,been,verb,0.0
uomo,uomo,man,nm,0.0
padre,padre,father,nm,0.5888888888888889
devi,dovere,to have to,verb,0.45
bisogno,bisogno,need,nm,0.0
gia,già,already,adv,0.4920634920634921
amico,amico,friend,nm,0.45555555555555555
ed,ed,and,conj,0.0
posto,posto,place,nm,0.4666666666666666
nessuno,nessuno,nobody,"pron, adj, m",0.4365079365079365
via,via,way,"nf, adv",0.0
cos',cosa,what,pron,0.0
fai,fare,to do,verb,0.0
signore,signore,gentleman,nm,0.5873015873015873
meglio,meglio,better,"adj, adv, nm",0.4444444444444444
cazzo,cazzo,dick,"nm, interj",0.0
dai,dare,give,verb,0.5277777777777778
dal,da,from the,prep,0.0
vuole,volere,to want,verb,0.44761904761904764
sembra,sembrare,to seem,verb,0.0
giorno,giorno,day,nm,0.0
ogni,ogni,each,"adj, pron",0.0
modo,modo,way,nm,0.0
senza,senza,without,"prep, adv",0.0
vedere,vedere,to see,verb,0.5555555555555555
dobbiamo,dovere,to have to,verb,0.5583333333333333
signor,signore,sir,nm,0.6666666666666666
qualche,qualche,some,"adj, pron",0.0
dispiace,dispiacere,to be sorry,verb,0.3106060606060606
penso,pensare,to think,verb,0.44166666666666665
ecco,ecco,here,adv,0.5
parlare,parlare,to speak,verb,0.3452380952380952
tra,trarre,to draw,verb,0.4920634920634921
mamma,mamma,mother,nf,0.45555555555555555
già,già,already,adv,0.0
sarebbe,essere,would be,verb,0.5119047619047619
dalla,da,from the,prep,0.0
troppo,troppo,too much,"adj, adv, pron",0.625
fosse,essere,to be,"verb, nf, pl",0.6
possiamo,potere,to be able to,verb,0.5352564102564102
ce,ci,there,"adv, pron",0.5666666666666667
nuovo,nuovo,new,"adj, nm",0.5111111111111111
male,male,badly,"adv, nm",0.6333333333333333
madre,madre,mother,nf,0.5888888888888889
avete,avere,to have,verb,0.44761904761904764
tanto,tanto,much,"adv, adj, pron",0.0
favore,favore,favor,nm,0.9444444444444445
successo,successo,success,nm,0.9583333333333334
vai,andare,to go,verb,0.0
sulla,su,on,prep,0.0
giusto,giusto,right,"adj, adv, nm",0.5888888888888889
sa,sapere,knows,verb,0.0
miei,mio,my,"adj, pron",0.5833333333333334
aspetta,aspettare,to wait,verb,0.35714285714285715
avere,avere,to have,"verb, nm",0.44761904761904764
altra,altro,other,"adj, pron",0.6
farlo,fare,to do it,"verb, obj",0.44166666666666665
alle,alle,at the,"prep, art, pl",0.611111111111111
facendo,fare,doing,verb,0.44761904761904764
abbia,avere,to have,verb,0.44761904761904764
momento,momento,moment,nm,0.9523809523809524
ero,essere,to be,verb,0.5111111111111111
aveva,avere,to have,verb,0.3952380952380952
ragazzi,ragazzo,boys,"nm, pl",0.0
deve,dovere,must,verb,0.0
persone,persona,people,"nf, pl",0.746031746031746
nostro,nostro,our,"adj, pron",0.6666666666666666
tipo,tipo,type,"nm, adj",0.6666666666666666
prego,pregare,you are welcome,"interj, verb",0.48888888888888893
grande,grande,big,"adj, nmf",0.5
può,potere,to be able to,verb,0.0
senti,sentire,to feel,verb,0.0
appena,appena,as soon as,"adv, conj",0.6
potrebbe,potere,could,verb,0.44166666666666665
soldi,soldo,money,"nm, pl",0.4666666666666666
dice,dire,to say,verb,0.0
sapere,sapere,to know,"verb, nm",0.0
tre,tre,three,"num, nm",0.8666666666666667
oggi,oggi,today,"adv, nm",0.48333333333333334
questi,questo,these,"adj, pron, m, pl",0.5777777777777778
piace,piacere,to like,verb,0.44761904761904764
idea,idea,idea,nf,1.0
siete,essere,to be,verb,0.4666666666666666
ai,al,to the,"prep, art, pl",0.0
avevo,avere,to have,verb,0.44761904761904764
figlio,figlio,son,nm,0.0
accordo,accordo,agreement,nm,0.5026455026455027
gente,gente,people,nf,0.5777777777777778
sicuro,sicuro,sure,"adj, adv, nm",0.75
vieni,venire,to come,verb,0.0
degli,di,some,"prep, art, pl, m",0.0
guarda,guardare,to look,verb,0.0
dentro,dentro,inside,"adv, prep",0.4444444444444444
trovato,trovare,found,"verb, adj",0.44761904761904764
queste,questo,these,"adj, pron",0.7000000000000001
caso,caso,case,nm,0.8333333333333334
forza,forza,strength,"nf, interj",0.44166666666666665
dov',dove,where,adv,0.0
tutte,tutto,all,"adj, pron",0.0
pensi,pensare,to think,verb,0.44166666666666665
signora,signore,lady,nf,0.0
faccio,fare,to do,verb,0.45555555555555555
nome,nome,name,nm,0.8333333333333334
avuto,avere,to have,verb,0.0
problema,problema,problem,nm,0.9583333333333334
altri,altro,others,"adj, pron",0.5777777777777778
puo,potere,to be able to,verb,0.47008547008547
aver,avere,to have,verb,0.0
mondo,mondo,world,nm,0.6
tutta,tutto,all,"adj, pron, adv",0.0
preso,prendere,taken,"verb, adj",0.4666666666666666
nulla,nulla,nothing,"pron, nm",0.44761904761904764
nostra,nostro,our,"adj, pron",0.6666666666666666
donna,donna,woman,nf,0.6222222222222222
stare,stare,to stay,verb,0.44761904761904764
basta,bastare,enough,"adj, adv, verb, interj",0.0
insieme,insieme,together,"adv, nm",0.5119047619047619
faccia,faccia,face,nf,0.75
ragazza,ragazzo,girl,nf,0.42857142857142855
subito,subito,immediately,adv,0.5050505050505051
famiglia,famiglia,family,nf,0.8194444444444445
ragazzo,ragazzo,boy,nm,0.0
volevo,volere,to want,verb,0.4365079365079365
okay,okay,okay,"adv, adj, interj",1.0
sentito,sentire,to hear,verb,0.0
ah,ah,ah,interj,1.0
stesso,stesso,same,"adj, pron",0.611111111111111
ragione,ragione,reason,nf,0.746031746031746
sarà,essere,to be,verb,0.0
tuoi,tuo,your,"adj, pron, m, pl",0.5
capito,capire,understood,"verb, adj",0.5111111111111111
notte,notte,night,nf,0.6
volte,volta,times,"nf, pl",0.4666666666666666
testa,testa,head,nf,0.48333333333333334
serve,servire,it is needed,verb,0.5222222222222223
tesoro,tesoro,treasure,nm,0.6388888888888888
sotto,sotto,under,"prep, adv",0.0
eh,eh,well,interj,0.5833333333333334
suoi,suo,his,"adj, m, pl, pron",0.0
vado,andare,to go,verb,0.48333333333333334
sara,essere,will be,verb,0.0
dato,dato,fact,nm,0.6666666666666666
stiamo,stare,to stay,verb,0.5396825396825397
bella,bello,beautiful,adj,0.6444444444444445
scusa,scusare,excuse,"nf, verb, sentence",0.7000000000000001
erano,essere,to be,verb,0.0
pensavo,pensare,to think,verb,0.0
avrei,avere,to have,verb,0.0
prendere,prendere,to take,verb,0.4226190476190476
buona,buono,good,"adj, nf",0.48333333333333334
porta,portare,door,"nf, verb",0.6333333333333333
bello,bello,beautiful,"adj, nm",0.5407407407407407
moglie,moglie,wife,"nf, n",0.47222222222222215
vorrei,volere,to want,verb,0.4365079365079365
storia,storia,history,nf,0.746031746031746
succede,succedere,to happen,verb,0.41798941798941797
morto,morto,dead,"adj, nm",0.0
cercando,cercare,to search,verb,0.49074074074074076
dici,dire,you say,verb,0.0
persona,persona,person,nf,0.9523809523809524
pronto,pronto,ready,"adj, interj",0.45555555555555555
meno,meno,less,"adv, adj, nm",0.5
dovuto,dovere,due,"adj, nm, verb",0.6666666666666666
avanti,avanti,forward,"adv, prep, interj",0.4365079365079365
capisco,capire,to understand,verb,0.3131868131868132
secondo,secondo,second,"adj, nm, prep",0.9523809523809524
venire,venire,to come,verb,0.4365079365079365
polizia,polizia,police,nf,0.746031746031746
lì,lì,there,adv,0.0
avrebbe,avere,to have,verb,0.42857142857142855
stanno,stare,to be,verb,0.45555555555555555
mentre,mentre,while,"conj, nm",0.45555555555555555
letto,letto,bed,nm,0.5111111111111111
fino,fino,until,"prep, adv, adj",0.48333333333333334
dico,dire,to say,verb,0.47222222222222215
amici,amico,friends,"nm, pl",0.44761904761904764
fine,fine,end,"nf, nm, adj, adv",0.5277777777777778
aiuto,aiutare,help,"nm, verb",0.0
paura,paura,fear,nf,0.6333333333333333
fratello,fratello,brother,nm,0.6011904761904762
stavo,stare,to be,verb,0.4666666666666666
uomini,uomo,men,"nm, pl",0.6666666666666666
nell',in lo,in the,"prep, art",0.45555555555555555
domani,domani,tomorrow,"adv, nm",0.5277777777777778
facciamo,fare,to do,verb,0.44166666666666665
abbastanza,abbastanza,enough,"adv, adj",0.0
capo,capo,boss,nm,0.0
amore,amore,love,nm,0.6333333333333333
nei,in,in the,"prep, art, pl",0.5
ucciso,uccidere,to kill,"verb, adj, m",0.4365079365079365
state,essere,been,"verb, f, pl",0.0
piano,piano,slowly,"adv, nm, adj",0.45555555555555555
macchina,macchina,car,nf,0.47222222222222215
trovare,trovare,to find,verb,0.5238095238095238
comunque,comunque,anyway,"adv, conj",0.4305555555555555
vediamo,vedere,to see,verb,0.0
giorni,giorno,days,"nm, pl",0.0
nemmeno,nemmeno,not even,"adv, conj",0.6904761904761904
mano,mano,hand,"f, nf",0.6666666666666666
dall',da,from the,"prep, art",0.0
presto,presto,soon,"adv, adj, m",0.0
stati,stato,states,"nm, pl",0.8222222222222223
merda,merda,shit,nf,0.0
far,fare,to do,verb,0.0
bambino,bambino,child,nm,0.44761904761904764
andato,andare,gone,"verb, adj",0.47222222222222215
vedo,vedere,to see,verb,0.47222222222222215
tornare,tornare,to return,verb,0.6899470899470899
quelle,quello,those,"adj, pron, f, pl",0.45555555555555555
cio,ciò,that,pron,0.0
primo,primo,first,"adj, nm",0.43333333333333335
vostro,vostro,your,"adj, pron",0.611111111111111
neanche,neanche,neither,"adv, conj",0.7142857142857143
sera,sera,evening,nf,0.46428571428571425
giro,giro,turn,nm,0.5
morte,morte,death,nf,0.4666666666666666
e',essere,is,verb,0.0
qua,qua,here,adv,0.0
pensato,pensare,thought,verb,0.42857142857142855
buon,buono,good,adj,0.5
anno,anno,year,nm,0.0
mie,mio,my,"adj, pron, pl",0.611111111111111
diavolo,diavolo,devil,nm,0.7071428571428572
quasi,quasi,almost,adv,0.5777777777777778
piacere,piacere,to like,"verb, nm",0.42857142857142855
bel,bello,beautiful,adj,0.6296296296296297
dovrei,dovere,I should,verb,0.4305555555555555
nessun,nessuno,none,"adj, pron",0.611111111111111
contro,contro,against,"prep, adv",0.4365079365079365
stessa,stesso,same,"adj, pron",0.611111111111111
felice,felice,happy,adj,0.0
colpa,colpa,fault,nf,0.4666666666666666
punto,punto,point,nm,0.7333333333333334
andata,andare,gone,"verb, nf",0.47222222222222215
dovrebbe,dovere,should,verb,0.4305555555555555
vedi,vedere,to see,verb,0.0
quale,quale,which,"adj, pron",0.0
chiesto,chiedere,asked,verb,0.44761904761904764
invece,invece,instead,"adv, conj",0.6428571428571429
perchè,perchè,why,"adv, conj, nm",0.0
migliore,migliore,better,"adj, nmf",0.3611111111111111
nostri,nostro,our,"adj, pron",0.6666666666666666
finito,finire,finished,"adj, verb",0.7222222222222222
figlia,figlio,daughter,nf,0.4305555555555555
dovresti,dovere,should,verb,0.4305555555555555
papa,papa,pope,nm,0.6666666666666666
almeno,almeno,at least,adv,0.625
sento,sentire,to feel,verb,0.0
quei,quel,those,"adj, pron",0.0
col,col,with the,"prep, art",0.0
ore,ora,hours,"nf, pl",0.5111111111111111
passato,passato,past,"adj, nm",0.8571428571428571
magari,magari,maybe,"adv, interj",0.5777777777777778
minuti,minuto,minutes,"m, pl",0.8492063492063492
terra,terra,earth,nf,0.6
vostra,vostro,your,"adj, pron",0.611111111111111
strada,strada,street,nf,0.6666666666666666
sola,solo,alone,"adj, nf",0.4666666666666666
credi,credere,to believe,verb,0.5333333333333333
importante,importante,important,adj,0.9666666666666667
sue,suo,his,"adj, pron",0.0
salve,salve,hello,interj,0.4666666666666666
settimana,settimana,week,nf,0.4537037037037037
perso,perdere,lost,"adj, verb",0.48333333333333334
uscire,uscire,to go out,verb,0.0
parlato,parlare,spoken,"adj, nm, verb",0.4365079365079365
papà,papà,dad,nm,0.5277777777777778
stasera,stasera,this evening,adv,0.44841269841269843
scusi,scusare,excuse me,"verb, sentence",0.6444444444444445
dollari,dollaro,dollars,"nm, pl",0.9047619047619048
occhi,occhio,eyes,"nm, pl",0.0
mani,mano,hands,"f, pl",0.6333333333333333
ultima,ultimo,last,"adj, nf",0.611111111111111
possibile,possibile,possible,"adj, nm",0.9629629629629629
scuola,scuola,school,nf,0.7777777777777777
significa,significare,to mean,verb,0.335978835978836
sapevo,sapere,to know,verb,0.4365079365079365
nelle,nel,in the,"prep, art, f, pl",0.5777777777777778
potrei,potere,to be able to,verb,0.46581196581196577
stava,stare,to stay,verb,0.5619047619047619
bambini,bambino,children,"m, pl",0.5119047619047619
eri,essere,to be,verb,0.0
importa,importare,to matter,verb,0.5052910052910052
indietro,indietro,back,adv,0.0
riesco,riuscire,to succeed,verb,0.48888888888888893
sangue,sangue,blood,nm,0.0
chiama,chiamare,to call,verb,0.4365079365079365
messo,mettere,to put,"verb, m, sg",0.0
piccolo,piccolo,small,"adj, nm",0.44761904761904764
traduzione,traduzione,translation,nf,0.7151515151515152
tardi,tardi,late,adv,0.48333333333333334
cuore,cuore,heart,nm,0.4666666666666666
marito,marito,husband,"m, nm",0.0
viene,venire,to come,verb,0.44761904761904764
venuto,venire,come,"verb, adj, m",0.47222222222222215
ieri,ieri,yesterday,adv,0.5740740740740741
spero,sperare,to hope,verb,0.44761904761904764
ricordi,ricordare,memory,"nm, pl, verb",0.5396825396825397
quelli,quello,those,"pron, pl, m",0.45555555555555555
dovremmo,dovere,to have to,verb,0.6333333333333333
lasciato,lasciare,left,"verb, adj",0.5833333333333334
ascolta,ascoltare,to listen,verb,0.5873015873015873
difficile,difficile,difficult,adj,0.8518518518518517
quell',quello,that,"adj, pron",0.0
auto,auto,car,nf,0.5277777777777778
chiamato,chiamare,called,"verb, adj",0.5277777777777778
ciò,ciò,that,pron,0.0
altre,altro,other,"adj, pron",0.6222222222222222
parlando,parlare,to speak,verb,0.4166666666666667
pensare,pensare,to think,verb,0.0
fantastico,fantastico,fantastic,adj,0.9666666666666667
fatta,fare,done,"adj, verb",0.0
numero,numero,number,nm,0.888888888888889
veramente,veramente,really,adv,0.5
fanno,fare,to do,verb,0.4666666666666666
com',come,how,adv,0.5277777777777778
serio,serio,serious,adj,0.9047619047619048
possa,potere,to be able to,verb,0.517948717948718
fossi,essere,to be,verb,0.4666666666666666
entrare,entrare,to enter,verb,0.6464285714285715
anch',anche,also,adv,0.48333333333333334
qualsiasi,qualsiasi,any,"adj, pron",0.48148148148148145
pensa,pensare,to think,verb,0.0
dicendo,dire,to say,verb,0.0
acqua,acqua,water,nf,0.4666666666666666
portato,portare,brought,verb,0.5079365079365079
stanza,stanza,room,nf,0.0
problemi,problema,problems,"nm, pl",0.9166666666666666
forte,forte,strong,"adj, adv, nm",0.5888888888888889
nessuna,nessuno,none,"adj, pron",0.5952380952380952
lascia,lasciare,to leave,verb,0.5277777777777778
amo,amare,to love,verb,0.4920634920634921
roba,roba,stuff,nf,0.0
agente,agente,agent,"nmf, nc",0.9444444444444445
dietro,dietro,behind,"adv, prep",0.38888888888888884
corpo,corpo,body,nm,0.48333333333333334
pare,parere,it seems,verb,0.4583333333333333
sentire,sentire,to feel,verb,0.42857142857142855
foto,foto,photo,nf,0.7833333333333333
telefono,telefono,telephone,nm,0.8055555555555555
voleva,volere,to want,verb,0.5396825396825397
poco,poco,little,"adj, adv, nm, pron",0.0
prendi,prendere,to take,verb,0.0
piccola,piccolo,small,"adj, nf",0.44761904761904764
vicino,vicino,near,"adj, adv",0.0
quest',questo,this,"adj, pron",0.47222222222222215
sacco,sacco,sack,nm,0.7833333333333333
stia,stare,to stay,verb,0.5952380952380952
capire,capire,to understand,verb,0.32905982905982906
potuto,potere,been able,verb,0.0
cinque,cinque,five,"num, m, pl",0.611111111111111
strano,strano,strange,adj,0.8492063492063492
tue,tuo,your,"adj, pl, f",0.5277777777777778
andando,andare,to go,verb,0.44761904761904764
donne,donna,women,"nf, pl",0.6222222222222222
sappiamo,sapere,to know,verb,0.4226190476190476
bravo,bravo,good,adj,0.0
ragazze,ragazzo,girls,"nf, pl",0.3952380952380952
festa,festa,party,nf,0.4666666666666666
senso,senso,sense,nm,0.8666666666666667
genere,genere,kind,nm,0.47222222222222215
quattro,quattro,four,"num, nm",0.5952380952380952
dare,dare,to give,verb,0.0
attimo,attimo,moment,nm,0.4444444444444444
sorella,sorella,sister,nf,0.5396825396825397
pure,pure,also,"adv, conj",0.0
probabilmente,probabilmente,probably,adv,0.8044871794871794
film,film,film,nm,1.0
parla,parlare,to speak,verb,0.44166666666666665
ufficio,ufficio,office,nm,0.746031746031746
verso,verso,towards,"prep, nm, verb",0.44761904761904764
mesi,mese,months,"nm, pl",0.47222222222222215
farti,fare,to make you,"verb, pron",0.3606060606060606
unica,unico,only,"adj, nf",0.48333333333333334
morire,morire,to die,verb,0.6666666666666666
signorina,signore,miss,nf,0.40740740740740744
vecchio,vecchio,old,"adj, nm",0.0
domanda,domandare,question,"nf, verb",0.4226190476190476
ben,ben,well,adv,0.5277777777777778
guerra,guerra,war,nf,0.5
dottore,dottore,doctor,nm,0.8492063492063492
conosco,conoscere,to know,verb,0.6190476190476191
qual,quale,which,"adj, pron",0.0
vivere,vivere,to live,"verb, nm",0.4365079365079365
vista,vista,view,nf,0.6333333333333333
prova,provare,test,"nf, verb",0.0
nuova,nuovo,new,adj,0.5111111111111111
ricordo,ricordare,memory,"nm, verb",0.5396825396825397
divertente,divertente,funny,adj,0.43333333333333335
avessi,avere,to have,verb,0.0
sicura,sicuro,safe,adj,0.47222222222222215
paio,paio,pair,nm,0.8333333333333334
conto,conto,account,nm,0.5619047619047619
perdere,perdere,to lose,verb,0.42857142857142855
dimmi,dire,tell me,verb,0.44761904761904764
farmi,fare,to make me,"verb, pron",0.3666666666666667
figli,figlio,children,"nm, pl",0.5499999999999999
mezzo,mezzo,half,"adj, nm",0.0
lavorare,lavorare,to work,verb,0.5119047619047619
unico,unico,unique,"adj, m, sg",0.7000000000000001
esattamente,esattamente,exactly,adv,0.5670995670995671
squadra,squadra,team,nf,0.46428571428571425
esatto,esatto,exact,adj,0.7000000000000001
possono,potere,to be able to,verb,0.40659340659340665
fate,fare,to do,verb,0.0
faro,faro,lighthouse,nm,0.45
sapete,sapere,to know,verb,0.0
dottor,dottore,doctor,nm,0.888888888888889
parola,parola,word,nf,0.4444444444444444
piedi,piede,foot,"nm, pl",0.0
sopra,sopra,above,"adv, prep",0.4666666666666666
motivo,motivo,reason,nm,0.4444444444444444
avevi,avere,to have,verb,0.44761904761904764
cavolo,cavolo,cabbage,"nm, interj",0.5396825396825397
capitano,capitare,captain,"nm, verb",0.9107142857142857
finita,finito,finished,"adj, verb",0.7222222222222222
volete,volere,to want,verb,0.5396825396825397
siano,essere,to be,verb,0.0
potresti,potere,could,verb,0.44166666666666665
gioco,gioco,game,nm,0.48333333333333334
perfetto,perfetto,perfect,"adj, nm",0.8690476190476191
be,bere,to drink,verb,0.0
mente,mente,mind,nf,0.6333333333333333
mangiare,mangiare,to eat,verb,0.4305555555555555
resto,restare,rest,"nm, verb",0.9333333333333332
credere,credere,to believe,verb,0.5761904761904763
fortuna,fortuna,luck,nf,0.0
tratta,trattare,to treat,"verb, nf",0.6861111111111112
chiamo,chiamare,to call,verb,0.4365079365079365
morta,morto,dead,"adj, nf",0.0
là,là,there,adv,0.0
entrambi,entrambo,both,"adj, pron",0.4583333333333333
avresti,avere,to have,verb,0.0
passare,passare,to pass,verb,0.35714285714285715
cena,cena,dinner,nf,0.47222222222222215
the,il,the,art,1.0
sarei,essere,to be,verb,0.4666666666666666
controllo,controllare,control,"nm, verb",0.9259259259259259
affari,affare,business,"m, pl",0.4305555555555555
spiace,spiacere,to be sorry,verb,0.41919191919191917
ultimo,ultimo,last,"adj, nm",0.611111111111111
facile,facile,easy,adj,0.47222222222222215
farò,fare,to do,verb,0.0
buongiorno,buongiorno,good morning,"interj, nm",0.6555555555555556
davanti,davanti,in front,"adv, prep",0.5119047619047619
tizio,tizio,guy,nm,0.0
dammi,dare,to give,"verb, indir obj",0.44761904761904764
sicurezza,sicurezza,safety,nf,0.5185185185185185
dalle,dalle,from the,"prep, art",0.44166666666666665
quanti,quanto,how many,"adj, pron",0.5277777777777778
dica,dire,to say,verb,0.47222222222222215
matrimonio,matrimonio,marriage,nm,0.6333333333333333
john,john,toilet,nm,0.47222222222222215
vogliono,volere,to want,verb,0.5119047619047619
molti,molto,many,"adj, pron",0.48333333333333334
culo,culo,ass,nm,0.0
fuoco,fuoco,fire,nm,0.48333333333333334
cercare,cercare,to look for,verb,0.0
pistola,pistola,gun,nf,0.0
potremmo,potere,to be able to,verb,0.5192307692307693
re,re,king,nm,0.0
mandato,mandare,mandate,"nm, verb",0.9047619047619048
puttana,puttana,whore,nf,0.0
negli,nel,in the,"prep, art, m, pl",0.45555555555555555
cioe,cioè,that is to say,"adv, conj",0.44047619047619047
inizio,inizio,beginning,nm,0.611111111111111
saranno,essere,to be,verb,0.0
causa,causa,cause,nf,0.8666666666666667
voglia,volere,desire,"nf, verb",0.4444444444444444
mettere,mettere,to put,verb,0.5396825396825397
fammi,fare,make me,"verb, pron, dir obj",0.565079365079365
uccidere,uccidere,to kill,verb,0.4226190476190476
vogliamo,volere,to want,verb,0.5119047619047619
faremo,fare,to do,verb,0.45555555555555555
però,però,but,"conj, adv",0.0
genitori,genitore,parents,"nm, pl",0.6011904761904762
sesso,sesso,sex,nm,0.6888888888888888
potete,potere,to be able to,verb,0.5747863247863249
ricevuto,ricevere,received,"verb, adj",0.6833333333333332
vivo,vivere,alive,"adj, nm, verb",0.6333333333333333
presidente,presidente,president,nmf,0.9666666666666667
città,città,city,nf,0.7833333333333333
