Word,Infinitive,English_Translation,Word_Type,Jaro_Score,Initial_Jaro,Rule_Chain,Max_Jaro_Score
ogni,ogni,each,"adj, pron",0.0,0.0,,0.0
modo,modo,way,nm,0.0,0.0,,0.0
senza,senza,without,"prep, adv",0.0,0.0,,0.0
qualche,qualche,some,"adj, pron",0.0,0.0,,0.0
dispiace,dispiacere,to be sorry,verb,0.3106060606060606,0.4226190476190476,,0.4226190476190476
penso,pensare,to think,verb,0.44166666666666665,0.4666666666666666,,0.4666666666666666
ecco,ecco,here,adv,0.5,0.5,,0.5
parlare,parlare,to speak,verb,0.3452380952380952,0.5619047619047619,,0.5619047619047619
tra,trarre,to draw,verb,0.4920634920634921,0.7222222222222222,,0.7222222222222222
mamma,mamma,mother,nf,0.45555555555555555,0.45555555555555555,,0.45555555555555555
troppo,troppo,too much,"adj, adv, pron",0.625,0.5396825396825397,,0.5396825396825397
nuovo,nuovo,new,"adj, nm",0.5111111111111111,0.5111111111111111,,0.5111111111111111
male,male,badly,"adv, nm",0.6333333333333333,0.6333333333333333,,0.6333333333333333
madre,madre,mother,nf,0.5888888888888889,0.5888888888888889,,0.5888888888888889
tanto,tanto,much,"adv, adj, pron",0.0,0.0,,0.0
favore,favore,favor,nm,0.9444444444444445,0.9444444444444445,suffix-e-,1.0
successo,successo,success,nm,0.9583333333333334,0.9583333333333334,suffix-o-,1.0
giusto,giusto,right,"adj, adv, nm",0.5888888888888889,0.5888888888888889,,0.5888888888888889
aspetta,aspettare,to wait,verb,0.35714285714285715,0.5952380952380952,,0.5952380952380952
alle,alle,at the,"prep, art, pl",0.611111111111111,0.6333333333333333,,0.6333333333333333
momento,momento,moment,nm,0.9523809523809524,0.9523809523809524,suffix-mento-ment,1.0
ragazzi,ragazzo,boys,"nm, pl",0.0,0.0,,0.0
persone,persona,people,"nf, pl",0.746031746031746,0.746031746031746,,0.746031746031746
nostro,nostro,our,"adj, pron",0.6666666666666666,0.6666666666666666,,0.6666666666666666
tipo,tipo,type,"nm, adj",0.6666666666666666,0.6666666666666666,,0.6666666666666666
prego,pregare,you are welcome,"interj, verb",0.48888888888888893,0.49914529914529915,,0.49914529914529915
grande,grande,big,"adj, nmf",0.5,0.5,,0.5
senti,sentire,to feel,verb,0.0,0.48333333333333334,,0.48333333333333334
appena,appena,as soon as,"adv, conj",0.6,0.625,,0.625
soldi,soldo,money,"nm, pl",0.4666666666666666,0.4666666666666666,,0.4666666666666666
tre,tre,three,"num, nm",0.8666666666666667,0.8666666666666667,,0.8666666666666667
oggi,oggi,today,"adv, nm",0.48333333333333334,0.48333333333333334,,0.48333333333333334
piace,piacere,to like,verb,0.44761904761904764,0.6333333333333333,,0.6333333333333333
idea,idea,idea,nf,1.0,1.0,,1.0
figlio,figlio,son,nm,0.0,0.0,,0.0
accordo,accordo,agreement,nm,0.5026455026455027,0.5026455026455027,,0.5026455026455027
gente,gente,people,nf,0.5777777777777778,0.5777777777777778,,0.5777777777777778
sicuro,sicuro,sure,"adj, adv, nm",0.75,0.75,,0.75
vieni,venire,to come,verb,0.0,0.48333333333333334,,0.48333333333333334
guarda,guardare,to look,verb,0.0,0.0,,0.0
dentro,dentro,inside,"adv, prep",0.4444444444444444,0.4444444444444444,,0.4444444444444444
trovato,trovare,found,"verb, adj",0.44761904761904764,0.44761904761904764,,0.44761904761904764
caso,caso,case,nm,0.8333333333333334,0.8333333333333334,suffix-o-e,1.0
forza,forza,strength,"nf, interj",0.44166666666666665,0.44166666666666665,,0.44166666666666665
nome,nome,name,nm,0.8333333333333334,0.8333333333333334,,0.8333333333333334
problema,problema,problem,nm,0.9583333333333334,0.9583333333333334,suffix-a-,1.0
mondo,mondo,world,nm,0.6,0.6,,0.6
preso,prendere,taken,"verb, adj",0.4666666666666666,0.4666666666666666,,0.4666666666666666
nulla,nulla,nothing,"pron, nm",0.44761904761904764,0.44761904761904764,,0.44761904761904764
donna,donna,woman,nf,0.6222222222222222,0.6222222222222222,,0.6222222222222222
basta,bastare,enough,"adj, adv, verb, interj",0.0,0.0,,0.0
insieme,insieme,together,"adv, nm",0.5119047619047619,0.5119047619047619,,0.5119047619047619
faccia,faccia,face,nf,0.75,0.75,,0.75
subito,subito,immediately,adv,0.5050505050505051,0.5050505050505051,,0.5050505050505051
famiglia,famiglia,family,nf,0.8194444444444445,0.8194444444444445,,0.8194444444444445
okay,okay,okay,"adv, adj, interj",1.0,1.0,,1.0
ah,ah,ah,interj,1.0,1.0,,1.0
stesso,stesso,same,"adj, pron",0.611111111111111,0.611111111111111,,0.611111111111111
ragione,ragione,reason,nf,0.746031746031746,0.746031746031746,,0.746031746031746
capito,capire,understood,"verb, adj",0.5111111111111111,0.5111111111111111,,0.5111111111111111
notte,notte,night,nf,0.6,0.6,,0.6
testa,testa,head,nf,0.48333333333333334,0.48333333333333334,,0.48333333333333334
serve,servire,it is needed,verb,0.5222222222222223,0.6333333333333333,,0.6333333333333333
tesoro,tesoro,treasure,nm,0.6388888888888888,0.6388888888888888,,0.6388888888888888
sotto,sotto,under,"prep, adv",0.0,0.0,,0.0
eh,eh,well,interj,0.5833333333333334,0.5833333333333334,,0.5833333333333334
dato,dato,fact,nm,0.6666666666666666,0.6666666666666666,,0.6666666666666666
bella,bello,beautiful,adj,0.6444444444444445,0.6444444444444445,,0.6444444444444445
scusa,scusare,excuse,"nf, verb, sentence",0.7000000000000001,0.7000000000000001,,0.7000000000000001
buona,buono,good,"adj, nf",0.48333333333333334,0.48333333333333334,,0.48333333333333334
porta,portare,door,"nf, verb",0.6333333333333333,0.6333333333333333,,0.6333333333333333
moglie,moglie,wife,"nf, n",0.47222222222222215,0.47222222222222215,,0.47222222222222215
storia,storia,history,nf,0.746031746031746,0.746031746031746,,0.746031746031746
succede,succedere,to happen,verb,0.41798941798941797,0.4365079365079365,,0.4365079365079365
morto,morto,dead,"adj, nm",0.0,0.0,,0.0
cercando,cercare,to search,verb,0.49074074074074076,0.6388888888888888,,0.6388888888888888
pronto,pronto,ready,"adj, interj",0.45555555555555555,0.45555555555555555,,0.45555555555555555
meno,meno,less,"adv, adj, nm",0.5,0.5,,0.5
avanti,avanti,forward,"adv, prep, interj",0.4365079365079365,0.4365079365079365,,0.4365079365079365
secondo,secondo,second,"adj, nm, prep",0.9523809523809524,0.9523809523809524,suffix-o-,1.0
polizia,polizia,police,nf,0.746031746031746,0.746031746031746,,0.746031746031746
lì,lì,there,adv,0.0,0.0,,0.0
mentre,mentre,while,"conj, nm",0.45555555555555555,0.45555555555555555,,0.45555555555555555
letto,letto,bed,nm,0.5111111111111111,0.5111111111111111,,0.5111111111111111
fino,fino,until,"prep, adv, adj",0.48333333333333334,0.48333333333333334,,0.48333333333333334
fine,fine,end,"nf, nm, adj, adv",0.5277777777777778,0.5277777777777778,,0.5277777777777778
aiuto,aiutare,help,"nm, verb",0.0,0.0,,0.0
paura,paura,fear,nf,0.6333333333333333,0.6333333333333333,,0.6333333333333333
fratello,fratello,brother,nm,0.6011904761904762,0.6011904761904762,,0.6011904761904762
nell',in lo,in the,"prep, art",0.45555555555555555,0.4666666666666666,,0.4666666666666666
domani,domani,tomorrow,"adv, nm",0.5277777777777778,0.5277777777777778,,0.5277777777777778
abbastanza,abbastanza,enough,"adv, adj",0.0,0.0,,0.0
capo,capo,boss,nm,0.0,0.0,,0.0
amore,amore,love,nm,0.6333333333333333,0.6333333333333333,,0.6333333333333333
ucciso,uccidere,to kill,"verb, adj, m",0.4365079365079365,0.47222222222222215,,0.47222222222222215
piano,piano,slowly,"adv, nm, adj",0.45555555555555555,0.45555555555555555,,0.45555555555555555
macchina,macchina,car,nf,0.47222222222222215,0.47222222222222215,,0.47222222222222215
comunque,comunque,anyway,"adv, conj",0.4305555555555555,0.4305555555555555,,0.4305555555555555
nemmeno,nemmeno,not even,"adv, conj",0.6904761904761904,0.7142857142857143,,0.7142857142857143
mano,mano,hand,"f, nf",0.6666666666666666,0.6666666666666666,,0.6666666666666666
presto,presto,soon,"adv, adj, m",0.0,0.0,,0.0
stati,stato,states,"nm, pl",0.8222222222222223,0.8222222222222223,,0.8222222222222223
merda,merda,shit,nf,0.0,0.0,,0.0
bambino,bambino,child,nm,0.44761904761904764,0.44761904761904764,,0.44761904761904764
tornare,tornare,to return,verb,0.6899470899470899,0.5793650793650794,,0.5793650793650794
cio,ciò,that,pron,0.0,0.0,,0.0
vostro,vostro,your,"adj, pron",0.611111111111111,0.611111111111111,,0.611111111111111
neanche,neanche,neither,"adv, conj",0.7142857142857143,0.7142857142857143,,0.7142857142857143
sera,sera,evening,nf,0.46428571428571425,0.46428571428571425,,0.46428571428571425
giro,giro,turn,nm,0.5,0.5,,0.5
morte,morte,death,nf,0.4666666666666666,0.4666666666666666,,0.4666666666666666
qua,qua,here,adv,0.0,0.0,,0.0
diavolo,diavolo,devil,nm,0.7071428571428572,0.7071428571428572,,0.7071428571428572
quasi,quasi,almost,adv,0.5777777777777778,0.5777777777777778,,0.5777777777777778
contro,contro,against,"prep, adv",0.4365079365079365,0.4365079365079365,,0.4365079365079365
felice,felice,happy,adj,0.0,0.0,,0.0
colpa,colpa,fault,nf,0.4666666666666666,0.4666666666666666,,0.4666666666666666
punto,punto,point,nm,0.7333333333333334,0.7333333333333334,,0.7333333333333334
quale,quale,which,"adj, pron",0.0,0.0,,0.0
chiesto,chiedere,asked,verb,0.44761904761904764,0.44761904761904764,,0.44761904761904764
invece,invece,instead,"adv, conj",0.6428571428571429,0.6428571428571429,,0.6428571428571429
perchè,perchè,why,"adv, conj, nm",0.0,0.0,,0.0
migliore,migliore,better,"adj, nmf",0.3611111111111111,0.3611111111111111,,0.3611111111111111
finito,finire,finished,"adj, verb",0.7222222222222222,0.7222222222222222,,0.7222222222222222
papa,papa,pope,nm,0.6666666666666666,0.6666666666666666,,0.6666666666666666
almeno,almeno,at least,adv,0.625,0.6428571428571429,,0.6428571428571429
quei,quel,those,"adj, pron",0.0,0.0,,0.0
col,col,with the,"prep, art",0.0,0.0,,0.0
passato,passato,past,"adj, nm",0.8571428571428571,0.8571428571428571,,0.8571428571428571
magari,magari,maybe,"adv, interj",0.5777777777777778,0.5777777777777778,,0.5777777777777778
minuti,minuto,minutes,"m, pl",0.8492063492063492,0.8492063492063492,,0.8492063492063492
terra,terra,earth,nf,0.6,0.6,,0.6
strada,strada,street,nf,0.6666666666666666,0.6666666666666666,,0.6666666666666666
importante,importante,important,adj,0.9666666666666667,0.9666666666666667,suffix-e-,1.0
salve,salve,hello,interj,0.4666666666666666,0.4666666666666666,,0.4666666666666666
settimana,settimana,week,nf,0.4537037037037037,0.4537037037037037,,0.4537037037037037
perso,perdere,lost,"adj, verb",0.48333333333333334,0.48333333333333334,,0.48333333333333334
uscire,uscire,to go out,verb,0.0,0.0,,0.0
papà,papà,dad,nm,0.5277777777777778,0.5277777777777778,,0.5277777777777778
stasera,stasera,this evening,adv,0.44841269841269843,0.45598845598845594,,0.45598845598845594
dollari,dollaro,dollars,"nm, pl",0.9047619047619048,0.9047619047619048,,0.9047619047619048
occhi,occhio,eyes,"nm, pl",0.0,0.0,,0.0
ultima,ultimo,last,"adj, nf",0.611111111111111,0.611111111111111,,0.611111111111111
possibile,possibile,possible,"adj, nm",0.9629629629629629,0.9629629629629629,suffix-bile-ble,1.0
scuola,scuola,school,nf,0.7777777777777777,0.7777777777777777,,0.7777777777777777
significa,significare,to mean,verb,0.335978835978836,0.4537037037037037,,0.4537037037037037
nelle,nel,in the,"prep, art, f, pl",0.5777777777777778,0.6,,0.6
importa,importare,to matter,verb,0.5052910052910052,0.5317460317460317,,0.5317460317460317
indietro,indietro,back,adv,0.0,0.0,,0.0
riesco,riuscire,to succeed,verb,0.48888888888888893,0.373015873015873,,0.373015873015873
sangue,sangue,blood,nm,0.0,0.0,,0.0
chiama,chiamare,to call,verb,0.4365079365079365,0.611111111111111,,0.611111111111111
messo,mettere,to put,"verb, m, sg",0.0,0.0,,0.0
piccolo,piccolo,small,"adj, nm",0.44761904761904764,0.44761904761904764,,0.44761904761904764
traduzione,traduzione,translation,nf,0.7151515151515152,0.7151515151515152,,0.7151515151515152
tardi,tardi,late,adv,0.48333333333333334,0.48333333333333334,,0.48333333333333334
cuore,cuore,heart,nm,0.4666666666666666,0.4666666666666666,,0.4666666666666666
marito,marito,husband,"m, nm",0.0,0.0,,0.0
ieri,ieri,yesterday,adv,0.5740740740740741,0.5740740740740741,,0.5740740740740741
spero,sperare,to hope,verb,0.44761904761904764,0.6333333333333333,,0.6333333333333333
ricordi,ricordare,memory,"nm, pl, verb",0.5396825396825397,0.5396825396825397,,0.5396825396825397
lasciato,lasciare,left,"verb, adj",0.5833333333333334,0.5833333333333334,,0.5833333333333334
ascolta,ascoltare,to listen,verb,0.5873015873015873,0.5396825396825397,,0.5396825396825397
difficile,difficile,difficult,adj,0.8518518518518517,0.8518518518518517,,0.8518518518518517
auto,auto,car,nf,0.5277777777777778,0.5277777777777778,,0.5277777777777778
fantastico,fantastico,fantastic,adj,0.9666666666666667,0.9666666666666667,suffix-ico-ic,1.0
numero,numero,number,nm,0.888888888888889,0.888888888888889,,0.888888888888889
veramente,veramente,really,adv,0.5,0.5,,0.5
serio,serio,serious,adj,0.9047619047619048,0.9047619047619048,suffix-o-ous,1.0
entrare,entrare,to enter,verb,0.6464285714285715,0.7904761904761904,suffix-are-e + suffix-re-er,1.0
qualsiasi,qualsiasi,any,"adj, pron",0.48148148148148145,0.48148148148148145,,0.48148148148148145
acqua,acqua,water,nf,0.4666666666666666,0.4666666666666666,,0.4666666666666666
stanza,stanza,room,nf,0.0,0.0,,0.0
forte,forte,strong,"adj, adv, nm",0.5888888888888889,0.5888888888888889,,0.5888888888888889
amo,amare,to love,verb,0.4920634920634921,0.5277777777777778,,0.5277777777777778
roba,roba,stuff,nf,0.0,0.0,,0.0
agente,agente,agent,"nmf, nc",0.9444444444444445,0.9444444444444445,suffix-e-,1.0
dietro,dietro,behind,"adv, prep",0.38888888888888884,0.38888888888888884,,0.38888888888888884
corpo,corpo,body,nm,0.48333333333333334,0.48333333333333334,,0.48333333333333334
pare,parere,it seems,verb,0.4583333333333333,0.46428571428571425,,0.46428571428571425
foto,foto,photo,nf,0.7833333333333333,0.7833333333333333,replace-f-ph,1.0
telefono,telefono,telephone,nm,0.8055555555555555,0.8055555555555555,replace-f-ph + suffix-o-e,1.0
vicino,vicino,near,"adj, adv",0.0,0.0,,0.0
sacco,sacco,sack,nm,0.7833333333333333,0.7833333333333333,,0.7833333333333333
cinque,cinque,five,"num, m, pl",0.611111111111111,0.611111111111111,,0.611111111111111
strano,strano,strange,adj,0.8492063492063492,0.8492063492063492,,0.8492063492063492
bravo,bravo,good,adj,0.0,0.0,,0.0
festa,festa,party,nf,0.4666666666666666,0.4666666666666666,,0.4666666666666666
senso,senso,sense,nm,0.8666666666666667,0.8666666666666667,suffix-o-e,1.0
genere,genere,kind,nm,0.47222222222222215,0.47222222222222215,,0.47222222222222215
quattro,quattro,four,"num, nm",0.5952380952380952,0.5952380952380952,,0.5952380952380952
attimo,attimo,moment,nm,0.4444444444444444,0.4444444444444444,,0.4444444444444444
sorella,sorella,sister,nf,0.5396825396825397,0.5396825396825397,,0.5396825396825397
pure,pure,also,"adv, conj",0.0,0.0,,0.0
probabilmente,probabilmente,probably,adv,0.8044871794871794,0.8044871794871794,,0.8044871794871794
film,film,film,nm,1.0,1.0,,1.0
ufficio,ufficio,office,nm,0.746031746031746,0.746031746031746,,0.746031746031746
verso,verso,towards,"prep, nm, verb",0.44761904761904764,0.44761904761904764,,0.44761904761904764
mesi,mese,months,"nm, pl",0.47222222222222215,0.47222222222222215,,0.47222222222222215
unica,unico,only,"adj, nf",0.48333333333333334,0.48333333333333334,,0.48333333333333334
morire,morire,to die,verb,0.6666666666666666,0.5,,0.5
vecchio,vecchio,old,"adj, nm",0.0,0.0,,0.0
domanda,domandare,question,"nf, verb",0.4226190476190476,0.4226190476190476,,0.4226190476190476
ben,ben,well,adv,0.5277777777777778,0.5277777777777778,,0.5277777777777778
guerra,guerra,war,nf,0.5,0.5,,0.5
dottore,dottore,doctor,nm,0.8492063492063492,0.8492063492063492,replace-tt-ct + suffix-e-,1.0
conosco,conoscere,to know,verb,0.6190476190476191,0.42857142857142855,,0.42857142857142855
vivere,vivere,to live,"verb, nm",0.4365079365079365,0.6388888888888888,,0.6388888888888888
vista,vista,view,nf,0.6333333333333333,0.6333333333333333,,0.6333333333333333
prova,provare,test,"nf, verb",0.0,0.0,,0.0
divertente,divertente,funny,adj,0.43333333333333335,0.43333333333333335,,0.43333333333333335
paio,paio,pair,nm,0.8333333333333334,0.8333333333333334,,0.8333333333333334
conto,conto,account,nm,0.5619047619047619,0.5619047619047619,,0.5619047619047619
mezzo,mezzo,half,"adj, nm",0.0,0.0,,0.0
lavorare,lavorare,to work,verb,0.5119047619047619,0.5833333333333334,,0.5833333333333334
esattamente,esattamente,exactly,adv,0.5670995670995671,0.5670995670995671,,0.5670995670995671
squadra,squadra,team,nf,0.46428571428571425,0.46428571428571425,,0.46428571428571425
esatto,esatto,exact,adj,0.7000000000000001,0.7000000000000001,,0.7000000000000001
faro,faro,lighthouse,nm,0.45,0.45,,0.45
parola,parola,word,nf,0.4444444444444444,0.4444444444444444,,0.4444444444444444
piedi,piede,foot,"nm, pl",0.0,0.0,,0.0
sopra,sopra,above,"adv, prep",0.4666666666666666,0.4666666666666666,,0.4666666666666666
motivo,motivo,reason,nm,0.4444444444444444,0.4444444444444444,,0.4444444444444444
cavolo,cavolo,cabbage,"nm, interj",0.5396825396825397,0.5396825396825397,,0.5396825396825397
capitano,capitare,captain,"nm, verb",0.9107142857142857,0.9107142857142857,,0.9107142857142857
finita,finito,finished,"adj, verb",0.7222222222222222,0.7222222222222222,,0.7222222222222222
gioco,gioco,game,nm,0.48333333333333334,0.48333333333333334,,0.48333333333333334
perfetto,perfetto,perfect,"adj, nm",0.8690476190476191,0.8690476190476191,replace-tt-ct + suffix-o-,1.0
be,bere,to drink,verb,0.0,0.0,,0.0
mente,mente,mind,nf,0.6333333333333333,0.6333333333333333,,0.6333333333333333
mangiare,mangiare,to eat,verb,0.4305555555555555,0.4861111111111111,,0.4861111111111111
resto,restare,rest,"nm, verb",0.9333333333333332,0.9333333333333332,suffix-o-,1.0
fortuna,fortuna,luck,nf,0.0,0.0,,0.0
tratta,trattare,to treat,"verb, nf",0.6861111111111112,0.8222222222222223,,0.8222222222222223
là,là,there,adv,0.0,0.0,,0.0
entrambi,entrambo,both,"adj, pron",0.4583333333333333,0.4583333333333333,,0.4583333333333333
passare,passare,to pass,verb,0.35714285714285715,0.8571428571428571,suffix-are-e + suffix-e-,1.0
cena,cena,dinner,nf,0.47222222222222215,0.47222222222222215,,0.47222222222222215
controllo,controllare,control,"nm, verb",0.9259259259259259,0.9259259259259259,suffix-o- + replace-ll-l,1.0
affari,affare,business,"m, pl",0.4305555555555555,0.4305555555555555,,0.4305555555555555
spiace,spiacere,to be sorry,verb,0.41919191919191917,0.4365079365079365,,0.4365079365079365
facile,facile,easy,adj,0.47222222222222215,0.47222222222222215,,0.47222222222222215
buongiorno,buongiorno,good morning,"interj, nm",0.6555555555555556,0.6757575757575758,,0.6757575757575758
davanti,davanti,in front,"adv, prep",0.5119047619047619,0.5238095238095238,,0.5238095238095238
tizio,tizio,guy,nm,0.0,0.0,,0.0
sicurezza,sicurezza,safety,nf,0.5185185185185185,0.5185185185185185,,0.5185185185185185
dalle,dalle,from the,"prep, art",0.44166666666666665,0.44761904761904764,,0.44761904761904764
matrimonio,matrimonio,marriage,nm,0.6333333333333333,0.6333333333333333,,0.6333333333333333
john,john,toilet,nm,0.47222222222222215,0.47222222222222215,,0.47222222222222215
culo,culo,ass,nm,0.0,0.0,,0.0
