italian,english
normale/i,normal
medio/a/i/e,average
simile/i,similar
specifico/a/i/e,specific
legale/i,legal
vecchio/a/i/e,old
opportuno/a/i/e,appropriate
diretto/a/i/e,direct
francese/i,French
fisico/a/i/e,physical
lontano/a/i/e,distant
elettorale/i,electoral
complessivo/a/i/e,overall
territoriale/i,territorial
materiale/i,material
capace/i,capable
commerciale/i,commercial
nero/a/i/e,black
industriale/i,industrial
fiscale/i,fiscal
sufficiente/i,sufficient
americano/a/i/e,American
efficace/i,effective
originale/i,original
positivo/a/i/e,positive
annuale/i,annual
vivo/a/i/e,alive
privato/a/i/e,private
familiare/i,familiar
lâ,that
bianco/a/i/e,white
sindacale/i,trade union
definitivo/a/i/e,definitive
musicale/i,musical
interno/a/i/e,internal
completo/a/i/e,complete
impossibile/i,impossible
costante/i,constant
ampio/a/i/e,wide
femminile/i,female/feminine
mezzo/a/i/e,half
individuale/i,individual
vigente/i,in force
popolare/i,popular
sanitario/a/i/e,sanitary/health
globale/i,global
tradizionale/i,traditional
aperto/a/i/e,open
notevole/i,remarkable
elettronico/a/i/e,electronic
assoluto/a/i/e,absolute
determinato/a/i/e,determined
online,online
istituzionale/i,institutional
iniziale/i,initial
pronto/a/i/e,ready
morale/i,moral
parlamentare/i,parliamentary
straordinario/a/i/e,extraordinary
parziale/i,partial
responsabile/i,responsible
straniero/a/i/e,foreign
elettrico/a/i/e,electric
contrario/a/i/e,opposite
differente/i,different
statale/i,state
apposito/a/i/e,appropriate/special
interessato/a/i/e,interested
aziendale/i,corporate
essenziale/i,essential
antico/a/i/e,ancient
continuo/a/i/e,continuous
indispensabile/i,indispensable
universitario/a/i/e,university
ordinario/a/i/e,ordinary
disabile/i,disabled
conseguente/i,consequent
compreso/a/i/e,included
enorme/i,enormous
moderno/a/i/e,modern
problematico/a/i/e,problematic
attivo/a/i/e,active
l,l
operativo/a/i/e,operational
legato/a/i/e,bound
giuridico/a/i/e,legal
standard,standard
funzionale/i,functional
adeguato/a/i/e,adequate
produttivo/a/i/e,productive
felice/i,happy
inutile/i,useless
mancato/a/i/e,failed
caro/a/i/e,dear
digitale/i,digital
minimo/a/i/e,minimum
didattico/a/i/e,educational
comunitario/a/i/e,community
ricco/a/chi/che,rich
proprio/a/i/e,own
onorevole/i,honorable
verde/i,green
rilevante/i,relevant
ecc,etcetera
occidentale/i,western
concreto/a/i/e,concrete
corrispondente/i,corresponding
formativo/a/i/e,formative
profondo/a/i/e,deep
contemporaneo/a/i/e,contemporary
previo/a/i/e,prior
disciplinare/i,disciplinary
tedesco/a/teschi/tesche,German
duro/a/i/e,hard
effettivo/a/i/e,effective
negativo/a/i/e,negative
ministeriale/i,ministerial
dell,of the
integrato/a/i/e,integrated
esistente/i,existing
giudiziario/a/i/e,judicial
elevato/a/i/e,elevated
dolce/i,sweet
cristiano/a/i/e,Christian
veloce/i,fast
agricolo/a/i/e,agricultural
ideale/i,ideal
formale/i,formal
famoso/a/i/e,famous
immediato/a/i/e,immediate
stradale/i,road
quarto/a/i/e,fourth
lavorativo/a/i/e,working
elementare/i,elementary
universo/a/i/e,universal
significativo/a/i/e,significant
esterno/a/i/e,external
spirituale/i,spiritual
uguale/i,equal
estremo/a/i/e,extreme
cattolico/a/i/e,catholic
autonomo/a/i/e,autonomous
religioso/a/i/e,religious
connesso/a/i/e,connected
ottimo/a/i/e,excellent
rosso/a/i/e,red
universale/i,universal
corrente/i,current
grosso/a/i/e,big
gratuito/a/i/e,free
strano/a/i/e,strange
indeterminato/a/i/e,indeterminate
complesso/a/i/e,complex
entrambi/e,both
freddo/a/i/e,cold
collettivo/a/i/e,collective
sostanziale/i,substantial
tecnologico/a/i/e,technological
docente/i,teaching
informativo/a/i/e,informative
zero,zero
classico/a/i/e,classic
ricorrente/i,recurring
preciso/a/i/e,precise
contrattuale/i,contractual
indicato/a/i/e,indicated
secondario/a/i/e,secondary
obbligatorio/a/i/e,mandatory
citato/a/i/e,cited
normativo/a/i/e,regulatory
crescente/i,growing
alimentare/i,food
adulto/a/i/e,adult
regolare/i,regular
quotidiano/a/i/e,daily
potente/i,powerful
dellâ,of the
artistico/a/i/e,artistic
dipendente/i,dependent
sostenibile/i,sustainable
cmq,anyway
valido/a/i/e,valid
democratico/a/i/e,democratic
stretto/a/i/e,narrow
estero/a/i/e,foreign
blu,blue
mentale/i,mental
inerente/i,inherent
rispettivo/a/i/e,respective
largo/a/i/e,wide
indipendente/i,independent
urgente/i,urgent
preliminare/i,preliminary
virtuale/i,virtual
pesante/i,heavy
comparativo/a/i/e,comparative
concesso/a/i/e,conceded
debole/i,weak
verbale/i,verbal
perfetto/a/i/e,perfect
radicale/i,radical
strutturale/i,structural
povero/a/i/e,poor
sportivo/a/i/e,sporty
scarso/a/i/e,scarce
alternativo/a/i/e,alternative
comunista/e,communist
doppio/a/i/e,double
organizzativo/a/i/e,organizational
romano/a/i/e,Roman
sessuale/i,sexual
visibile/i,visible
sperimentale/i,experimental
incredibile/i,incredible
intellettuale/i,intellectual
consapevole/i,aware
giovanile/i,youthful
temporale/i,temporal
mobile/i,mobile
caldo/a/i/e,hot
residente/i,resident
medico/a/i/e,medical
critico/a/i/e,critical
orale/i,oral
vasto/a/i/e,vast
scritto/a/i/e,written
puro/a/i/e,pure
cinese/i,Chinese
educativo/a/i/e,educational
sicuro/a/i/e,safe
atletico/a/i/e,athletic
urbano/a/i/e,urban
cosiddetto/a/i/e,so-called
triste/i,sad
stabile/i,stable
solare/i,solar
mensile/i,monthly
primario/a/i/e,primary
preventivo/a/i/e,preventive
informatico/a/i/e,computing
coerente/i,coherent
you,you
probabile/i,probable
consistente/i,consistent
tipico/a/i/e,typical
lino/a/i/e,linen
eccezionale/i,exceptional
federale/i,federal
rapido/a/i/e,rapid
stabilito/a/i/e,established
convertito/a/i/e,converted
contabile/i,accounting
conforme/i,compliant
serio/a/i/e,serious
corretto/a/i/e,correct
teatrale/i,theatrical
urbanistico/a/i/e,urbanplanning
divertente/i,fun
postale/i,postal
maschile/i,male
molteplice/i,multiple
integrale/i,integral
triennale/i,three-year
nucleare/i,nuclear
statunitense/i,American
idoneo/a/i/e,suitable
terribile/i,terrible
organizzato/a/i/e,organized
bravo/a/i/e,good
attento/a/i/e,attentive
is,is
intelligente/i,intelligent
temporaneo/a/i/e,temporary
suddetto/a/i/e,aforementioned
pericoloso/a/i/e,dangerous
amico/a/i/e,friendly
predetto/a/i/e,foretold
accademico/a/i/e,academic
orientale/i,eastern
armato/a/i/e,armed
celebre/i,famous
fisso/a/i/e,fixed
rosa,pink
fermo/a/i/e,still
esclusivo/a/i/e,exclusive
diffuso/a/i/e,widespread
turistico/a/i/e,touristic
sensibile/i,sensitive
chiuso/a/i/e,closed
efficiente/i,efficient
organico/a/i/e,organic
milanese/i,Milanese
musulmano/a/i/e,Muslim
chimico/a/i/e,chemical
unitario/a/i/e,unitary
strategico/a/i/e,strategic
intenso/a/i/e,intense
piacevole/i,pleasant
netto/a/i/e,clear
color,color
giapponese/i,Japanese
televisivo/a/i/e,television
improvviso/a/i/e,sudden
originario/a/i/e,original
inevitabile/i,inevitable
futuro/a/i/e,future
integrante/i,integral
quinto/a/i/e,fifth
dovuto/a/i/e,due
razionale/i,rational
odierno/a/i/e,today's
orario/a/i/e,hourly
leggero/a/i/e,light
frequente/i,frequent
cattivo/a/i/e,bad
vitale/i,vital
artificiale/i,artificial
immobile/i,motionless
bancario/a/i/e,banking
previdenziale/i,welfare
liberale/i,liberal
concorrente/i,competing
at,at
u,u
grafico/a/i/e,graphic
interiore/i,inner
sostitutivo/a/i/e,substitutive
splendido/a/i/e,splendid
adatto/a/i/e,suitable
telematico/a/i/e,telematic
autentico/a/i/e,authentic
brutto/a/i/e,ugly
sinistro/a/i/e,left
prevalente/i,prevalent
sonoro/a/i/e,sound
meridionale/i,southern
applicabile/i,applicable
biologico/a/i/e,biological
ovvio/a/i/e,obvious
aggiuntivo/a/i/e,additional
palestinese/i,Palestinian
privo/a/i/e,devoid
sottile/i,thin
delicato/a/i/e,delicate
esecutivo/a/i/e,executive
compatibile/i,compatible
automatico/a/i/e,automatic
legittimo/a/i/e,legitimate
energetico/a/i/e,energetic
tranquillo/a/i/e,quiet
pratico/a/i/e,practical
azzurro/a/i/e,light blue
affascinante/i,charming
segreto/a/i/e,secret
annuo/a/i/e,annual
prezioso/a/i/e,precious
allâ,all
new,new
allegato/a/i/e,attached
decisivo/a/i/e,decisive
protetto/a/i/e,protected
fresco/a/i/e,fresh
fedele/i,faithful
puntuale/i,punctual
sesto/a/i/e,sixth
provvisorio/a/i/e,provisional
nominale/i,nominal
residenziale/i,residential
progressivo/a/i/e,progressive
edilizio/a/i/e,building
falso/a/i/e,false
duplice/i,dual
variabile/i,variable
analogo/a/i/e,analogous
dominante/i,dominant
giurisdizionale/i,jurisdictional
riservato/a/i/e,reserved
settimanale/i,weekly
espresso/a/i/e,expressed
animale/i,animal
