italian_original,italian,function,english
saluto,il saluto,sostantivo,greeting
appassionato,appassionato/a/i/e,aggettivo,passionate
promettere,promettere,verbo transitivo,to promise
stretto,stretto/a/i/e,aggettivo,narrow
dire,dire,verbo transitivo,to say
autobus,l'autobus,sostantivo,bus
vostro,vostro,agg. - pron.,your
cliente,il cliente,sostantivo,customer
cappotto,il cappotto,sostantivo,coat
fermare/si,fermare,verbo transitivo - verbo intransitivo pronominale,to stop
sì,sì,avverbio,yes
informare,informare,verbo transitivo,inform
rivista,la rivista,sostantivo,magazine
in,in,preposizione,in
augurio,l'augurio,sostantivo,wish
angolo,l'angolo,sostantivo,corner
difficile,difficile/i,aggettivo,difficult
molto,molto/a/i/e,aggettivo - avverbio,very
discesa,la discesa,sostantivo,descent
firmare,firmare,verbo transitivo,to sign
grosso,grosso/a/i/e,aggettivo,big
occupare/si,occupare,verbo transitivo - verbo intransitivo pronominale,to occupy
diventare,diventare,verbo intransitivo,to become
potere,potere,verbo intransitivo,to be able to
dipingere,dipingere,verbo transitivo,to paint
calmo,calmo/a/i/e,aggettivo,calm
secolo,il secolo,sostantivo,century
obbligatorio,obbligatorio/a/i/e,aggettivo,mandatory
pianta,la pianta,sostantivo,plant
valigia,la valigia,sostantivo,suitcase
natura,la natura,sostantivo,nature
morte,la morte,sostantivo,death
linea,la linea,sostantivo,line
annuncio,l'annuncio,sostantivo,announcement
libro,il libro,sostantivo,book
cantina,la cantina,sostantivo,cellar
peggiorare,peggiorare,verbo transitivo,worsen
acido,acido/a/i/e,aggettivo,acid
sciare,sciare,verbo intransitivo,to ski
pavimento,il pavimento,sostantivo,floor
aggiungere,aggiungere,verbo transitivo,to add
ok,ok,interiezione,okay
sottile,sottile/i,aggettivo,thin
oro,l'oro,sostantivo,gold
stiro,lo stiro,sostantivo,ironing
soltanto,soltanto,avverbio,only
volentieri,volentieri,avverbio,gladly
rettore,il rettore,sostantivo,rector
noioso,noioso/a/i/e,aggettivo,boring
abbastanza,abbastanza,avverbio,enough
bagno,il bagno,sostantivo,bathroom
rilassarsi,rilassarsi,verbo riflessivo,to relax
accomodarsi,accomodarsi,verbo intransitivo pronominale,to make oneself comfortable
domenica,la domenica,sostantivo,Sunday
rosso,rosso/a/i/e,aggettivo,red
cellulare,il cellulare,sostantivo,mobile phone
termosifone,il termosifone,sostantivo,radiator
metà,la metà,sostantivo,half
dogana,la dogana,sostantivo,customs
mite,mite/i,aggettivo,mild
favore,il favore,sostantivo,favor
fumo,il fumo,sostantivo,smoke
vaglia,il vaglia,sostantivo,money order
televisione,la televisione,sostantivo,television
affitto,l'affitto,sostantivo,rent
dimenticare/si,dimenticare,verbo transitivo - verbo intransitivo pronominale,to forget
sci,lo sci,sostantivo,ski
legno,il legno,sostantivo,wood
matita,la matita,sostantivo,pencil
marrone,marrone,aggettivo,brown
possibilità,la possibilità,sostantivo,possibility
verso,verso,preposizione,towards
faccia,la faccia,sostantivo,face
umore,l'umore,sostantivo,mood
cartone,il cartone,sostantivo,cardboard
padre,il padre,sostantivo,father
errore,l'errore,sostantivo,error
sigaro,il sigaro,sostantivo,cigar
perdere,perdere,verbo transitivo,lose
clinica,la clinica,sostantivo,clinic
pranzare,pranzare,verbo intransitivo,to have lunch
aspettare,aspettare,verbo transitivo,to wait
pronto,pronto/a/i/e,aggettivo,ready
giugno,giugno,sostantivo,June
lavastoviglie,la lavastoviglie,sostantivo,dishwasher
favola,la favola,sostantivo,fable
odio,l'odio,sostantivo,hatred
inoltre,inoltre,avverbio,furthermore
buttare,buttare,verbo transitivo,to throw
telefono,il telefono,sostantivo,telephone
mercato,il mercato,sostantivo,market
pesce,il pesce,sostantivo,fish
classe,la classe,sostantivo,class
insegnante,l'insegnante,sostantivo,teacher
fiammifero,il fiammifero,sostantivo,match
deprimere,deprimere,verbo transitivo,to depress
trasportare,trasportare,verbo transitivo,to transport
sfortuna,la sfortuna,sostantivo,misfortune
di,di,preposizione,of
friggere,friggere,verbo transitivo,to fry
cordiale,cordiale/i,aggettivo,cordial
cognato/a,il cognato,sostantivo,brother-in-law
femminile,femminile/i,aggettivo,feminine
patente,la patente,sostantivo,driver's license
modo,il modo,sostantivo,way
spedire,spedire,verbo transitivo,to send
periferia,la periferia,sostantivo,outskirts
schiera,la schiera,sostantivo,array
mobile,il mobile,sostantivo,furniture
separare/si,separare/si,v.t. – v.rifl. recip.,to separate/to split up
cattivo,cattivo/a/i/e,aggettivo,bad
quanto,quanto,agg. - pron - avv.,how much
socievole,socievole/i,aggettivo,sociable
femmina,la femmina,sostantivo,female
guarire,guarire,verbo intransitivo,to heal
attraversare,attraversare,verbo transitivo,to cross
concorso,il concorso,sostantivo,competition
calcio,il calcio,sostantivo,soccer
fotografia,la fotografia,sostantivo,photograph
marciapiede,il marciapiede,sostantivo,sidewalk
dopo,dopo,avv. - prep,after
gas,il gas,sostantivo,gas
suo,suo,agg. - pron.,his/her
dicembre,il dicembre,sostantivo,December
crociera,la crociera,sostantivo,cruise
ci,ci,particella pronominale - pronome,us
straniero,straniero/a/i/e,aggettivo,foreign
esperienza,l'esperienza,sostantivo,experience
appetito,l'appetito,sostantivo,appetite
porta,la porta,sostantivo,door
nostalgia,la nostalgia,sostantivo,nostalgia
nazionalità,la nazionalità,sostantivo,nationality
presto,presto,avverbio,soon
presentare,presentare,verbo transitivo,to present
protagonista,il protagonista,sostantivo,protagonist
solido,solido/a/i/e,aggettivo,solid
sinistra,la sinistra,sostantivo,left
contorno,il contorno,sostantivo,side dish
eh,eh,interiezione,huh
giro,il giro,sostantivo,lap
tv,la tv,sostantivo,television
sera,la sera,sostantivo,evening
compilare,compilare,verbo transitivo,to fill out
sperare,sperare,verbo intransitivo,to hope
motivo,il motivo,sostantivo,reason
banca,la banca,sostantivo,bank
girare,girare,verbo intransitivo,to turn
casalingo/a,il casalingo,sostantivo,househusband
suocero/a,il suocero,sostantivo,father-in-law
scendere,scendere,verbo transitivo - verbo intransitivo,to go down
malato,malato/a/i/e,aggettivo,sick
profumo,il profumo,sostantivo,perfume
mucca,la mucca,sostantivo,cow
mostra,la mostra,sostantivo,exhibition
cervello,il cervello,sostantivo,brain
ansioso,ansioso/a/i/e,aggettivo,anxious
arrivo,l'arrivo,sostantivo,arrival
altro,altro/a/i/e,pronome - aggettivo,other
corpo,il corpo,sostantivo,body
resto,il resto,sostantivo,remainder
alloggio,l'alloggio,sostantivo,accommodation
usare,usare,verbo transitivo,to use
cinema,il cinema,sostantivo,cinema
cappuccino,il cappuccino,sostantivo,cappuccino
freno,il freno,sostantivo,brake
stendere/si,stendere,verbo transitivo - verbo riflessivo,to spread
raccogliere,raccogliere,verbo transitivo,to collect
opinione,l'opinione,sostantivo,opinion
sbaglio,lo sbaglio,sostantivo,mistake
voi,voi,pronome,you
vicino,vicino,avverbio,nearby
stirare,stirare,verbo transitivo,to iron
descrivere,descrivere,verbo transitivo,describe
nuotare,nuotare,verbo intransitivo,to swim
moneta,la moneta,sostantivo,coin
pedonale,pedonale/i,aggettivo,pedestrian
gatto,il gatto,sostantivo,cat
minestra,la minestra,sostantivo,soup
sud,il sud,sostantivo,south
accanto,accanto,avverbio,next to
minuto,il minuto,sostantivo,minute
cultura,la cultura,sostantivo,culture
operaio/a,l'operaio,sostantivo,worker
riso,il riso,sostantivo,rice
cavallo,il cavallo,sostantivo,horse
interessarsi,interessarsi,verbo intransitivo pronominale,to be interested
messaggio,il messaggio,sostantivo,message
pisello,il pisello,sostantivo,pea
racchetta,la racchetta,sostantivo,racket
disperare,disperare,v.int,despair
ascensore,l'ascensore,sostantivo,elevator
sopra,sopra,prep. - avv.,above
centimetro,il centimetro,sostantivo,centimeter
ciao,ciao,interiezione,hello
zaino,lo zaino,sostantivo,backpack
paura,la paura,sostantivo,fear
età,l'età,sostantivo,age
sigaretta,la sigaretta,sostantivo,cigarette
parte,la parte,sostantivo,part
paese,il paese,sostantivo,country
fronte,la fronte,sostantivo,forehead
gli,gli,art. - pron.,the
scrittore/trice,lo scrittore,sostantivo,writer
emozione,l'emozione,sostantivo,emotion
cominciare,cominciare,verbo transitivo - verbo intransitivo,to begin
correggere,correggere,verbo transitivo,to correct
regalare,regalare,verbo transitivo,to give
giardinaggio,il giardinaggio,sostantivo,gardening
accendino,l'accendino,sostantivo,lighter
fiore,il fiore,sostantivo,flower
meccanico,il meccanico,sostantivo,mechanic
sorridere,sorridere,verbo intransitivo,to smile
sereno,sereno/a/i/e,aggettivo,serene
direttamente,direttamente,avverbio,directly
scaricare,scaricare,verbo transitivo,download
stomaco,lo stomaco,sostantivo,stomach
dizionario,il dizionario,sostantivo,dictionary
buonanotte,buonanotte,interiezione,goodnight
qualcuno,qualcuno,pronome,someone
cena,la cena,sostantivo,dinner
arrabbiarsi,arrabbiarsi,verbo intransitivo pronominale,to get angry
analisi,l'analisi,sostantivo,analysis
le,le,art. - pron.,the
ricco,ricco/a/chi/che,aggettivo,rich
su,su,prep. - avv.,up
osservare,osservare,verbo transitivo,observe
pubblicità,la pubblicità,sostantivo,advertisement
falso,falso/a/i/e,aggettivo,false
distinto,distinto/a/i/e,aggettivo,distinguished
martedì,il martedì,sostantivo,Tuesday
abitante,l'abitante,sostantivo,inhabitant
frigorifero,il frigorifero,sostantivo,refrigerator
frase,la frase,sostantivo,sentence
spingere,spingere,verbo transitivo,to push
coppia,la coppia,sostantivo,couple
divertente,divertente/i,aggettivo,fun
asilo,l'asilo,sostantivo,nursery
uovo,l'uovo,sostantivo,egg
cenare,cenare,verbo intransitivo,to dine
castano,castano/a/i/e,aggettivo,brown
francobollo,il francobollo,sostantivo,stamp
uccello,l'uccello,sostantivo,bird
manica,la manica,sostantivo,sleeve
teatro,il teatro,sostantivo,theater
attesa,l'attesa,sostantivo,wait
innamorarsi,innamorarsi,verbo intransitivo pronominale,to fall in love
colazione,la colazione,sostantivo,breakfast
coincidenza,la coincidenza,sostantivo,coincidence
fretta,la fretta,sostantivo,hurry
canguro,il canguro,sostantivo,kangaroo
paio,il paio,sostantivo,pair
ospedale,l'ospedale,sostantivo,hospital
cin cin,cin cin,interiezione,cheers
e,e,congiunzione,and
montagna,la montagna,sostantivo,mountain
mondo,il mondo,sostantivo,world
lana,la lana,sostantivo,wool
pessimo,pessimo/a/i/e,aggettivo,very bad
rumore,il rumore,sostantivo,noise
benzina,la benzina,sostantivo,gasoline
utile,utile/i,aggettivo,useful
spettacolo,lo spettacolo,sostantivo,show
destra,la destra,sostantivo,right
frutta,la frutta,sostantivo,fruit
sacco,il sacco,sostantivo,sack
promuovere,promuovere,verbo transitivo,promote
collega,il collega,sostantivo,colleague
genero,il genero,sostantivo,son-in-law
credito,il credito,sostantivo,credit
ti,ti,pronome,you
necessario,necessario/a/i/e,aggettivo,necessary
febbre,la febbre,sostantivo,fever
giusto,giusto/a/i/e,aggettivo,correct
pratico,pratico/a/ci/che,aggettivo,practical
partenza,la partenza,sostantivo,departure
monumento,il monumento,sostantivo,monument
comportarsi,comportarsi,verbo intransitivo pronominale,to behave
internazionale,internazionale/i,aggettivo,international
parcheggio,il parcheggio,sostantivo,parking lot
chiedere,chiedere,verbo transitivo,to ask
cameriere/a,il cameriere,sostantivo,waiter
mare,il mare,sostantivo,sea
terrazza,la terrazza,sostantivo,terrace
spendere,spendere,verbo transitivo,to spend
sposare/si,sposare,v.t. – v.rifl.recip.,to marry
costare,costare,verbo transitivo,to cost
studio,lo studio,sostantivo,study
esame,l'esame,sostantivo,exam
brutto,brutto/a/i/e,aggettivo,ugly
gruppo,il gruppo,sostantivo,group
sicuramente,sicuramente,avverbio,certainly
niente,niente,pron. - avv.,nothing
romanzo,il romanzo,sostantivo,novel
salato,salato/a/i/e,aggettivo,salty
generoso,generoso/a/i/e,aggettivo,generous
pregare,pregare,verbo transitivo,to pray
tranquillo,tranquillo/a/i/e,aggettivo,calm
barba,la barba,sostantivo,beard
andare,andare,verbo intransitivo,to go
secco,secco/a/i/e,aggettivo,dry
festeggiare,festeggiare,verbo transitivo,to celebrate
torta,la torta,sostantivo,cake
sale,il sale,sostantivo,salt
diverso,diverso/a/i/e,aggettivo,different
bicicletta,la bicicletta,sostantivo,bicycle
lui,lui,pronome,he
parente,il parente,sostantivo,relative
tenere,tenere,verbo transitivo,to hold
addio,addio,interiezione,goodbye
camera,la camera,sostantivo,room
prezzemolo,il prezzemolo,sostantivo,parsley
notte,la notte,sostantivo,night
aglio,l'aglio,sostantivo,garlic
chiacchierare,chiacchierare,verbo intransitivo,to chat
soggiorno,il soggiorno,sostantivo,living room
dettato,il dettato,sostantivo,dictation
forno,il forno,sostantivo,oven
vita,la vita,sostantivo,life
fantastico,fantastico/a/i/e,aggettivo,fantastic
impianto,l'impianto,sostantivo,system
terra,la terra,sostantivo,earth
spuntino,lo spuntino,sostantivo,snack
loro,loro,pronome - aggettivo,their
tagliare,tagliare,verbo transitivo,to cut
peccato,il peccato,sostantivo,sin
parco,il parco,sostantivo,park
rendere,rendere,verbo transitivo,to render
affittare,affittare,verbo transitivo,to rent
settimanale,il settimanale,sostantivo,weekly magazine
senza,senza,prep.- avv.,without
mensa,la mensa,sostantivo,cafeteria
tempo,il tempo,sostantivo,time
sala,la sala,sostantivo,room
notizia,la notizia,sostantivo,news
acqua,l'acqua,sostantivo,water
pure,pure,congiunzione,even
sapore,il sapore,sostantivo,flavor
gennaio,il gennaio,sostantivo,January
felice,felice/i,aggettivo,happy
fratello,il fratello,sostantivo,brother
insipido,insipido/a/i/e,aggettivo,insipid
quadrato,quadrato/a/i/e,aggettivo,square
stamattina,stamattina,avverbio,this morning
grammo,il grammo,sostantivo,gram
quadro,il quadro,sostantivo - aggettivo,painting
tennis,il tennis,sostantivo,tennis
seguire,seguire,verbo transitivo,follow
scultore/trice,lo scultore,sostantivo,sculptor
maglione,il maglione,sostantivo,sweater
identità,l'identità,sostantivo,identity
lotto,il lotto,sostantivo,lottery
basso,basso/a/i/e,aggettivo,short
liscio,liscio/a/i/e,aggettivo,smooth
solito,solito/a/i/e,aggettivo,usual
bibita,la bibita,sostantivo,drink
entrata,l'entrata,sostantivo,entrance
monolocale,il monolocale,sostantivo,studio apartment
facile,facile/i,aggettivo,easy
cordialmente,cordialmente,avverbio,cordially
parola,la parola,sostantivo,word
alcuno,alcun/a/i/e,aggettivo,any
materia,la materia,sostantivo,matter
spostare,spostare,verbo transitivo,move
successo,il successo,sostantivo,success
disegnare,disegnare,verbo transitivo,to draw
finalmente,finalmente,avverbio,finally
punto,il punto,sostantivo,point
campo,il campo,sostantivo,field
mangiare,mangiare,verbo transitivo,to eat
laurearsi,laurearsi,verbo intransitivo pronominale,to graduate
generalmente,generalmente,avverbio,generally
corto,corto/a/i/e,aggettivo,short
pizza,la pizza,sostantivo,pizza
diploma,il diploma,sostantivo,diploma
lupo,il lupo,sostantivo,wolf
nave,la nave,sostantivo,ship
avaro,avaro/a/i/e,aggettivo,stingy
i,i,articolo,the
trascorrere,trascorrere,verbo transitivo,to spend
colorare,colorare,verbo transitivo,to color
olio,l'olio,sostantivo,oil
elettricista,l'elettricista,sostantivo,electrician
scusare,scusare,verbo transitivo,to excuse
dieta,la dieta,sostantivo,diet
neanche,neanche,avv - cong.,neither
comodo,comodo/a/i/e,aggettivo,comfortable
gara,la gara,sostantivo,competition
ubriacarsi,ubriacarsi,verbo intransitivo pronominale,to get drunk
camminare,camminare,verbo intransitivo,to walk
magro,magro/a/i/e,aggettivo,thin
ricevere,ricevere,verbo transitivo,to receive
ambasciata,l'ambasciata,sostantivo,embassy
discoteca,la discoteca,sostantivo,nightclub
mese,il mese,sostantivo,month
lavanderia,la lavanderia,sostantivo,laundry
possibile,possibile/i,aggettivo,possible
