italian,function
dovere,verbo intransitivo
dritto,avverbio
dunque,congiunzione
duomo,sostantivo
durante,preposizione
durare,verbo intransitivo
duro,aggettivo
e,congiunzione
eccezionale,aggettivo
ecco,locuzione
economia,sostantivo
egoista,aggettivo
egregio,aggettivo
eh,interiezione
elegante,aggettivo
elementare,aggettivo
elettricista,sostantivo
elicottero,sostantivo
e-mail,sostantivo
emergenza,sostantivo
emozione,sostantivo
entrare,verbo intransitivo
entrata,sostantivo
erba,sostantivo
errore,sostantivo
esame,sostantivo
esempio,sostantivo
esercizio,sostantivo
esperienza,sostantivo
esprimere,verbo transitivo
essere,verbo intransitivo
est,sostantivo
estate,sostantivo
estero,sostantivo
estroverso,aggettivo
età,sostantivo
etto,sostantivo
euro,sostantivo
fabbrica,sostantivo
faccia,sostantivo
facile,aggettivo
facoltà,sostantivo
falso,aggettivo
fame,sostantivo
famiglia,sostantivo
famoso,aggettivo
fantastico,aggettivo
fare,verbo transitivo
farina,sostantivo
farmacia,sostantivo
fattoria,sostantivo
favola,sostantivo
favore,sostantivo
fax,sostantivo
febbraio,sostantivo
febbre,sostantivo
felice,aggettivo
felicità,sostantivo
femmina,sostantivo
femminile,aggettivo
feria,sostantivo
ferire/si,verbo transitivo - verbo intransitivo pronominale
ferita,sostantivo
fermare/si,verbo transitivo - verbo intransitivo pronominale
fermata,sostantivo
fermo,aggettivo
ferro,sostantivo
festa,sostantivo
festeggiare,verbo transitivo
fetta,sostantivo
fiammifero,sostantivo
fiction,sostantivo
fidanzato/a,sostantivo
figlio/a,sostantivo
film,sostantivo
finale,aggettivo
finalmente,avverbio
fine,sostantivo
finestra,sostantivo
finire,verbo transitivo - verbo intransitivo
fino,preposizione
fiore,sostantivo
firma,sostantivo
firmare,verbo transitivo
fiume,sostantivo
foglio,sostantivo
fontana,sostantivo
forchetta,sostantivo
forma,sostantivo
formaggio,sostantivo
fornello,sostantivo
forno,sostantivo
forse,avverbio
forte,aggettivo
fortuna,sostantivo
forza,s.f. - inter.
fotografia,sostantivo
fra,preposizione
francobollo,sostantivo
frase,sostantivo
fratello,sostantivo
freddo,sostantivo - aggettivo
freezer,sostantivo
freno,sostantivo
frequentare,verbo transitivo
fresco,aggettivo
fretta,sostantivo
friggere,verbo transitivo
frigorifero,sostantivo
fronte,sostantivo
frullatore,sostantivo
frutta,sostantivo
fulmine,sostantivo
fumare,verbo transitivo
fumetto,sostantivo
fumo,sostantivo
funzionare,verbo intransitivo
fuoco,sostantivo
fuori,avverbio - preposizione
futuro,sostantivo
gamba,sostantivo
gara,sostantivo
garage,sostantivo
gas,sostantivo
gatto,sostantivo
gelato,sostantivo - aggettivo
generalmente,avverbio
genere,sostantivo
genero,sostantivo
generoso,aggettivo
genitore,sostantivo
gennaio,sostantivo
gente,sostantivo
gentile,aggettivo
geografia,sostantivo
ghiaccio,sostantivo
già,avverbio
giacca,sostantivo
giallo,aggettivo
giardinaggio,sostantivo
giardino,sostantivo
ginnastica,sostantivo
giocare,verbo intransitivo
giocatore/trice,sostantivo
giocattolo,sostantivo
gioco,sostantivo
gioia,sostantivo
giornale,sostantivo
giornalista,sostantivo
giornata,sostantivo
giorno,sostantivo
giovane,aggettivo
giovedì,sostantivo
girare,verbo intransitivo
giro,sostantivo
gita,sostantivo
giù,avverbio
giugno,sostantivo
giusto,aggettivo
gli,art. - pron.
gonna,sostantivo
grado,sostantivo
grammo,sostantivo
grande,aggettivo
grasso,aggettivo
gratis,avverbio
grazie,interiezione
grigio,aggettivo
grosso,aggettivo
gruppo,sostantivo
guadagnare,verbo transitivo
guanto,sostantivo
guardare,verbo transitivo
guarire,verbo intransitivo
guasto,aggettivo - sostantivo
guida,sostantivo
guidare,verbo transitivo
gusto,sostantivo
hobby,sostantivo
hotel,sostantivo
i,articolo
idea,sostantivo
identità,sostantivo
idraulico,sostantivo
ieri,avverbio
il,articolo
immaginare,verbo transitivo
imparare,verbo transitivo
impaziente,aggettivo
impegnare,verbo transitivo
impegno,sostantivo
impermeabile,sostantivo
impianto,sostantivo
impiegato/a,sostantivo
importante,aggettivo
importare,verbo intransitivo
impossibile,aggettivo
improbabile,aggettivo
improvvisamente,avverbio
improvviso,aggettivo
in,preposizione
incendio,sostantivo
incidente,sostantivo
incominciare,verbo transitivo
incontrare/si,v.t.  - v. rifl. recip.
incredibile,aggettivo
incrocio,sostantivo
incubo,sostantivo
indietro,avverbio
indifferente,aggettivo
indimenticabile,aggettivo
indirizzo,sostantivo
indossare,verbo transitivo
industria,sostantivo
infatti,congiunzione
infermiere/a,sostantivo
infine,avverbio
informare,verbo transitivo
informazione,sostantivo
ingegnere,sostantivo
iniziare,verbo transitivo - verbo intransitivo
inizio,sostantivo
innamorarsi,verbo intransitivo pronominale
inoltre,avverbio
insalata,sostantivo
insegnante,sostantivo
insegnare,verbo transitivo
insieme,avverbio
insipido,aggettivo
insomma,avverbio
intelligente,aggettivo
interessante,aggettivo
interessarsi,verbo intransitivo pronominale
internazionale,aggettivo
internet,sostantivo
intorno,avverbio
introverso,aggettivo
inutile,aggettivo
invece,congiunzione
inventare,verbo transitivo
inverno,sostantivo
inviare,verbo transitivo
invitare,verbo transitivo
io,pronome
isola,sostantivo
istituto,sostantivo
italiano,sostantivo
la,art. - pron.
là,avverbio
ladro/a,sostantivo
lago,sostantivo
lampada,sostantivo
lana,sostantivo
largo,aggettivo
lasciare,verbo transitivo
latte,sostantivo
laurea,sostantivo
laurearsi,verbo intransitivo pronominale
lavagna,sostantivo
lavanderia,sostantivo
lavandino,sostantivo
lavare/si,v.t. - v.rif.
lavastoviglie,sostantivo
lavatrice,sostantivo
lavorare,verbo intransitivo
lavoro,sostantivo
le,art. - pron.
leggere,verbo transitivo
leggero,aggettivo
legno,sostantivo
lei,pronome
lentamente,avverbio
lento,aggettivo
lenzuolo,sostantivo
leone,sostantivo
lettera,sostantivo
letto,sostantivo
lezione,sostantivo
li,pronome
lì,avverbio
libero,aggettivo
libreria,sostantivo
libro,sostantivo
liceo,sostantivo
linea,sostantivo
lingua,sostantivo
liquido,aggettivo
lirica,aggettivo - sostantivo
liscio,aggettivo
litro,sostantivo
livello,sostantivo
lo,art. - pron.
locale,sostantivo
lontano,aggettivo - avverbio
loro,pronome - aggettivo
lotto,sostantivo
luce,sostantivo
luglio,sostantivo
lui,pronome
luna,sostantivo
lunedì,sostantivo
lungo,aggettivo
luogo,sostantivo
lupo,sostantivo
ma,congiunzione
macchina,sostantivo
madre,sostantivo
maestro/a,sostantivo
maggio,sostantivo
maggiore,aggettivo
maglietta,sostantivo
maglione,sostantivo
magnifico,aggettivo
magro,aggettivo
mai,avverbio
maiale,sostantivo
malato,aggettivo
malattia,sostantivo
male,avverbio
mamma,sostantivo
mancare,verbo intransitivo
mancia,sostantivo
mandare,verbo transitivo
mangiare,verbo transitivo
manica,sostantivo
mano,sostantivo
marca,sostantivo
marciapiede,sostantivo
mare,sostantivo
marito,sostantivo
marrone,aggettivo
martedì,sostantivo
marzo,sostantivo
maschile,aggettivo
maschio,sostantivo
master,sostantivo
massimo,aggettivo
matematica,sostantivo
materia,sostantivo
matita,sostantivo
matrimonio,sostantivo
mattina,sostantivo
me,pronome
meccanico,sostantivo
medicina,sostantivo
medico,sostantivo
medio,aggettivo
meglio,avv. – agg.
mela,sostantivo
meno,avverbio
mensa,sostantivo
mensile,sostantivo
mensola,sostantivo
mentre,congiunzione
menù,sostantivo
meraviglioso,aggettivo
mercato,sostantivo
mercoledì,sostantivo
merenda,sostantivo
mese,sostantivo
messaggio,sostantivo
metà,sostantivo
metallo,sostantivo
metro,sostantivo
metropoli,sostantivo
metro(politana),sostantivo
mettere/si,v.t. – v.t.pron.
mezzanotte,sostantivo
mezzo,aggettivo
mezzogiorno,sostantivo
mi,pronome
migliorare,verbo transitivo - verbo intransitivo
migliore,aggettivo
minestra,sostantivo
minimo,aggettivo
minore,aggettivo
minuto,sostantivo
mio,agg. - pron.
mite,aggettivo
mobile,sostantivo
moda,sostantivo
moderno,aggettivo
modo,sostantivo
modulo,sostantivo
moglie,sostantivo
molto,aggettivo - avverbio
momento,sostantivo
mondo,sostantivo
moneta,sostantivo
monolocale,sostantivo
montagna,sostantivo
monumento,sostantivo
morire,verbo intransitivo
morte,sostantivo
mostra,sostantivo
motivo,sostantivo
moto(cicletta),sostantivo
motore,sostantivo
motorino,sostantivo
mucca,sostantivo
muovere/si,verbo transitivo - verbo riflessivo
muro,sostantivo
museo,sostantivo
musica,sostantivo
musicale,aggettivo
nascere,verbo intransitivo
nascondere,verbo transitivo
naso,sostantivo
Natale,sostantivo
natura,sostantivo
naturale,aggettivo
nave,sostantivo
navigare,verbo intransitivo
nazionalità,sostantivo
nazione,sostantivo
ne,particella pronominale
né,congiunzione
neanche,avv - cong.
nebbia,sostantivo
necessario,aggettivo
negativo,aggettivo
negozio,sostantivo
nero,aggettivo
nervoso,aggettivo
nessuno,pronome - aggettivo
neve,sostantivo
nevicare,verbo intransitivo
niente,pron. - avv.
nipote,sostantivo
no,avverbio
noi,pronome
noioso,aggettivo
noleggiare,verbo transitivo
nome,sostantivo
non,avverbio
nonno/a,sostantivo
nord,sostantivo
normale,aggettivo
nostalgia,sostantivo
nostro,agg. – pron.
notizia,sostantivo
notte,sostantivo
novembre,sostantivo
novità,sostantivo
numero,sostantivo
nuora,sostantivo
nuotare,verbo intransitivo
nuoto,sostantivo
nuovo,aggettivo
nuvola,sostantivo
nuvoloso,aggettivo
o,congiunzione
obbligatorio,aggettivo
occasione,sostantivo
occhiale,sostantivo
occhio,sostantivo
occupare/si,verbo transitivo - verbo intransitivo pronominale
odiare,verbo transitivo
odio,sostantivo
odore,sostantivo
offerta,sostantivo
offrire,verbo transitivo
oggetto,sostantivo
oggi,avverbio
ogni,aggettivo
ok,interiezione
olio,sostantivo
ombrello,sostantivo
onesto,aggettivo
opera,sostantivo
operaio/a,sostantivo
opinione,sostantivo
oppure,congiunzione
ora,sostantivo - avverbio
orario,sostantivo
ordinare,verbo transitivo
ordine,sostantivo
orecchio,sostantivo
organizzare,verbo transitivo
oro,sostantivo
orologio,sostantivo
orribile,aggettivo
ospedale,sostantivo
ospitalità,sostantivo
ospite,sostantivo
osservare,verbo transitivo
ottimista,aggettivo
ottimo,aggettivo
ottobre,sostantivo
ovale,aggettivo
ovest,sostantivo
pacco,sostantivo
padella,sostantivo
padre,sostantivo
padrone/a,sostantivo
paese,sostantivo
pagare,verbo transitivo
pagina,sostantivo
paio,sostantivo
palazzo,sostantivo
palestra,sostantivo
palla,sostantivo
pallacanestro,sostantivo
pane,sostantivo
panino,sostantivo
pantalone,sostantivo
papà,sostantivo
parcheggio,sostantivo
parco,sostantivo
parente,sostantivo
parere,sostantivo
parete,sostantivo
parlare,verbo transitivo - verbo intransitivo
parola,sostantivo
parte,sostantivo
partecipare,verbo intransitivo
partenza,sostantivo
particolarmente,avverbio
partire,verbo intransitivo
partita,sostantivo
Pasqua,sostantivo
passaggio,sostantivo
passaporto,sostantivo
passare,verbo transitivo
passato,sostantivo
passeggiare,verbo intransitivo
passeggiata,sostantivo
passione,sostantivo
pasta,sostantivo
pasto,sostantivo
patata,sostantivo
patente,sostantivo
paura,sostantivo
pausa,sostantivo
pavimento,sostantivo
pazienza,sostantivo
peccato,sostantivo
pediatra,sostantivo
pedonale,aggettivo
peggio,avverbio - aggettivo
peggiorare,verbo transitivo
peggiore,aggettivo
pelle,sostantivo
penna,sostantivo
pensare,verbo intransitivo
pensione,sostantivo
pentola,sostantivo
pepe,sostantivo
per,preposizione
pera,sostantivo
perché,avv. - cong.
perciò,congiunzione
perdere,verbo transitivo
perfetto,aggettivo
periferia,sostantivo
periodo,sostantivo
permesso,sostantivo
però,congiunzione
persona,sostantivo
pesante,aggettivo
pesare,verbo transitivo
pescare,verbo transitivo
pesce,sostantivo
pessimista,aggettivo
pessimo,aggettivo
pettine,sostantivo
pezzo,sostantivo
phon,sostantivo
piacere,v.int. - s.m.
piacevole,aggettivo
piangere,verbo intransitivo
piano,avv. - s.m.
pianta,sostantivo
piatto,sostantivo
piazza,sostantivo
piccante,aggettivo
piccolo,aggettivo
piede,sostantivo
piegare/si,v.t. - v. rifl.
pieno,aggettivo - sostantivo
pigro,aggettivo
pillola,sostantivo
pioggia,sostantivo
piovere,verbo intransitivo
pipa,sostantivo
piscina,sostantivo
pisello,sostantivo
pittore/trice,sostantivo
pittura,sostantivo
più,avverbio
piuttosto,avverbio
pizza,sostantivo
pizzeria,sostantivo
pizzico,sostantivo
plastica,sostantivo
plurale,aggettivo - sostantivo
poco,po'
poesia,sostantivo
poeta/essa,sostantivo
poi,avverbio
polizia,sostantivo
pollo,sostantivo
poltrona,sostantivo
pomeriggio,sostantivo
pomodoro,sostantivo
pompiere,sostantivo
ponte,sostantivo
pop,sostantivo - aggettivo
porta,sostantivo
portare,verbo transitivo
porto,sostantivo
posacenere,sostantivo
posata,sostantivo
positivo,aggettivo
possibile,aggettivo
possibilità,sostantivo
posta,sostantivo
postino,sostantivo
posto,sostantivo
potere,verbo intransitivo
povero,aggettivo
pranzare,verbo intransitivo
pranzo,sostantivo
praticamente,avverbio
pratico,aggettivo
prato,sostantivo
precedente,aggettivo
preferire,verbo transitivo
prefisso,sostantivo
pregare,verbo transitivo
prego,interiezione
premere,verbo transitivo
prendere,verbo transitivo
prenotare,verbo transitivo
preoccuparsi,verbo intransitivo pronominale
preparare,verbo transitivo
preposizione,sostantivo
presentare,verbo transitivo
preside,sostantivo
prestare,verbo transitivo
presto,avverbio
previsione,sostantivo
prezzemolo,sostantivo
prezzo,sostantivo
prima,avverbio
primavera,sostantivo
primo,aggettivo - sostantivo
probabile,aggettivo
probabilmente,avverbio
problema,sostantivo
prodotto,sostantivo
professore/ssa,sostantivo
profondo,aggettivo
profumo,sostantivo
programma,sostantivo
promettere,verbo transitivo
promuovere,verbo transitivo
pronome,sostantivo
pronto,aggettivo
pronuncia,sostantivo
proporre,verbo transitivo
proprio,avverbio
prosciutto,sostantivo
prossimo,aggettivo
protagonista,sostantivo
provare,verbo transitivo
pubblicità,sostantivo
pulire,verbo transitivo
pulizia,sostantivo
punto,sostantivo
pure,congiunzione
purtroppo,avverbio
qua,avverbio
quaderno,sostantivo
quadrato,aggettivo
quadro,sostantivo - aggettivo
qualche,aggettivo
qualcosa,pronome
qualcuno,pronome
quale,pronome - aggettivo
qualsiasi,pronome - aggettivo
quando,cong. - avv.
quanto,agg. - pron - avv.
quartiere,sostantivo
quarto,sostantivo
quasi,avverbio
quello,agg. - pron.
questo,agg. - pron.
questura,sostantivo
qui,avverbio
quindi,avv. - cong.
quotidiano,sostantivo
racchetta,sostantivo
raccogliere,verbo transitivo
raccomandata,sostantivo
raccontare,verbo transitivo
radio,sostantivo
raffreddore,sostantivo
ragazzo/a,sostantivo
ragione,sostantivo
raramente,avverbio
regalare,verbo transitivo
regalo,sostantivo
regista,sostantivo
rendere,verbo transitivo
reparto,sostantivo
restare,verbo intransitivo
restituire,verbo transitivo
resto,sostantivo
rettangolare,aggettivo
rettore,sostantivo
riassumere,verbo transitivo
riccio,aggettivo
ricco,aggettivo
ricetta,sostantivo
ricevere,verbo transitivo
ricordare/si,v.t. - v.t. pron. -v.int.  pron.
ricordo,sostantivo
ridere,verbo intransitivo
rilassarsi,verbo riflessivo
rimanere,verbo intransitivo
ringraziare,verbo transitivo
riparare,verbo transitivo
ripetere,verbo transitivo
riposare/si,verbo intransitivo - verbo intransitivo pronominale
riscaldamento,sostantivo
riso,sostantivo
rispondere,verbo intransitivo
risposta,sostantivo
ristorante,sostantivo
risultato,sostantivo
ritardo,sostantivo
ritirare,verbo transitivo
ritornare,verbo intransitivo
ritrovare,verbo transitivo
riuscire,verbo intransitivo
rivista,sostantivo
rock,sostantivo
romantico,aggettivo
romanzo,sostantivo
rompere/si,verbo transitivo - verbo transitivo pronominale
rosa,aggettivo
rosso,aggettivo
rotondo,aggettivo
roulotte,sostantivo
rubare,verbo transitivo
rumore,sostantivo
ruota,sostantivo
sabato,sostantivo
sacco,sostantivo
sala,sostantivo
salame,sostantivo
salato,aggettivo
saldo,sostantivo
sale,sostantivo
salire,verbo transitivo - verbo intransitivo
salita,sostantivo
salotto,sostantivo
salsa,sostantivo
saltare,verbo transitivo - verbo intransitivo
salutare,verbo transitivo
salute,s.f. - inter.
saluto,sostantivo
salve,interiezione
sandalo,sostantivo
sano,aggettivo
sapere,verbo transitivo
sapone,sostantivo
sapore,sostantivo
sbagliare/si,v.t. - v.int. - v.int. pron.
sbaglio,sostantivo
sbucciare,verbo transitivo
scaffale,sostantivo
scala,sostantivo
scaricare,verbo transitivo
scarpa,sostantivo
scegliere,verbo transitivo
scendere,verbo transitivo - verbo intransitivo
schiera,sostantivo
schifo,sostantivo
sci,sostantivo
sciare,verbo intransitivo
scienza,sostantivo
sciopero,sostantivo
sciroppo,sostantivo
scomodo,aggettivo
sconto,sostantivo
scontrino,sostantivo
scoprire,verbo transitivo
scorso,aggettivo
scrittore/trice,sostantivo
scrivania,sostantivo
scrivere,verbo transitivo
scultore/trice,sostantivo
scultura,sostantivo
scuola,sostantivo
scuro,aggettivo
scusare,verbo transitivo
sdraiare/si,v. t. - v. rifl.
se,congiunzione
secco,aggettivo
secolo,sostantivo
secondo,s.m. - prep.  - agg.
sedersi,verbo intransitivo pronominale
sedia,sostantivo
segretario/a,sostantivo
segreteria,sostantivo
seguente,aggettivo
seguire,verbo transitivo
semaforo,sostantivo
sembrare,verbo intransitivo
semplice,aggettivo
sempre,avverbio
sennò,congiunzione
sentire/si,v.t. – v.rifl. recip.
senza,prep.- avv.
separare/si,v.t. – v.rifl. recip.
sera,sostantivo
serata,sostantivo
sereno,aggettivo
serio,aggettivo
servire,verbo intransitivo
seta,sostantivo
sete,sostantivo
settembre,sostantivo
settimana,sostantivo
settimanale,sostantivo
sfortuna,sostantivo
shampoo,sostantivo
si,pronome
sì,avverbio
sia,congiunzione
siccome,congiunzione
