italian_original,italian,function,english
onestà,l'onestà,sostantivo,honesty
vedovo,vedovo/a/i/e,aggettivo,widowed
sede,la sede,sostantivo,headquarters
fortuna,la fortuna,sostantivo,luck
asma,l'asma,sostantivo,asthma
nuotare,nuotare,verbo intransitivo,to swim
accelerare,accelerare,verbo intransitivo,accelerate
impermeabile,l'impermeabile,sostantivo,raincoat
giocare,giocare,verbo intransitivo,to play
generazione,la generazione,sostantivo,generation
stanza,la stanza,sostantivo,room
metropoli,la metropoli,sostantivo,metropolis
certificato,il certificato,sostantivo,certificate
pericoloso,pericoloso/a/i/e,aggettivo,dangerous
fame,la fame,sostantivo,hunger
successo,il successo,sostantivo,success
cortesia,la cortesia,sostantivo,courtesy
dispiacere,dispiacere,verbo intransitivo,to be sorry
disoccupato/a,il disoccupato,aggettivo - sostantivo,unemployed person
sito,il sito,sostantivo,site
eh,eh,interiezione,eh
aria,l'aria,sostantivo,air
scultore/trice,lo scultore,sostantivo,sculptor
divieto,il divieto,sostantivo,prohibition
viaggiare,viaggiare,verbo intransitivo,to travel
rimanere,rimanere,verbo intransitivo,to remain
sottile,sottile/i,aggettivo,thin
minimo,minimo/a/i/e,aggettivo,minimal
tassa,la tassa,sostantivo,tax
debole,debole/i,aggettivo,weak
cappotto,il cappotto,sostantivo,coat
ombrello,l'ombrello,sostantivo,umbrella
proibire,proibire,verbo transitivo,to prohibit
congratulazione,la congratulazione,sostantivo,congratulation
fede,la fede,sostantivo,faith
biglietteria,la biglietteria,sostantivo,ticket office
folla,la folla,sostantivo,crowd
palazzo,il palazzo,sostantivo,palace
rispettare,rispettare,verbo transitivo,respect
finire,finire,verbo transitivo - verbo intransitivo,to finish
davvero,davvero,avverbio,really
rapina,la rapina,sostantivo,robbery
canale,il canale,sostantivo,channel
davanti,davanti,avverbio - preposizione,in front
esatto,esatto/a/i/e,aggettivo - avverbio,exact
povertà,la povertà,sostantivo,poverty
avvicinarsi,avvicinarsi,verbo intransitivo pronominale,to approach
stanco,stanco/a/i/e,aggettivo,tired
addio,addio,interiezione,goodbye
phon,il phon,sostantivo,hairdryer
significato,il significato,sostantivo,meaning
boh,boh,interiezione,dunno
chilo,il chilo,sostantivo,kilogram
sbaglio,lo sbaglio,sostantivo,mistake
bolletta,la bolletta,sostantivo,bill
mamma,la mamma,sostantivo,mom
segreteria,la segreteria,sostantivo,secretary's office
fino,fino,preposizione,until
modulo,il modulo,sostantivo,form
agriturismo,l'agriturismo,sostantivo,agritourism
tenda,la tenda,sostantivo,curtain
succedere,succedere,verbo intransitivo,to happen
toccare,toccare,verbo transitivo,touch
sconfiggere,sconfiggere,verbo transitivo,to defeat
concorrenza,la concorrenza,sostantivo,competition
incredibile,incredibile/i,aggettivo,incredible
spettacolo,lo spettacolo,sostantivo,show
più,più,avverbio,more
mettere/si,mettere,v.t. – v.t.pron.,to put
shampoo,lo shampoo,sostantivo,shampoo
villaggio,il villaggio,sostantivo,village
emergenza,l'emergenza,sostantivo,emergency
sciroppo,lo sciroppo,sostantivo,syrup
friggere,friggere,verbo transitivo,to fry
dipendere,dipendere,verbo intransitivo,to depend
lavoro,il lavoro,sostantivo,work
dopodomani,dopodomani,avverbio,the day after tomorrow
singolo,singolo/a/i/e,aggettivo,single
vegetariano,vegetariano/a/i/e,aggettivo,vegetarian
cieco,il cieco,aggettivo - sostantivo,blind person
internazionale,internazionale/i,aggettivo,international
professore/ssa,il professore,sostantivo,professor
esperienza,l'esperienza,sostantivo,experience
pittore/trice,il pittore,sostantivo,painter
intervenire,intervenire,verbo intransitivo,intervene
frutta,la frutta,sostantivo,fruit
dipendente,il dipendente,sostantivo,employee
salutare,salutare,verbo transitivo,to greet
straniero,straniero/a/i/e,aggettivo,foreign
giallo,giallo/a/i/e,aggettivo,yellow
trasportare,trasportare,verbo transitivo,to transport
prima,prima,avverbio,before
soluzione,la soluzione,sostantivo,solution
lana,la lana,sostantivo,wool
gioco,il gioco,sostantivo,game
parlamento,il parlamento,sostantivo,parliament
tiepido,tiepido/a/i/e,aggettivo,lukewarm
vero,vero/a/i/e,aggettivo,true
rosa,rosa,aggettivo,pink
esprimere,esprimere,verbo transitivo,to express
acconto,l'acconto,sostantivo,down payment
mensola,la mensola,sostantivo,shelf
rivista,la rivista,sostantivo,magazine
cognome,il cognome,sostantivo,surname
leone,il leone,sostantivo,lion
gamba,la gamba,sostantivo,leg
vendere,vendere,verbo transitivo,to sell
interessante,interessante/i,aggettivo,interesting
minuscola,la minuscola,sostantivo,lowercase letter
tratto,il tratto,sostantivo,feature
egoista,egoista/e/i/i,aggettivo,selfish
triste,triste/i,aggettivo,sad
vagone,il vagone,sostantivo,railway carriage
attraversare,attraversare,verbo transitivo,to cross
tipo,il tipo,sostantivo,guy
lingua,la lingua,sostantivo,language
giusto,giusto/a/i/e,aggettivo,correct
baciare,baciare,verbo transitivo,to kiss
interno,l'interno,aggettivo - sostantivo,interior
nulla,nulla,avverbio,nothing
risolvere,risolvere,verbo transitivo,to solve
bomba,la bomba,sostantivo,bomb
sopravvivere,sopravvivere,verbo intransitivo,survive
lampada,la lampada,sostantivo,lamp
mostra,la mostra,sostantivo,exhibition
est,l'est,sostantivo,east
prego,prego,interiezione,you are welcome
stress,lo stress,sostantivo,stress
meno,meno,avverbio,less
proposito,il proposito,sostantivo,purpose
coincidenza,la coincidenza,sostantivo,coincidence
luce,la luce,sostantivo,light
assicurare,assicurare,verbo transitivo,to ensure
aspro,aspro/a/i/e,aggettivo,harsh
qualunque,qualunque,aggettivo,any
università,l'università,sostantivo,university
a,a,preposizione,to
base,la base,sostantivo,base
pagamento,il pagamento,sostantivo,payment
estroverso,estroverso/a/i/e,aggettivo,extroverted
tombola,la tombola,sostantivo,bingo
pace,la pace,sostantivo,peace
guerra,la guerra,sostantivo,war
denunciare,denunciare,verbo transitivo,to report
tenere,tenere,verbo transitivo,to hold
camper,il camper,sostantivo,campervan
bagno,il bagno,sostantivo,bathroom
muro,il muro,sostantivo,wall
Regione,la regione,sostantivo,region
latte,il latte,sostantivo,milk
terribile,terribile/i,aggettivo,terrible
accettare,accettare,verbo transitivo,to accept
parete,la parete,sostantivo,wall
arte,l'arte,sostantivo,art
sposare/si,sposare,v.t. – v.rifl. recip.,to marry
liberare,liberare,verbo transitivo,to free
antico,antico/a/i/e,aggettivo,ancient
occasione,l'occasione,sostantivo,opportunity
grave,grave/i,aggettivo,serious
tabaccaio,il tabaccaio,sostantivo,tobacconist
scegliere,scegliere,verbo transitivo,to choose
stiro,lo stiro,sostantivo,ironing
telegramma,il telegramma,sostantivo,telegram
fatica,la fatica,sostantivo,fatigue
libreria,la libreria,sostantivo,bookcase
consonante,la consonante,sostantivo,consonant
superiore,superiore/i,aggettivo,superior
alfabeto,l'alfabeto,sostantivo,alphabet
un/o/a,un,art. - pron.,a
aglio,l'aglio,sostantivo,garlic
ladro/a,il ladro,sostantivo,thief
appena,appena,avverbio,just
dare,dare,verbo transitivo,to give
sigaro,il sigaro,sostantivo,cigar
adorare,adorare,verbo transitivo,to adore
compilare,compilare,verbo transitivo,fill out
esterno,esterno/a/i/e,aggettivo,external
vino,il vino,sostantivo,wine
cassettiera,la cassettiera,sostantivo,chest of drawers
bar,il bar,sostantivo,bar
ciò,ciò,pronome,that
logico,logico/a/i/e,aggettivo,logical
sensazione,la sensazione,sostantivo,sensation
virgola,la virgola,sostantivo,comma
incominciare,incominciare,verbo transitivo,to begin
nuoto,il nuoto,sostantivo,swimming
Comune,il comune,sostantivo,municipality
feria,la feria,sostantivo,holiday
arrivare,arrivare,verbo intransitivo,to arrive
tazza,la tazza,sostantivo,cup
mobile,il mobile,sostantivo,furniture
caro,caro/a/i/e,aggettivo,dear
giovane,giovane/i,aggettivo,young
sorpresa,la sorpresa,sostantivo,surprise
simile,simile/i,aggettivo,similar
materia,la materia,sostantivo,matter
ambasciata,l'ambasciata,sostantivo,embassy
offerta,l'offerta,sostantivo,offer
fiducia,la fiducia,sostantivo,trust
basso,basso/a/i/e,aggettivo,short
ognuno,ognuno,pronome,everyone
nessuno,nessuno/a,pronome - aggettivo,none
odore,l'odore,sostantivo,smell
caso,il caso,sostantivo,case
magro,magro/a/i/e,aggettivo,thin
arancione,arancione/i,aggettivo,orange
acido,acido/a/i/e,aggettivo,acidic
privato,privato/a/i/e,aggettivo,private
beh,beh,interiezione,well
governo,il governo,sostantivo,government
mantenere,mantenere,verbo transitivo,maintain
guadagnare,guadagnare,verbo transitivo,to earn
cadavere,il cadavere,sostantivo,corpse
monolocale,il monolocale,sostantivo,studio apartment
abitudine,l'abitudine,sostantivo,habit
spazio,lo spazio,sostantivo,space
salame,il salame,sostantivo,salami
telegiornale,il telegiornale,sostantivo,newscast
cane,il cane,sostantivo,dog
motivo,il motivo,sostantivo,reason
dogana,la dogana,sostantivo,customs
cielo,il cielo,sostantivo,sky
pediatra,il pediatra,sostantivo,pediatrician
accusare,accusare,verbo transitivo,accuse
maschio,il maschio,sostantivo,male
organizzazione,l'organizzazione,sostantivo,organization
computer,il computer,sostantivo,computer
vacanza,la vacanza,sostantivo,vacation
conseguenza,la conseguenza,sostantivo,consequence
dritto,dritto,avverbio,straight
scendere,scendere,verbo transitivo - verbo intransitivo,to descend
carcere,il carcere,sostantivo,prison
ghiacciaio,il ghiacciaio,sostantivo,glacier
dovunque,dovunque,avverbio,everywhere
hotel,l'hotel,sostantivo,hotel
lavanderia,la lavanderia,sostantivo,laundry
disegnare,disegnare,verbo transitivo,to draw
sabato,il sabato,sostantivo,Saturday
affare,l'affare,sostantivo,deal
entrare,entrare,verbo intransitivo,to enter
beato,beato/a/i/e,aggettivo,blissful
soltanto,soltanto,avverbio,only
presente,presente/i,aggettivo,present
presentazione,la presentazione,sostantivo,presentation
risultato,il risultato,sostantivo,result
partecipare,partecipare,verbo intransitivo,to participate
comportarsi,comportarsi,verbo intransitivo pronominale,behave
nuora,la nuora,sostantivo,daughter-in-law
ecco,ecco,locuzione,here is
barba,la barba,sostantivo,beard
impiegato/a,l'impiegato/la impiegata,sostantivo,employee
lotto,il lotto,sostantivo,lottery
febbre,la febbre,sostantivo,fever
cavarsela,cavarsela,verbo transitivo pronominale,to manage
tardi,tardi,avverbio,late
lavandino,il lavandino,sostantivo,sink
ottobre,l'ottobre,sostantivo,October
programma,il programma,sostantivo,program
largo,largo/a/i/e,aggettivo,wide
presto,presto,avverbio,soon
naso,il naso,sostantivo,nose
pasto,il pasto,sostantivo,meal
dappertutto,dappertutto,avverbio,everywhere
qua,qua,avverbio,here
ospite,l'ospite,sostantivo,guest
sé,sé,pronome,himself
spazzolino,lo spazzolino,sostantivo,toothbrush
guida,la guida,sostantivo,guide
tragedia,la tragedia,sostantivo,tragedy
campeggio,il campeggio,sostantivo,campsite
affrontare,affrontare,verbo transitivo,face
contare,contare,v.t. - v.int,to count
abbracciare,abbracciare,verbo transitivo,to embrace
incrocio,l'incrocio,sostantivo,intersection
cucchiaio,il cucchiaio,sostantivo,spoon
sete,la sete,sostantivo,thirst
prete,il prete,sostantivo,priest
intanto,intanto,avverbio,meanwhile
certamente,certamente,avverbio,certainly
donna,la donna,sostantivo,woman
quello,quello,agg. - pron.,that
montagna,la montagna,sostantivo,mountain
invece,invece,congiunzione,instead
precedente,precedente/i,aggettivo,previous
commesso/a,il commesso,sostantivo,sales clerk
farcela,farcela,v. t. pron.,to manage
sociale,sociale/i,aggettivo,social
argento,l'argento,sostantivo,silver
sapere,sapere,verbo transitivo,to know
capodanno,il capodanno,sostantivo,New Year's Day
ampio,ampio/a/i/e,aggettivo,wide
rispondere,rispondere,verbo intransitivo,to answer
possibile,possibile/i,aggettivo,possible
finora,finora,avverbio,until now
insistere,insistere,verbo intransitivo,insist
spiegare/si,spiegare,verbo transitivo - verbo riflessivo,to explain
carattere,il carattere,sostantivo,character
braccio,il braccio,sostantivo,arm
mandare,mandare,verbo transitivo,to send
miseria,la miseria,sostantivo,misery
meccanico,il meccanico,sostantivo,mechanic
occupare/si,occupare,verbo transitivo - verbo intransitivo pronominale,to occupy
locale,il locale,sostantivo,venue
ordine,l'ordine,sostantivo,order
duomo,il duomo,sostantivo,cathedral
emozione,l'emozione,sostantivo,emotion
tv,la tv,sostantivo,television
premere,premere,verbo transitivo,to press
clima,il clima,sostantivo,climate
bancomat,il bancomat,sostantivo,ATM
ingegnere,l'ingegnere,sostantivo,engineer
abbonamento,l'abbonamento,sostantivo,subscription
saluto,il saluto,sostantivo,greeting
comprare,comprare,verbo transitivo,to buy
concorso,il concorso,sostantivo,competition
andare,andare,verbo intransitivo,to go
allontanarsi,allontanarsi,verbo intransitivo pronominale,to move away
lamentarsi,lamentarsi,verbo intransitivo pronominale,to complain
binario,il binario,sostantivo,track
tramonto,il tramonto,sostantivo,sunset
oggetto,l'oggetto,sostantivo,object
collezione,la collezione,sostantivo,collection
denaro,il denaro,sostantivo,money
nazionalità,la nazionalità,sostantivo,nationality
banca,la banca,sostantivo,bank
navigare,navigare,verbo intransitivo,to navigate
virgoletta,la virgoletta,sostantivo,quotation mark
criticare,criticare,verbo transitivo,to criticize
abitante,l'abitante,sostantivo,inhabitant
catturare,catturare,verbo transitivo,capture
credere,credere,verbo transitivo,to believe
tigre,la tigre,sostantivo,tiger
problema,il problema,sostantivo,problem
girare,girare,verbo intransitivo,to turn
stivale,lo stivale,sostantivo,boot
carne,la carne,sostantivo,meat
connettersi,connettersi,verbo riflessivo,to connect
inviare,inviare,verbo transitivo,to send
giornale,il giornale,sostantivo,newspaper
pepe,il pepe,sostantivo,pepper
immagine,l'immagine,sostantivo,image
senato,il senato,sostantivo,senate
chiudere,chiudere,verbo transitivo,close
signore/a,il signore,sostantivo,gentleman
libero,libero/a/i/e,aggettivo,free
dubitare,dubitare,verbo intransitivo,to doubt
dipingere,dipingere,verbo transitivo,to paint
possibilità,la possibilità,sostantivo,possibility
spaventare,spaventare,verbo transitivo,to scare
quarto,il quarto,sostantivo,quarter
intervista,l'intervista,sostantivo,interview
trattare,trattare,verbo transitivo,to treat
completo,completo/a/i/e,aggettivo,complete
passeggiata,la passeggiata,sostantivo,walk
anticipo,l'anticipo,sostantivo,advance
fulmine,il fulmine,sostantivo,lightning
fidanzato/a,il fidanzato,sostantivo,fiance
altro,altro/a/i/e,pronome - aggettivo,other
ammettere,ammettere,verbo transitivo,to admit
gusto,il gusto,sostantivo,taste
vicino,vicino,avverbio,near
dipendenza,la dipendenza,sostantivo,addiction
marzo,il marzo,sostantivo,March
incubo,l'incubo,sostantivo,nightmare
democrazia,la democrazia,sostantivo,democracy
spesso,spesso/a/i/e,avverbio - aggettivo,thick
tutto,tutto/a/i/e,aggettivo,all
buio,il buio,sostantivo,darkness
uscire,uscire,verbo intransitivo,to go out
mano,la mano,sostantivo,hand
cima,la cima,sostantivo,summit
garage,il garage,sostantivo,garage
artificiale,artificiale/i,aggettivo,artificial
tradizionale,tradizionale/i,aggettivo,traditional
partita,la partita,sostantivo,match
società,la società,sostantivo,society
ora,l'ora,sostantivo - avverbio,hour
ruvido,ruvido/a/i/e,aggettivo,rough
aspettare/si,aspettare,verbo transitivo - verbo transitivo pronominale,to wait
cucinare,cucinare,verbo transitivo,to cook
bonifico,il bonifico,sostantivo,bank transfer
obbligatorio,obbligatorio/a/i/e,aggettivo,mandatory
affettuoso,affettuoso/a/i/e,aggettivo,affectionate
contante,il contante,sostantivo,cash
pera,la pera,sostantivo,pear
etto,l'etto,sostantivo,hundred grams
insalata,l'insalata,sostantivo,salad
gruppo,il gruppo,sostantivo,group
tecnologia,la tecnologia,sostantivo,technology
cinema,il cinema,sostantivo,cinema
carnevale,il carnevale,sostantivo,carnival
previsione,la previsione,sostantivo,forecast
guarire,guarire,verbo intransitivo,heal
fra,fra,preposizione,between
amministratore/trice,l'amministratore/trice,sostantivo,administrator
moglie,la moglie,sostantivo,wife
maschile,maschile/i,aggettivo,masculine
soccorso,il soccorso,sostantivo,rescue
gustare,gustare,verbo transitivo,to taste
doccia,la doccia,sostantivo,shower
plurale,il plurale,aggettivo - sostantivo,plural
pistola,la pistola,sostantivo,pistol
sennò,sennò,congiunzione,otherwise
impossibile,impossibile/i,aggettivo,impossible
nemico,nemico,s.m. agg.,enemy
seguire,seguire,verbo transitivo,follow
indossare,indossare,verbo transitivo,to wear
avverbio,l'avverbio,sostantivo,adverb
serio,serio/a/i/e,aggettivo,serious
zucchero,lo zucchero,sostantivo,sugar
fidarsi,fidarsi,verbo intransitivo pronominale,to trust
distanza,la distanza,sostantivo,distance
convivente,il convivente,sostantivo,cohabitant
basta,basta,interiezione,enough
cuore,il cuore,sostantivo,heart
roba,la roba,sostantivo,stuff
peggio,peggio,avverbio - aggettivo,worse
scopo,lo scopo,sostantivo,purpose
crepare,crepare,verbo intransitivo,to croak
riccio,riccio/a/i/e,aggettivo,curly
messa,la messa,sostantivo,mass
personale,il personale,aggettivo - sostantivo,staff
cogliere,cogliere,verbo transitivo,to seize
campo,il campo,sostantivo,field
amare,amare,verbo transitivo,to love
pausa,la pausa,sostantivo,break
clinica,la clinica,sostantivo,clinic
idea,l'idea,sostantivo,idea
mio,mio,agg. - pron.,my
maglietta,la maglietta,sostantivo,t-shirt
notte,la notte,sostantivo,night
dubbio,il dubbio,sostantivo,doubt
spicchio,lo spicchio,sostantivo,wedge
teoria,la teoria,sostantivo,theory
settimanale,il settimanale,sostantivo,weekly magazine
pulizia,la pulizia,sostantivo,cleaning
prestito,il prestito,sostantivo,loan
bocca,la bocca,sostantivo,mouth
adoperare,adoperare,verbo transitivo,to use
collega,il collega,sostantivo,colleague
raccogliere,raccogliere,verbo transitivo,to gather
orribile,orribile/i,aggettivo,horrible
il,il,articolo,the
lavatrice,la lavatrice,sostantivo,washing machine
alimentazione,l'alimentazione,sostantivo,nutrition
bibita,la bibita,sostantivo,drink
consegnare,consegnare,verbo transitivo,deliver
infermiere/a,l'infermiere,sostantivo,nurse
pizzeria,la pizzeria,sostantivo,pizzeria
urgente,urgente/i,aggettivo,urgent
tu,tu,pronome,you
stadio,lo stadio,sostantivo,stadium
farmacia,la farmacia,sostantivo,pharmacy
necessario,necessario/a/i/e,aggettivo,necessary
socio/a,il socio,sostantivo,partner
fresco,fresco/a/chi/che,aggettivo,fresh
scienza,la scienza,sostantivo,science
francobollo,il francobollo,sostantivo,stamp
macchina,la macchina,sostantivo,car
nave,la nave,sostantivo,ship
nome,il nome,sostantivo,name
pronome,il pronome,sostantivo,pronoun
spettabile,spettabile/i,aggettivo,esteemed
contrario,il contrario,sostantivo,opposite
ubriacarsi,ubriacarsi,verbo intransitivo pronominale,to get drunk
grande,grande/i,aggettivo,big
conto,il conto,sostantivo,bill
anziano/a,l'anziano,aggettivo - sostantivo,elderly man
stato,lo stato,sostantivo,state
multa,la multa,sostantivo,fine
brutto,brutto/a/i/e,aggettivo,ugly
spuntino,lo spuntino,sostantivo,snack
espressione,l'espressione,sostantivo,expression
comportamento,il comportamento,sostantivo,behavior
iscriversi,iscriversi,verbo riflessivo,to register
là,là,avverbio,there
lirica,la lirica,aggettivo - sostantivo,lyric
sigaretta,la sigaretta,sostantivo,cigarette
simpatico,simpatico/a/i/e,aggettivo,nice
infine,infine,avverbio,finally
autentico,autentico/a/i/e,aggettivo,authentic
gridare,gridare,verbo intransitivo,to shout
aprire,aprire,verbo transitivo,to open
quasi,quasi,avverbio,almost
fregarsene,fregarsene,verbo intransitivo pronominale,to not care
cantare,cantare,verbo transitivo,to sing
salute,salute,s.f. - inter.,health
perfetto,perfetto/a/i/e,aggettivo,perfect
turista,il turista,sostantivo,tourist
crisi,la crisi,sostantivo,crisis
operaio/a,l'operaio,sostantivo,worker
sbucciare,sbucciare,verbo transitivo,to peel
riconoscere,riconoscere,verbo transitivo,recognize
bello,bello/a/i/e,aggettivo,beautiful
votare,votare,verbo transitivo,to vote
seguito,il seguito,sostantivo,sequel
addetto/a,l'addetto/l'addetta,sostantivo,employee
marito,il marito,sostantivo,husband
provare,provare,verbo transitivo,to try
fragile,fragile/i,aggettivo,fragile
bruciarsi,bruciarsi,verbo transitivo pronominale,to burn oneself
pagare,pagare,verbo transitivo,to pay
costruire,costruire,verbo transitivo,to build
rapporto,il rapporto,sostantivo,relationship
arrivederci,arrivederci,interiezione,goodbye
spostare,spostare,verbo transitivo,to move
gennaio,il gennaio,sostantivo,January
aggiungere,aggiungere,verbo transitivo,to add
presenza,la presenza,sostantivo,presence
water,l'acqua,sostantivo,water
secco,secco/a/chi/che,aggettivo,dry
impegno,l'impegno,sostantivo,commitment
ok,ok,interiezione,okay
ideale,ideale/i,aggettivo,ideal
singolare,singolare/i,aggettivo,singular
castano,castano/a/i/e,aggettivo,brown
calmarsi,calmarsi,verbo intransitivo pronominale,to calm down
legge,la legge,sostantivo,law
aiutare,aiutare,verbo transitivo,to help
mah,mah,interiezione,dunno
telefonata,la telefonata,sostantivo,phone call
capacità,la capacità,sostantivo,capacity
semplice,semplice/i,aggettivo,simple
tostapane,il tostapane,sostantivo,toaster
perché,perché,avv. - cong.,why
crudo,crudo/a/i/e,aggettivo,raw
abbraccio,l'abbraccio,sostantivo,hug
ancora,ancora,avverbio,still
pizzico,il pizzico,sostantivo,pinch
curarsi,curarsi,verbo riflessivo,to take care of oneself
relazione,la relazione,sostantivo,relationship
telefonare,telefonare,verbo intransitivo,to call
musicale,musicale/i,aggettivo,musical
stomaco,lo stomaco,sostantivo,stomach
consolato,il consolato,sostantivo,consulate
sorridere,sorridere,verbo intransitivo,to smile
lungo,lungo/a/hi/he,aggettivo,long
villa,la villa,sostantivo,villa
pranzo,il pranzo,sostantivo,lunch
per,per,preposizione,for
borsa,la borsa,sostantivo,bag
bene,bene,avverbio,well
abile,abile/i,aggettivo,skillful
pianta,la pianta,sostantivo,plant
pazienza,la pazienza,sostantivo,patience
prodotto,il prodotto,sostantivo,product
soddisfatto,soddisfatto/a/i/e,aggettivo,satisfied
verticale,verticale/i,aggettivo,vertical
cucina,la cucina,sostantivo,kitchen
globalizzazione,la globalizzazione,sostantivo,globalization
odiare,odiare,verbo transitivo,to hate
gentile,gentile/i,aggettivo,kind
imparare,imparare,verbo transitivo,to learn
povero,povero/a/i/e,aggettivo,poor
ultimo,ultimo/a/i/e,aggettivo,last
spaventoso,spaventoso/a/i/e,aggettivo,scary
immobile,l'immobile,sostantivo,property
esistere,esistere,verbo intransitivo,to exist
incontrare/si,incontrare,v.t.  - v. rifl. recip.,to meet
pesante,pesante/i,aggettivo,heavy
strada,la strada,sostantivo,street
amicizia,l'amicizia,sostantivo,friendship
sfortuna,la sfortuna,sostantivo,misfortune
assomigliare,assomigliare,verbo intransitivo,to resemble
famiglia,la famiglia,sostantivo,family
indirizzo,l'indirizzo,sostantivo,address
destinatario,il destinatario,sostantivo,recipient
tradurre,tradurre,verbo transitivo,to translate
ristorante,il ristorante,sostantivo,restaurant
investire,investire,verbo transitivo,to invest
stesso,stesso,agg. - pron.,same
intorno,intorno,avverbio,around
gas,il gas,sostantivo,gas
segretario/a,il segretario / la segretaria,sostantivo,secretary
mucca,la mucca,sostantivo,cow
perfino,perfino,avverbio,even
militare,il militare,aggettivo - sostantivo,soldier
motorino,il motorino,sostantivo,moped
temporale,il temporale,sostantivo,thunderstorm
contatto,il contatto,sostantivo,contact
taxi,il taxi,sostantivo,taxi
prefisso,il prefisso,sostantivo,prefix
purtroppo,purtroppo,avverbio,unfortunately
giocatore/trice,il giocatore,sostantivo,player
affetto,l'affetto,sostantivo,affection
puro,puro/a/i/e,aggettivo,pure
interrompere,interrompere,verbo transitivo,interrupt
seta,la seta,sostantivo,silk
soldo,il soldo,sostantivo,penny
sciare,sciare,verbo intransitivo,to ski
rettore,il rettore,sostantivo,rector
paese,il paese,sostantivo,country
accorgersi,accorgersi,verbo intransitivo pronominale,to notice
difficoltà,la difficoltà,sostantivo,difficulty
personalmente,personalmente,avverbio,personally
pesare,pesare,verbo transitivo,to weigh
commedia,la commedia,sostantivo,comedy
criminale,il criminale,sostantivo,criminal
uccello,l'uccello,sostantivo,bird
alba,l'alba,sostantivo,dawn
assenza,l'assenza,sostantivo,absence
cugino/a,il cugino,sostantivo,cousin
solito,solito/a/i/e,aggettivo,usual
obbligare,obbligare,verbo transitivo,to oblige
cui,cui,pronome,whom
occhio,l'occhio,sostantivo,eye
pena,la pena,sostantivo,penalty
io,io,pronome,I
stirare,stirare,verbo transitivo,to iron
autunno,l'autunno,sostantivo,autumn
specializzazione,la specializzazione,sostantivo,specialization
qualsiasi,qualsiasi,pronome - aggettivo,any
diverso,diverso/a/i/e,aggettivo,different
complesso,complesso/i,aggettivo,complex
tuono,il tuono,sostantivo,thunder
casalingo/a,il casalingo,sostantivo,househusband
confermare,confermare,verbo transitivo,confirm
ospedale,l'ospedale,sostantivo,hospital
spedire,spedire,verbo transitivo,to ship
saldo,il saldo,sostantivo,balance
modo,il modo,sostantivo,way
me,me,pronome,me
scuro,scuro/a/i/e,aggettivo,dark
padella,la padella,sostantivo,pan
verde,verde/i,aggettivo,green
centro,il centro,sostantivo,center
solido,solido/a/i/e,aggettivo,solid
sollecito,sollecito/a/i/e,aggettivo,prompt
verità,la verità,sostantivo,truth
formazione,la formazione,sostantivo,training
mattina,la mattina,sostantivo,morning
nevicare,nevicare,verbo intransitivo,to snow
nord,il nord,sostantivo,north
legno,il legno,sostantivo,wood
piccante,piccante/i,aggettivo,spicy
trasloco,il trasloco,sostantivo,moving
