italian,function
appartamento,sostantivo
appartenere,verbo intransitivo
appassionato,aggettivo
appena,avverbio
appetito,sostantivo
apprezzare,verbo transitivo
appuntamento,sostantivo
appunto,s.m. - avv.
aprile,sostantivo
aprire,verbo transitivo
arancia,sostantivo
arancione,aggettivo
argento,sostantivo
argomento,sostantivo
aria,sostantivo
arma,sostantivo
armadio,sostantivo
armonia,sostantivo
arrabbiarsi,verbo intransitivo pronominale
arrestare,verbo transitivo
arrivare,verbo intransitivo
arrivederci,interiezione
arrivo,sostantivo
arrosto,sostantivo
arte,sostantivo
articolo,sostantivo
artificiale,aggettivo
artigianato,sostantivo
ascensore,sostantivo
asciugamano,sostantivo
asciugare/si,verbo transitivo - verbo riflessivo - verbo transitivo pronominale
ascoltare,verbo transitivo
asilo,sostantivo
asma,sostantivo
aspettare/si,verbo transitivo - verbo transitivo pronominale
aspetto,sostantivo
aspro,aggettivo
assassino/a,sostantivo
assegno,sostantivo
assente,aggettivo
assenza,sostantivo
assicurare,verbo transitivo
assicurazione,sostantivo
associazione,sostantivo
assolutamente,avverbio
assomigliare,verbo intransitivo
assumere,verbo transitivo
assurdo,aggettivo
atteggiamento,sostantivo
attendere,verbo transitivo - verbo intransitivo
attentamente,avverbio
attentato,sostantivo
attento,aggettivo
attenzione,sostantivo
attesa,sostantivo
attimo,sostantivo
attività,sostantivo
attore/trice,sostantivo
attraversare,verbo transitivo
attraverso,preposizione
augurare/si,verbo transitivo - verbo transitivo pronominale
augurio,sostantivo
aula,sostantivo
aumentare,verbo transitivo - verbo intransitivo
aumento,sostantivo
autentico,aggettivo
auto,mobile
autobus,sostantivo
autore/trice,sostantivo
autostrada,sostantivo
autunno,sostantivo
avanti,avverbio
avaro,aggettivo
avere,verbo transitivo
avverbio,sostantivo
avvertire,verbo transitivo
avvicinarsi,verbo intransitivo pronominale
azienda,sostantivo
azione,sostantivo
azzurro,aggettivo
baciare,verbo transitivo
bacio,sostantivo
baffo,sostantivo
bagaglio,sostantivo
bagnare/si,verbo transitivo - verbo riflessivo
bagno,sostantivo
balcone,sostantivo
ballare,verbo intransitivo
bambino/a,sostantivo
bambola,sostantivo
banana,sostantivo
banca,sostantivo
banco,sostantivo
bancomat,sostantivo
banconota,sostantivo
bar,sostantivo
barba,sostantivo
barca,sostantivo
base,sostantivo
basso,aggettivo
basta,interiezione
bastare,verbo intransitivo
beato,aggettivo
beh,interiezione
bellezza,sostantivo
bello,aggettivo
benché,congiunzione
bene,avverbio
benvenuto,aggettivo
benzina,sostantivo
bere,verbo transitivo
bianco,aggettivo
bibita,sostantivo
biblioteca,sostantivo
bicchiere,sostantivo
bicicletta,sostantivo
biglietteria,sostantivo
biglietto,sostantivo
bilancia,sostantivo
bilocale,sostantivo
binario,sostantivo
biondo,aggettivo
birra,sostantivo
bisognare,verbo intransitivo
bisogno,sostantivo
bistecca,sostantivo
blu,aggettivo
bocca,sostantivo
bocciare,verbo transitivo
boh,interiezione
bollente,aggettivo
bolletta,sostantivo
bollettino,sostantivo
bollire,verbo intransitivo
bomba,sostantivo
bonifico,sostantivo
borsa,sostantivo
bosco,sostantivo
bottiglia,sostantivo
braccio,sostantivo
brano,sostantivo
bravo,aggettivo - interiezione
breve,aggettivo
bruciarsi,verbo transitivo pronominale
brutto,aggettivo
bugia,sostantivo
buio,sostantivo
buonanotte,interiezione
buonasera,interiezione
buongiorno,interiezione
buono,aggettivo
burro,sostantivo
busta,sostantivo
buttare,verbo transitivo
cadavere,sostantivo
cadere,verbo intransitivo
caffè,sostantivo
calcio,sostantivo
calcolare,verbo transitivo
caldo,aggettivo - sostantivo
calma,sostantivo
calmarsi,verbo intransitivo pronominale
calmo,aggettivo
calza,sostantivo
cambiare,verbo transitivo - verbo intransitivo
camera,sostantivo
cameriere/a,sostantivo
camicia,sostantivo
camion,sostantivo
camminare,verbo intransitivo
campagna,sostantivo
campeggio,sostantivo
camper,sostantivo
campo,sostantivo
canale,sostantivo
cane,sostantivo
canguro,sostantivo
cantante,sostantivo
cantare,verbo transitivo
cantiere,sostantivo
cantina,sostantivo
canzone,sostantivo
capace,aggettivo
capacità,sostantivo
capello,sostantivo
capire,verbo transitivo
capitale,sostantivo
capitare,verbo intransitivo
capo,sostantivo
capodanno,sostantivo
cappello,sostantivo
cappotto,sostantivo
cappuccino,sostantivo
carabiniere,sostantivo
carattere,sostantivo
carcere,sostantivo
caricare,verbo transitivo
carne,sostantivo
carnevale,sostantivo
caro,aggettivo
carota,sostantivo
carriera,sostantivo
carta,sostantivo
cartolina,sostantivo
cartone,sostantivo
casa,sostantivo
casalingo/a,sostantivo
caso,sostantivo
cassa,sostantivo
cassettiera,sostantivo
castano,aggettivo
cattivo,aggettivo
catturare,verbo transitivo
causa,sostantivo
cavallo,sostantivo
cavarsela,verbo transitivo pronominale
cavolo,interiezione
cd,sostantivo
celibe,aggettivo
cellulare,sostantivo
cena,sostantivo
cenare,verbo intransitivo
centimetro,sostantivo
centro,sostantivo
cercare,verbo transitivo
cerotto,sostantivo
certamente,avverbio
certificato,sostantivo
certo,aggettivo - avverbio
cervello,sostantivo
che,pronome - congiunzione
check-in,sostantivo
chi,pronome
chiacchierare,verbo intransitivo
chiamare/si,verbo transitivo - verbo intransitivo pronominale
chiaro,aggettivo
chiave,sostantivo
chiedere,verbo transitivo
chiesa,sostantivo
chilo,sostantivo
chilometro,sostantivo
chissà,avverbio
chiudere,verbo transitivo
chiunque,pronome
ci,particella pronominale - pronome
ciao,interiezione
ciascuno,pronome
cibo,sostantivo
cieco,aggettivo - sostantivo
cielo,sostantivo
cima,sostantivo
cimitero,sostantivo
cin cin,interiezione
cinema,sostantivo
ciò,pronome
cioccolato,sostantivo
cioè,congiunzione
cipolla,sostantivo
circa,avverbio
citare,verbo transitivo
città,sostantivo
cittadinanza,sostantivo
classe,sostantivo
classico,aggettivo
cliccare,verbo transitivo
cliente,sostantivo
clima,sostantivo
clinica,sostantivo
coda,sostantivo
cogliere,verbo transitivo
cognato/a,sostantivo
cognome,sostantivo
coincidenza,sostantivo
colazione,sostantivo
collaboratore/trice,sostantivo
collana,sostantivo
collega,sostantivo
collegio,sostantivo
collezionare,verbo transitivo
collezione,sostantivo
collina,sostantivo
collocamento,sostantivo
colloquio,sostantivo
colorare,verbo transitivo
colore,sostantivo
colpa,sostantivo
colpevole,aggettivo - sostantivo
coltello,sostantivo
combattere,verbo transitivo - verbo intransitivo
come,cong. - avv.
cominciare,verbo transitivo - verbo intransitivo
commedia,sostantivo
commentare,verbo transitivo
commento,sostantivo
commercio,sostantivo
commesso/a,sostantivo
comodino,sostantivo
comodo,aggettivo
compagnia,sostantivo
compagno/a,sostantivo
compilare,verbo transitivo
compito,sostantivo
compleanno,sostantivo
complemento,sostantivo
complesso,aggettivo
completo,aggettivo
complicare,verbo transitivo
complimento,sostantivo
comportamento,sostantivo
comportarsi,verbo intransitivo pronominale
comprare,verbo transitivo
comprendere,verbo transitivo
computer,sostantivo
Comune,sostantivo
comunicare,verbo transitivo
comunicazione,sostantivo
comunque,cong. - avv.
con,preposizione
concentrare/si,v.t - v. rifl.
concerto,sostantivo
concorrenza,sostantivo
concorso,sostantivo
concludere,verbo transitivo
conclusione,sostantivo
condannare,verbo transitivo
condividere,verbo transitivo
condizionare,verbo transitivo
condizione,sostantivo
condoglianza,sostantivo
condominio,sostantivo
conferenza,sostantivo
confermare,verbo transitivo
confine,sostantivo
confrontare,verbo transitivo
confronto,sostantivo
confuso,aggettivo
congratulazione,sostantivo
coniugare,verbo transitivo
coniuge,sostantivo
connettersi,verbo riflessivo
conoscenza,sostantivo
conoscere,verbo transitivo
consegnare,verbo transitivo
conseguenza,sostantivo
considerare,verbo transitivo
considerazione,sostantivo
consigliare,verbo transitivo
consiglio,sostantivo
consolato,sostantivo
consonante,sostantivo
contante,sostantivo
contare,v.t. - v.int
contattare,verbo transitivo
contatto,sostantivo
contemporaneamente,avverbio
contemporaneo,aggettivo
contento,aggettivo
continuare,verbo transitivo
continuamente,avverbio
conto,sostantivo
contorno,sostantivo
contrario,sostantivo
contratto,sostantivo
contro,preposizione
controllare,verbo transitivo
conversazione,sostantivo
convincere,verbo transitivo
convivente,sostantivo
coperta,sostantivo
copia,sostantivo
coppia,sostantivo
coraggio,interiezione - sostantivo
cordiale,aggettivo
cordialmente,avverbio
corpo,sostantivo
correggere,verbo transitivo
corrente,aggettivo - sostantivo
correre,verbo intransitivo
corso,sostantivo
cortesia,sostantivo
corto,aggettivo
cosa,sostantivo
così,avverbio
costare,verbo transitivo
costo,sostantivo
costoso,aggettivo
costringere,verbo transitivo
costruire,verbo transitivo
costruzione,sostantivo
cotone,sostantivo
creare,verbo transitivo
credere,verbo transitivo
credito,sostantivo
crema,sostantivo
crepare,verbo intransitivo
crescere,verbo intransitivo
criminale,sostantivo
crisi,sostantivo
criticare,verbo transitivo
crociera,sostantivo
cronaca,sostantivo
crudo,aggettivo
cucchiaio,sostantivo
cucina,sostantivo
cucinare,verbo transitivo
cugino/a,sostantivo
cui,pronome
cultura,sostantivo
cuocere,verbo transitivo
cuore,sostantivo
cura,sostantivo
curarsi,verbo riflessivo
curioso,aggettivo
curriculum vitae,loc.sost.m.
cuscino,sostantivo
da,preposizione
danno,sostantivo
dappertutto,avverbio
dare,verbo transitivo
data,sostantivo
dato,sostantivo
davanti,avverbio - preposizione
davvero,avverbio
debito,sostantivo
debole,aggettivo
decidere,verbo transitivo
decisione,sostantivo
deludere,verbo transitivo
delusione,sostantivo
democrazia,sostantivo
denaro,sostantivo
dente,sostantivo
dentifricio,sostantivo
dentista,sostantivo
dentro,avverbio - preposizione
denuncia,sostantivo
denunciare,verbo transitivo
deprimere,verbo transitivo
descrivere,verbo transitivo
deserto,sostantivo
desiderare,verbo transitivo
desiderio,sostantivo
destinatario,sostantivo
destra,sostantivo
detestare,verbo transitivo
dettato,sostantivo
di,preposizione
dialetto,sostantivo
dialogo,sostantivo
diario,sostantivo
diavolo,sostantivo
dicembre,sostantivo
dichiarare,verbo transitivo
dieta,sostantivo
dietro,avv.- prep.
difendere,verbo transitivo
difetto,sostantivo
differente,aggettivo
differenza,sostantivo
difficile,aggettivo
difficoltà,sostantivo
dimenticare/si,verbo transitivo - verbo intransitivo pronominale
diminuire,verbo intransitivo
dimostrare,verbo transitivo
Dio,sostantivo
dipendente,sostantivo
dipendenza,sostantivo
dipendere,verbo intransitivo
dipingere,verbo transitivo
dipinto,sostantivo
diploma,sostantivo
diplomarsi,verbo intransitivo pronominale
dire,verbo transitivo
direttamente,avverbio
direttore/trice,sostantivo
direzione,sostantivo
dirigente,sostantivo
disabile,aggettivo
discesa,sostantivo
discorso,sostantivo
discoteca,sostantivo
discussione,sostantivo
discutere,verbo transitivo
disgustoso,aggettivo
disegnare,verbo transitivo
disoccupato/a,aggettivo - sostantivo
dispensa,sostantivo
disperare,verbo intransitivo
dispiacere,verbo intransitivo
distanza,sostantivo
distinto,aggettivo
distributore,sostantivo
disturbare,verbo transitivo
dito,sostantivo
ditta,sostantivo
divano,sostantivo
diventare,verbo intransitivo
diverso,aggettivo
divertente,aggettivo
divertimento,sostantivo
divertirsi,verbo riflessivo
dividere,verbo transitivo
divieto,sostantivo
divorziare,verbo intransitivo
dizionario,sostantivo
doccia,sostantivo
documentario,sostantivo
documento,sostantivo
dogana,sostantivo
dolce,agg. - s.m
dolore,sostantivo
domanda,sostantivo
domandare,verbo transitivo
domani,avverbio
domenica,sostantivo
donna,sostantivo
dopo,avv. - prep
dopodomani,avverbio
doppio,aggettivo
dormire,verbo intransitivo
dottorato,sostantivo
dottore/ssa,sostantivo
dove,avverbio
dovere,verbo intransitivo
dovunque,avverbio
dritto,avverbio
droga,sostantivo
dubbio,sostantivo
dubitare,verbo intransitivo
dunque,congiunzione
duomo,sostantivo
durante,preposizione
durare,verbo intransitivo
duro,aggettivo
e,congiunzione
eccetera,locuzione
eccetto,preposizione
eccezionale,aggettivo
ecco,locuzione
economia,sostantivo
educazione,sostantivo
egoista,aggettivo
egregio,aggettivo
eh,interiezione
elegante,aggettivo
elementare,aggettivo
elettricista,sostantivo
elezione,sostantivo
elicottero,sostantivo
e-mail,sostantivo
emergenza,sostantivo
emozione,sostantivo
enorme,aggettivo
entrare,verbo intransitivo
entrata,sostantivo
entro,preposizione
epoca,sostantivo
erba,sostantivo
errore,sostantivo
esame,sostantivo
esatto,aggettivo - avverbio
escludere,verbo transitivo
esempio,sostantivo
esercito,sostantivo
esercizio,sostantivo
esistere,verbo intransitivo
esperienza,sostantivo
espressione,sostantivo
esprimere,verbo transitivo
essere,verbo intransitivo
est,sostantivo
estate,sostantivo
esterno,aggettivo
estero,sostantivo
estroverso,aggettivo
età,sostantivo
etto,sostantivo
euro,sostantivo
evidente,aggettivo
evidenza,sostantivo
fabbrica,sostantivo
faccia,sostantivo
facile,aggettivo
facoltà,sostantivo
falso,aggettivo
fame,sostantivo
famiglia,sostantivo
famoso,aggettivo
fantastico,aggettivo
farcela,v. t. pron.
fare,verbo transitivo
farina,sostantivo
farmacia,sostantivo
fastidio,sostantivo
fatica,sostantivo
fattoria,sostantivo
favola,sostantivo
favore,sostantivo
fax,sostantivo
febbraio,sostantivo
febbre,sostantivo
fede,sostantivo
felice,aggettivo
felicità,sostantivo
femmina,sostantivo
femminile,aggettivo
feriale,aggettivo
feria,sostantivo
ferire/si,v.t. – v. int. pron.
ferita,sostantivo
fermare/si,verbo transitivo - verbo intransitivo pronominale
fermata,sostantivo
fermo,aggettivo
ferro,sostantivo
festa,sostantivo
festeggiare,verbo transitivo
festivo,aggettivo
fetta,sostantivo
fiammifero,sostantivo
fiction,sostantivo
fidanzato/a,sostantivo
fidarsi,verbo intransitivo pronominale
fiducia,sostantivo
figlio/a,sostantivo
figo,aggettivo
figura,sostantivo
figurarsi,verbo transitivo pronominale
fila,sostantivo
film,sostantivo
finale,aggettivo
finalmente,avverbio
finché,congiunzione
fine,sostantivo
finestra,sostantivo
finire,verbo transitivo - verbo intransitivo
fino,preposizione
finora,avverbio
finto,aggettivo
fiore,sostantivo
firma,sostantivo
firmare,verbo transitivo
fiume,sostantivo
foglio,sostantivo
folla,sostantivo
fondo,sostantivo
fontana,sostantivo
forchetta,sostantivo
forma,sostantivo
formaggio,sostantivo
formazione,sostantivo
fornello,sostantivo
fornitore,sostantivo
forno,sostantivo
forse,avverbio
forte,aggettivo
fortuna,sostantivo
forza,s.f. - inter.
fotografia,sostantivo
fra,preposizione
fragile,aggettivo
francobollo,sostantivo
frase,sostantivo
fratello,sostantivo
freddo,sostantivo - aggettivo
freezer,sostantivo
fregarsene,verbo intransitivo pronominale
frenare,verbo intransitivo
freno,sostantivo
frequentare,verbo transitivo
fresco,aggettivo
fretta,sostantivo
friggere,verbo transitivo
frigorifero,sostantivo
fronte,sostantivo
frullatore,sostantivo
frutta,sostantivo
fulmine,sostantivo
fumare,verbo transitivo
fumetto,sostantivo
fumo,sostantivo
funzionare,verbo intransitivo
fuoco,sostantivo
fuori,avverbio - preposizione
furto,sostantivo
futuro,sostantivo
galera,sostantivo
galleria,sostantivo
gamba,sostantivo
ganzo,aggettivo
gara,sostantivo
garage,sostantivo
gas,sostantivo
gatto,sostantivo
gelato,sostantivo - aggettivo
generalmente,avverbio
generazione,sostantivo
genere,sostantivo
genero,sostantivo
generoso,aggettivo
genitore,sostantivo
gennaio,sostantivo
gente,sostantivo
gentile,aggettivo
geografia,sostantivo
gesto,sostantivo
ghiacciaio,sostantivo
ghiaccio,sostantivo
già,avverbio
giacca,sostantivo
giallo,aggettivo
giardinaggio,sostantivo
giardino,sostantivo
ginnastica,sostantivo
giocare,verbo intransitivo
giocatore/trice,sostantivo
giocattolo,sostantivo
gioco,sostantivo
gioia,sostantivo
giornale,sostantivo
giornalista,sostantivo
giornata,sostantivo
giorno,sostantivo
giovane,aggettivo
giovedì,sostantivo
girare,verbo intransitivo
giro,sostantivo
gita,sostantivo
giù,avverbio
giudice,sostantivo
giugno,sostantivo
giustizia,sostantivo
giusto,aggettivo
gli,art. - pron.
globalizzazione,sostantivo
gonna,sostantivo
governo,sostantivo
grado,sostantivo
grammo,sostantivo
grande,aggettivo
grasso,aggettivo
gratis,avverbio
grave,aggettivo
grazie,interiezione
gridare,verbo intransitivo
grigio,aggettivo
grosso,aggettivo
gruppo,sostantivo
guadagnare,verbo transitivo
guanto,sostantivo
guardare,verbo transitivo
guarire,verbo intransitivo
guasto,aggettivo - sostantivo
guerra,sostantivo
guida,sostantivo
guidare,verbo transitivo
gustare,verbo transitivo
gusto,sostantivo
hobby,sostantivo
hotel,sostantivo
i,articolo
idea,sostantivo
ideale,aggettivo
identità,sostantivo
ideologia,sostantivo
idraulico,sostantivo
ieri,avverbio
il,articolo
imitare,verbo transitivo
immaginare,verbo transitivo
immagine,sostantivo
immobile,sostantivo
imparare,verbo transitivo
impaziente,aggettivo
impegnare,verbo transitivo
impegno,sostantivo
impensabile,aggettivo
impermeabile,sostantivo
impianto,sostantivo
impiegato/a,sostantivo
importante,aggettivo
importanza,sostantivo
importare,verbo intransitivo
impossibile,aggettivo
impresa,sostantivo
impressione,sostantivo
improbabile,aggettivo
improvvisamente,avverbio
improvviso,aggettivo
in,preposizione
incendio,sostantivo
incidente,sostantivo
includere,verbo transitivo
incominciare,verbo transitivo
incontrare/si,v.t.  - v. rifl. recip.
incredibile,aggettivo
incrocio,sostantivo
incubo,sostantivo
indietro,avverbio
indifferente,aggettivo
indimenticabile,aggettivo
indirizzo,sostantivo
indispensabile,aggettivo
indossare,verbo transitivo
industria,sostantivo
infanzia,sostantivo
infatti,congiunzione
inferiore,aggettivo
infermiere/a,sostantivo
infine,avverbio
informare,verbo transitivo
informazione,sostantivo
ingegnere,sostantivo
iniziare,verbo transitivo - verbo intransitivo
inizio,sostantivo
innamorarsi,verbo intransitivo pronominale
innanzitutto,avverbio
innocente,aggettivo
inoltre,avverbio
inquilino/a,sostantivo
inquinamento,sostantivo
insalata,sostantivo
insegnante,sostantivo
insegnare,verbo transitivo
insieme,avverbio
insipido,aggettivo
insistere,verbo intransitivo
insomma,avverbio
intanto,avverbio
intelligente,aggettivo
intendere,verbo transitivo
intenzione,sostantivo
interessante,aggettivo
interessarsi,verbo intransitivo pronominale
interesse,sostantivo
internazionale,aggettivo
internet,sostantivo
interno,aggettivo - sostantivo
interrompere,verbo transitivo
intervenire,verbo intransitivo
intervista,sostantivo
intorno,avverbio
introverso,aggettivo
inutile,aggettivo
invece,congiunzione
inventare,verbo transitivo
inverno,sostantivo
investire,verbo transitivo
inviare,verbo transitivo
invisibile,aggettivo
invitare,verbo transitivo
io,pronome
iscriversi,verbo riflessivo
iscrizione,sostantivo
isola,sostantivo
istituto,sostantivo
italiano,sostantivo
la,art. - pron.
là,avverbio
ladro/a,sostantivo
laggiù,avverbio
lassù,avverbio
lago,sostantivo
lamentarsi,verbo intransitivo pronominale
lampada,sostantivo
lana,sostantivo
largo,aggettivo
lasciare,verbo transitivo
lato,sostantivo
latte,sostantivo
laurea,sostantivo
laurearsi,verbo intransitivo pronominale
lavagna,sostantivo
lavanderia,sostantivo
lavandino,sostantivo
lavare/si,v.t. – v.rifl. - v.t.pron.
lavastoviglie,sostantivo
lavatrice,sostantivo
lavorare,verbo intransitivo
lavorativo,aggettivo
lavoro,sostantivo
le,art. - pron.
legge,sostantivo
leggere,verbo transitivo
leggero,aggettivo
legno,sostantivo
lei,pronome
lentamente,avverbio
lento,aggettivo
lenzuolo,sostantivo
leone,sostantivo
lettera,sostantivo
letto,sostantivo
lezione,sostantivo
li,pronome
lì,avverbio
liberare,verbo transitivo
libero,aggettivo
libertà,sostantivo
libreria,sostantivo
libro,sostantivo
licenziare,verbo transitivo
liceo,sostantivo
linea,sostantivo
lingua,sostantivo
liquido,aggettivo
lirica,aggettivo - sostantivo
liscio,aggettivo
litigare,verbo intransitivo
litro,sostantivo
livello,sostantivo
lo,art. - pron.
locale,sostantivo
logico,aggettivo
lontano,aggettivo - avverbio
lordo,aggettivo
loro,pronome - aggettivo
lotto,sostantivo
luce,sostantivo
luglio,sostantivo
lui,pronome
luna,sostantivo
lunedì,sostantivo
lungo,aggettivo
luogo,sostantivo
lupo,sostantivo
ma,congiunzione
macchina,sostantivo
madre,sostantivo
maestro/a,sostantivo
magari,inter. - cong.
maggio,sostantivo
maggiore,aggettivo
maglietta,sostantivo
maglione,sostantivo
magnifico,aggettivo
magro,aggettivo
mah,interiezione
mai,avverbio
maiale,sostantivo
maiuscola,sostantivo
malato,aggettivo
malattia,sostantivo
male,avverbio
mamma,sostantivo
manager,sostantivo
mancanza,sostantivo
mancare,verbo intransitivo
mancia,sostantivo
mandare,verbo transitivo
mangiare,verbo transitivo
manica,sostantivo
maniera,sostantivo
mano,sostantivo
mantenere,verbo transitivo
marca,sostantivo
marciapiede,sostantivo
mare,sostantivo
marito,sostantivo
marrone,aggettivo
martedì,sostantivo
marzo,sostantivo
maschile,aggettivo
maschio,sostantivo
master,sostantivo
massimo,aggettivo
matematica,sostantivo
materia,sostantivo
maternità,sostantivo
matita,sostantivo
matrimonio,sostantivo
mattina,sostantivo
matto,aggettivo
maturità,sostantivo
me,pronome
meccanico,sostantivo
medicina,sostantivo
medico,sostantivo
medio,aggettivo
meglio,avv. – agg.
mela,sostantivo
meno,avverbio
mensa,sostantivo
mensile,sostantivo
mensola,sostantivo
mente,sostantivo
mentre,congiunzione
menù,sostantivo
meraviglioso,aggettivo
mercato,sostantivo
merce,sostantivo
mercoledì,sostantivo
merenda,sostantivo
mese,sostantivo
messa,sostantivo
messaggio,sostantivo
metà,sostantivo
metallo,sostantivo
metodo,sostantivo
metro,sostantivo
metropoli,sostantivo
metro(politana),sostantivo
mettercela,verbo transitivo pronominale
mettere/si,v.t. – v.t.pron.
mezzanotte,sostantivo
mezzo,sostantivo - aggettivo
mezzogiorno,sostantivo
mi,pronome
migliorare,verbo transitivo - verbo intransitivo
migliore,aggettivo
militare,aggettivo - sostantivo
millimetro,sostantivo
minestra,sostantivo
minimo,aggettivo
ministro,sostantivo
minore,aggettivo
minuscola,sostantivo
minuscolo,aggettivo
minuto,sostantivo
mio,agg. - pron.
miseria,sostantivo
mite,aggettivo
mittente,sostantivo
mobile,sostantivo
moda,sostantivo
moderno,aggettivo
modo,sostantivo
modulo,sostantivo
moglie,sostantivo
moltiplicare,verbo transitivo
molto,aggettivo
momento,sostantivo
mondo,sostantivo
moneta,sostantivo
monolocale,sostantivo
montagna,sostantivo
monumento,sostantivo
morbido,aggettivo
morire,verbo intransitivo
morte,sostantivo
mostra,sostantivo
mostrare,verbo transitivo
motivo,sostantivo
moto(cicletta),sostantivo
motore,sostantivo
motorino,sostantivo
movimento,sostantivo
mucca,sostantivo
multa,sostantivo
municipio,sostantivo
muovere/si,verbo transitivo - verbo riflessivo
mura,sostantivo
muro,sostantivo
museo,sostantivo
musica,sostantivo
musicale,aggettivo
muto,aggettivo
mutuo,sostantivo
nascere,verbo intransitivo
nascondere,verbo transitivo
naso,sostantivo
Natale,sostantivo
natura,sostantivo
naturale,aggettivo
nave,sostantivo
navigare,verbo intransitivo
nazionalità,sostantivo
nazione,sostantivo
ne,particella pronominale
né,congiunzione
neanche,avv. - cong.
nebbia,sostantivo
necessario,aggettivo
negativo,aggettivo
negozio,sostantivo
nemico,s.m. agg.
nemmeno,avv. - cong.
nero,aggettivo
nervoso,aggettivo
nessuno,pronome - aggettivo
netto,aggettivo
neve,sostantivo
nevicare,verbo intransitivo
niente,pron. - avv.
nipote,sostantivo
no,avverbio
noi,pronome
noioso,aggettivo
noleggiare,verbo transitivo
nome,sostantivo
non,avverbio
nonno/a,sostantivo
nonostante,prep. - cong.
nord,sostantivo
normale,aggettivo
nostalgia,sostantivo
nostro,agg. - pron.
notizia,sostantivo
notte,sostantivo
novembre,sostantivo
novità,sostantivo
nubile,aggettivo
nulla,avverbio
numero,sostantivo
nuora,sostantivo
nuotare,verbo intransitivo
nuoto,sostantivo
nuovo,aggettivo
nuvola,sostantivo
nuvoloso,aggettivo
o,congiunzione
obbligare,verbo transitivo
obbligatorio,aggettivo
occasione,sostantivo
occhiale,sostantivo
occhio,sostantivo
occupare/si,verbo transitivo - verbo intransitivo pronominale
odiare,verbo transitivo
odio,sostantivo
odore,sostantivo
offerta,sostantivo
offrire,verbo transitivo
oggetto,sostantivo
oggi,avverbio
oggigiorno,avverbio
ogni,aggettivo
ognuno,pronome
ok,interiezione
olio,sostantivo
ombrello,sostantivo
omicidio,sostantivo
onestà,sostantivo
onesto,aggettivo
opera,sostantivo
operaio/a,sostantivo
opinione,sostantivo
opportunità,sostantivo
opportuno,aggettivo
oppure,congiunzione
ora,sostantivo - avverbio
orario,sostantivo
ordinare,verbo transitivo
ordine,sostantivo
orecchio,sostantivo
organizzare,verbo transitivo
organizzazione,sostantivo
orizzontale,aggettivo
ormai,avverbio
oro,sostantivo
