italian,function
isola,sostantivo
italiano,sostantivo
la,art. - pron
là,avverbio
lago,sostantivo
lampada,sostantivo
lana,sostantivo
largo,aggettivo
lasciare,verbo transitivo
latte,sostantivo
lavagna,sostantivo
lavanderia,sostantivo
lavandino,sostantivo
lavare/si,verbo transitivo - verbo riflessivo - verbo transitivo pronominale
lavastoviglie,sostantivo
lavatrice,sostantivo
lavorare,verbo intransitivo
lavoro,sostantivo
le,art. - pron.
leggere,verbo transitivo
leggero,aggettivo
legno,sostantivo
lei,pronome
lento,aggettivo
lenzuolo,sostantivo
lettera,sostantivo
letto,sostantivo
lezione,sostantivo
li,pronome
lì,avverbio
libero,aggettivo
libreria,sostantivo
libro,sostantivo
lingua,sostantivo
liscio,aggettivo
litro,sostantivo
livello,sostantivo
lo,art. - pron.
lontano,aggettivo - avverbio
loro,pron.- agg.
luce,sostantivo
luglio,sostantivo
lui,pronome
luna,sostantivo
lunedì,sostantivo
lungo,aggettivo
luogo,sostantivo
ma,congiunzione
macchina,sostantivo
madre,sostantivo
maggio,sostantivo
maglietta,sostantivo
maglione,sostantivo
magro,aggettivo
mai,avverbio
maiale,sostantivo
malato,aggettivo
male,avverbio
mamma,sostantivo
mancia,sostantivo
mangiare,verbo transitivo
manica,sostantivo
mano,sostantivo
mare,sostantivo
marito,sostantivo
marrone,aggettivo
martedì,sostantivo
marzo,sostantivo
maschile,aggettivo
maschio,sostantivo
matematica,sostantivo
materia,sostantivo
matita,sostantivo
matrimonio,sostantivo
mattina,sostantivo
me,pronome
meccanico,sostantivo
medicina,sostantivo
medico,sostantivo
meglio,avverbio
mela,sostantivo
meno,avverbio
mensa,sostantivo
menù,sostantivo
mercato,sostantivo
mercoledì,sostantivo
merenda,sostantivo
mese,sostantivo
messaggio,sostantivo
metà,sostantivo
metro,sostantivo
metro(politana),sostantivo
mettere/si,verbo transitivo - verbo transitivo pronominale
mezzanotte,sostantivo
mezzo,aggettivo
mezzogiorno,sostantivo
mi,pronome
minestra,sostantivo
minuto,sostantivo
mio,agg. - pron.
mobile,sostantivo
moda,sostantivo
moderno,aggettivo
moglie,sostantivo
molto,aggettivo
momento,sostantivo
mondo,sostantivo
montagna,sostantivo
monumento,sostantivo
morire,verbo intransitivo
mostra,sostantivo
moto(cicletta),sostantivo
motorino,sostantivo
mucca,sostantivo
muovere/si,verbo transitivo - verbo riflessivo
muro,sostantivo
museo,sostantivo
musica,sostantivo
nascere,verbo intransitivo
naso,sostantivo
Natale,sostantivo
natura,sostantivo
nave,sostantivo
nazionalità,sostantivo
nazione,sostantivo
nebbia,sostantivo
negozio,sostantivo
nero,aggettivo
nervoso,aggettivo
nessuno,pronome
neve,sostantivo
nevicare,verbo intransitivo
niente,pron. - avv.
nipote,sostantivo
no,avverbio
noi,pronome
noioso,aggettivo
noleggiare,verbo transitivo
nome,sostantivo
non,avverbio
nonno/a,sostantivo
nord,sostantivo
normale,aggettivo
nostalgia,sostantivo
nostro,agg. - pron.
notte,sostantivo
novembre,sostantivo
numero,sostantivo
nuora,sostantivo
nuotare,verbo intransitivo
nuoto,sostantivo
nuovo,aggettivo
nuvola,sostantivo
nuvoloso,aggettivo
o,congiunzione
occhiale,sostantivo
occhio,sostantivo
odore,sostantivo
offrire,verbo transitivo
oggetto,sostantivo
oggi,avverbio
ogni,aggettivo
ok,interiezione
olio,sostantivo
ombrello,sostantivo
operaio/a,sostantivo
ora,sostantivo - avverbio
orario,sostantivo
ordinare,verbo transitivo
orecchio,sostantivo
organizzare,verbo transitivo
oro,sostantivo
orologio,sostantivo
ospedale,sostantivo
ospite,sostantivo
ottobre,sostantivo
ovest,sostantivo
pacco,sostantivo
padella,sostantivo
padre,sostantivo
padrone/a,sostantivo
pagare,verbo transitivo
pagina,sostantivo
paio,sostantivo
palazzo,sostantivo
palestra,sostantivo
palla,sostantivo
pallacanestro,sostantivo
pane,sostantivo
panino,sostantivo
pantalone,sostantivo
papà,sostantivo
parcheggio,sostantivo
parco,sostantivo
parente,sostantivo
parete,sostantivo
parlare,verbo transitivo - verbo intransitivo
parola,sostantivo
parte,sostantivo
partenza,sostantivo
partire,verbo intransitivo
partita,sostantivo
Pasqua,sostantivo
passaporto,sostantivo
passare,verbo transitivo
passato,sostantivo - aggettivo
passeggiare,verbo intransitivo
passeggiata,sostantivo
pasta,sostantivo
pasto,sostantivo
patata,sostantivo
patente,sostantivo
paura,sostantivo
pausa,sostantivo
pavimento,sostantivo
peccato,sostantivo
pelle,sostantivo
penna,sostantivo
pensare,verbo intransitivo
pensione,sostantivo
pentola,sostantivo
pepe,sostantivo
per,preposizione
pera,sostantivo
perché,avv. - cong.
perdere,verbo transitivo
periferia,sostantivo
persona,sostantivo
pesante,aggettivo
pescare,verbo transitivo
pesce,sostantivo
pettine,sostantivo
pezzo,sostantivo
piacere,v.int. - s.m.
piangere,verbo intransitivo
piano,avv. - s.m.
pianta,sostantivo
piatto,sostantivo
piazza,sostantivo
piccolo,aggettivo
piede,sostantivo
pieno,aggettivo
pigro,aggettivo
pioggia,sostantivo
piovere,verbo intransitivo
pipa,sostantivo
piscina,sostantivo
pisello,sostantivo
più,avverbio
pizza,sostantivo
pizzeria,sostantivo
plurale,aggettivo
poco,po'
poi,avverbio
polizia,sostantivo
pollo,sostantivo
poltrona,sostantivo
pomeriggio,sostantivo
pomodoro,sostantivo
ponte,sostantivo
porta,sostantivo
portare,verbo transitivo
posacenere,sostantivo
posata,sostantivo
possibile,aggettivo
posta,sostantivo
posto,sostantivo
potere,verbo intransitivo
povero,aggettivo
pranzare,v.int
pranzo,sostantivo
prato,sostantivo
preferire,verbo transitivo
prego,interiezione
prendere,verbo transitivo
prenotare,verbo transitivo
preoccuparsi,verbo intransitivo pronominale
preparare,verbo transitivo
presto,avverbio
prezzo,sostantivo
prima,avverbio
primavera,sostantivo
primo,aggettivo - sostantivo
probabilmente,avverbio
problema,sostantivo
professore/ssa,sostantivo
profumo,sostantivo
programma,sostantivo
pronto,aggettivo
prosciutto,sostantivo
prossimo,aggettivo
provare,verbo transitivo
pulire,verbo transitivo
punto,sostantivo
qua,avverbio
quaderno,sostantivo
quadro,sostantivo
qualche,aggettivo
qualcosa,pronome
qualcuno,pronome
quale,pronome - aggettivo
quando,cong. - avv.
quanto,agg. - pron - avv.
quarto,sostantivo
quasi,avverbio
quello,agg. - pron.
questo,agg. - pron.
qui,avverbio
radio,sostantivo
raffreddore,sostantivo
ragazzo/a,sostantivo
ragione,sostantivo
regalare,verbo transitivo
regalo,sostantivo
restare,verbo intransitivo
resto,sostantivo
riccio,aggettivo
ricco,aggettivo
ricevere,verbo transitivo - verbo intransitivo
ricordare/si,verbo transitivo - verbo transitivo pronominale
ridere,verbo intransitivo
rilassarsi,verbo riflessivo
rimanere,verbo intransitivo
ripetere,verbo transitivo
riposare/si,verbo intransitivo - verbo intransitivo pronominale
riscaldamento,sostantivo
riso,sostantivo
rispondere,verbo intransitivo
risposta,sostantivo
ristorante,sostantivo
ritardo,sostantivo
ritornare,verbo intransitivo
ritrovare,verbo transitivo
rompere,verbo transitivo
rosa,aggettivo
rosso,aggettivo
roulotte,sostantivo
rumore,sostantivo
sabato,sostantivo
sala,sostantivo
salame,sostantivo
salato,aggettivo
saldo,sostantivo
sale,sostantivo
salotto,sostantivo
salsa,sostantivo
salute,s.f. - inter.
saluto,sostantivo
salve,interiezione
sandalo,sostantivo
sapere,verbo transitivo
sapone,sostantivo
sbagliare,verbo transitivo
sbaglio,sostantivo
scala,sostantivo
scarpa,sostantivo
scegliere,verbo transitivo
sci,sostantivo
sciare,verbo intransitivo
scienza,sostantivo
scomodo,aggettivo
scontrino,sostantivo
scorso,aggettivo
scrivania,sostantivo
scrivere,verbo transitivo
scuola,sostantivo
scuro,aggettivo
scusare,verbo transitivo
se,congiunzione
secondo,s.m. - prep. - agg.
sedersi,verbo intransitivo pronominale
sedia,sostantivo
segretario/a,sostantivo
segreteria,sostantivo
seguire,verbo transitivo
semaforo,sostantivo
sembrare,verbo intransitivo
sempre,avverbio
sentire/si,v.t. – v.rifl. recip.
senza,prep. - avv.
separare/si,v.t. – v.rifl. recip.
sera,sostantivo
serio,aggettivo
seta,sostantivo
sete,sostantivo
settembre,sostantivo
settimana,sostantivo
shampoo,sostantivo
si,pronome
sì,avverbio
sicuro,aggettivo
sigaretta,sostantivo
sigaro,sostantivo
significare,verbo transitivo
signore/a,sostantivo
silenzio,sostantivo
simile,aggettivo
simpatico,aggettivo
singolare,aggettivo
singolo,aggettivo
sinistra,sostantivo
soccorso,sostantivo
soffitto,sostantivo
soggiorno,sostantivo
soldo,sostantivo
sole,sostantivo
solito,aggettivo
solo,aggettivo - avverbio
sonno,sostantivo
sopra,prep. - avv.
sorella,sostantivo
sorpresa,sostantivo
sorridere,verbo intransitivo
sotto,prep. - avv.
spaghetto,sostantivo
spazzolino,sostantivo
specchio,sostantivo
spedire,verbo transitivo
spegnere,verbo transitivo
spendere,verbo transitivo
sperare,verbo intransitivo
spesa,sostantivo
spesso,avverbio
spettacolo,sostantivo
spiaggia,sostantivo
spiegare,verbo transitivo
spingere,verbo transitivo
spogliarsi,verbo riflessivo
sporcare,verbo transitivo
sporco,aggettivo
sport,sostantivo
sportivo,aggettivo
sposare/si,v.t. – v. rifl. recip.
spuntino,sostantivo
squadra,sostantivo
stadio,sostantivo
stamattina,avverbio
stanco,aggettivo
stanotte,avverbio
stanza,sostantivo
stare,verbo intransitivo
stasera,avverbio
stazione,sostantivo
stella,sostantivo
stesso,aggettivo
stirare,verbo transitivo
stiro,sostantivo
stivale,sostantivo
stop,sostantivo
storia,sostantivo
storico,aggettivo
strada,sostantivo
straniero,aggettivo
strano,aggettivo
stretto,aggettivo
studente/ssa,sostantivo
studiare,verbo transitivo
studio,sostantivo
su,prep. - avv.
subito,avverbio
succedere,verbo intransitivo
sud,sostantivo
suo,agg. - pron.
suocero/a,sostantivo
suonare,verbo transitivo
supermercato,sostantivo
svegliarsi,verbo intransitivo pronominale
tabaccaio,sostantivo
tagliare,verbo transitivo
tanto,avverbio - aggettivo
tappeto,sostantivo
tardi,avverbio
tasca,sostantivo
tavolo,sostantivo
taxi,sostantivo
tazza,sostantivo
te,pronome
tè,sostantivo
teatro,sostantivo
tecnico,sostantivo
telefonare,verbo intransitivo
telefonata,sostantivo
telefono,sostantivo
televisione,sostantivo
temperatura,sostantivo
tempo,sostantivo
temporale,sostantivo
tenda,sostantivo
tenere,verbo transitivo
tennis,sostantivo
terra,sostantivo
terrazza,sostantivo
testa,sostantivo
tetto,sostantivo
ti,pronome
tiepido,aggettivo
timido,aggettivo
tirare,verbo transitivo
toccare,verbo transitivo
togliere,verbo transitivo
tornare,verbo intransitivo
torta,sostantivo
tortellino,sostantivo
tosse,sostantivo
tovaglia,sostantivo
tovagliolo,sostantivo
tra,preposizione
traffico,sostantivo
tranquillo,aggettivo
trascorrere,verbo transitivo
treno,sostantivo
triste,aggettivo
troppo,aggettivo - avverbio
trovare,verbo transitivo
tu,pronome
tuo,agg. - pron.
tuono,sostantivo
turista,sostantivo
tutto,aggettivo
tv,s.f
uccello,sostantivo
ufficio,sostantivo
uguale,aggettivo
ultimo,aggettivo
un/o/a,articolo
università,sostantivo
uomo,sostantivo
uovo,sostantivo
usare,verbo transitivo
uscire,verbo intransitivo
uscita,sostantivo
utile,aggettivo
vacanza,sostantivo
valigia,sostantivo
vasca,sostantivo
vaso,sostantivo
vecchio,aggettivo
vedere/si,v.t. - v. rifl. recip.
vedovo,aggettivo
veloce,aggettivo
vendere,verbo transitivo
venerdì,sostantivo
venire,verbo intransitivo
vento,sostantivo
veramente,avverbio
verbo,sostantivo
verde,aggettivo
verdura,sostantivo
vero,aggettivo
vestirsi,verbo riflessivo
vestito,sostantivo
vetrina,sostantivo
vetro,sostantivo
vi,pronome
via,sostantivo
viaggiare,verbo intransitivo
viaggio,sostantivo
vicino,avverbio
vino,sostantivo
viola,aggettivo
virgola,sostantivo
visitare,verbo transitivo
visto,sostantivo
vivere,verbo intransitivo
voce,sostantivo
voglia,sostantivo
voi,pronome
volare,verbo intransitivo
volere,verbo intransitivo
volta,sostantivo
vostro,agg. - pron.
vuoto,aggettivo
water,sostantivo
zaino,sostantivo
zio/a,sostantivo
zucchero,sostantivo
