italian_original,italian,function,english
musica,la musica,sostantivo,music
ti,ti,pronome,you
tenere,tenere,verbo transitivo,to hold
allora,allora,avverbio,then
bibita,la bibita,sostantivo,drink
tuono,il tuono,sostantivo,thunder
te,te,pronome,you
novembre,il novembre,sostantivo,November
periferia,la periferia,sostantivo,suburbs
freddo,il freddo,sostantivo - aggettivo,cold
salato,salato/a/i/e,aggettivo,salty
buono,buono/a/i/e,aggettivo,good
gamba,la gamba,sostantivo,leg
bar,il bar,sostantivo,bar
mela,la mela,sostantivo,apple
ufficio,l'ufficio,sostantivo,office
madre,la madre,sostantivo,mother
cognome,il cognome,sostantivo,surname
togliere,togliere,verbo transitivo,to remove
tardi,tardi,avverbio,late
sala,la sala,sostantivo,hall
cartolina,la cartolina,sostantivo,postcard
chiaro,chiaro/a/i/e,aggettivo,clear
destra,la destra,sostantivo,right
difficile,difficile/i,aggettivo,difficult
firmare,firmare,verbo transitivo,to sign
gioco,il gioco,sostantivo,game
poltrona,la poltrona,sostantivo,armchair
calza,la calza,sostantivo,stocking
autostrada,l'autostrada,sostantivo,highway
garage,il garage,sostantivo,garage
stanotte,stanotte,avverbio,tonight
adesso,adesso,avverbio,now
qualcuno,qualcuno,pronome,somebody
fulmine,il fulmine,sostantivo,lightning
settembre,il settembre,sostantivo,September
usare,usare,verbo transitivo,to use
programma,il programma,sostantivo,program
temperatura,la temperatura,sostantivo,temperature
dogana,la dogana,sostantivo,customs
maglietta,la maglietta,sostantivo,t-shirt
negozio,il negozio,sostantivo,shop
lenzuolo,il lenzuolo,sostantivo,bedsheet
o,o,congiunzione,or
sporco,sporco/a/i/e,aggettivo,dirty
alimentari,gli alimentari,sostantivo plurale,grocery store
vestito,il vestito,sostantivo,dress
pipa,la pipa,sostantivo,pipe
trascorrere,trascorrere,verbo transitivo,spend
viaggio,il viaggio,sostantivo,trip
probabilmente,probabilmente,avverbio,probably
dimenticare/si,dimenticare,v.t. – v. int. pron.,to forget
matematica,la matematica,sostantivo,mathematics
minestra,la minestra,sostantivo,soup
tenda,la tenda,sostantivo,curtain
uguale,uguale/i,aggettivo,equal
veloce,veloce/i,aggettivo,fast
studiare,studiare,verbo transitivo,to study
cielo,il cielo,sostantivo,sky
amico/a,l'amico,sostantivo,friend
benvenuto,benvenuto/a/i/e,aggettivo,welcome
saluto,il saluto,sostantivo,greeting
scrivania,la scrivania,sostantivo,desk
banco,il banco,sostantivo,desk
altro,altro/a/i/e,pronome - aggettivo,other
italiano,l'italiano,sostantivo,Italian
coltello,il coltello,sostantivo,knife
televisione,la televisione,sostantivo,television
braccio,il braccio,sostantivo,arm
fino,fino,preposizione,until
accordo,l'accordo,sostantivo,agreement
acqua,l'acqua,sostantivo,water
poi,poi,avverbio,then
meglio,meglio,avverbio,better
soldo,il soldo,sostantivo,penny
quadro,il quadro,sostantivo,painting
entrata,l'entrata,sostantivo,entrance
adulto/a,l'adulto,aggettivo - sostantivo,adult
palla,la palla,sostantivo,ball
compito,il compito,sostantivo,task
cameriere/a,il cameriere,sostantivo,waiter
terrazza,la terrazza,sostantivo,terrace
parte,la parte,sostantivo,part
utile,utile/i,aggettivo,useful
vedovo,vedovo/a/i/e,aggettivo,widowed
taxi,il taxi,sostantivo,taxi
giro,il giro,sostantivo,tour
gatto,il gatto,sostantivo,cat
stop,lo stop,sostantivo,stop sign
ballare,ballare,verbo intransitivo,to dance
ordinare,ordinare,verbo transitivo,to order
prezzo,il prezzo,sostantivo,price
ricevere,ricevere,verbo transitivo - verbo intransitivo,to receive
giugno,giugno,sostantivo,June
abbracciare,abbracciare,verbo transitivo,to embrace
subito,subito,avverbio,immediately
vecchio,vecchio/a/i/e,aggettivo,old
parcheggio,il parcheggio,sostantivo,parking
largo,largo/a/i/e,aggettivo,wide
uccello,l'uccello,sostantivo,bird
cena,la cena,sostantivo,dinner
appuntamento,l'appuntamento,sostantivo,appointment
amare,amare,verbo transitivo,to love
pronto,pronto/a/i/e,aggettivo,ready
fermata,la fermata,sostantivo,stop
parete,la parete,sostantivo,wall
tavolo,il tavolo,sostantivo,table
libreria,la libreria,sostantivo,bookcase
parco,il parco,sostantivo,park
spiaggia,la spiaggia,sostantivo,beach
piatto,il piatto,sostantivo,plate
sorpresa,la sorpresa,sostantivo,surprise
volere,volere,verbo intransitivo,to want
esercizio,l'esercizio,sostantivo,exercise
imparare,imparare,verbo transitivo,to learn
tovagliolo,il tovagliolo,sostantivo,napkin
luogo,il luogo,sostantivo,place
dormire,dormire,verbo intransitivo,to sleep
anello,l'anello,sostantivo,ring
bene,bene,avverbio,well
documento,il documento,sostantivo,document
portare,portare,verbo transitivo,to carry
prego,prego,interiezione,you're welcome
sete,la sete,sostantivo,thirst
verdura,la verdura,sostantivo,vegetable
chilometro,il chilometro,sostantivo,kilometer
balcone,il balcone,sostantivo,balcony
camper,il camper,sostantivo,camper
accompagnare,accompagnare,verbo transitivo,to accompany
biblioteca,la biblioteca,sostantivo,library
vedere/si,vedere/si,v.t. - v. rifl. recip.,to see/each other
guanto,il guanto,sostantivo,glove
lunedì,il lunedì,sostantivo,Monday
sinistra,la sinistra,sostantivo,left
impiegato/a,l'impiegato,sostantivo,employee
aiutare,aiutare,verbo transitivo,to help
medicina,la medicina,sostantivo,medicine
paura,la paura,sostantivo,fear
gelato,il gelato,sostantivo,ice cream
sandalo,il sandalo,sostantivo,sandal
le,le,art. - pron.,the
chiedere,chiedere,verbo transitivo,to ask
mucca,la mucca,sostantivo,cow
magro,magro/a/i/e,aggettivo,thin
primavera,la primavera,sostantivo,spring
cappuccino,il cappuccino,sostantivo,cappuccino
anticipo,l'anticipo,sostantivo,advance
vento,il vento,sostantivo,wind
vuoto,vuoto/a/i/e,aggettivo,empty
bacio,il bacio,sostantivo,kiss
tappeto,il tappeto,sostantivo,rug
mezzogiorno,il mezzogiorno,sostantivo,noon
scusare,scusare,verbo transitivo,to excuse
preparare,preparare,verbo transitivo,to prepare
noi,noi,pronome,we
passeggiata,la passeggiata,sostantivo,walk
compagno/a,il compagno / la compagna,sostantivo,companion
maggio,il maggio,sostantivo,May
zucchero,lo zucchero,sostantivo,sugar
ma,ma,congiunzione,but
piazza,la piazza,sostantivo,square
ciao,ciao,interiezione,hello
stella,la stella,sostantivo,star
centro,il centro,sostantivo,center
nonno/a,il nonno,sostantivo,grandfather
forno,il forno,sostantivo,oven
nome,il nome,sostantivo,name
pettine,il pettine,sostantivo,comb
nazionalità,la nazionalità,sostantivo,nationality
regalo,il regalo,sostantivo,gift
fra,fra,preposizione,between
spuntino,lo spuntino,sostantivo,snack
ospite,l'ospite,sostantivo,guest
check-in,il check-in,sostantivo,check-in
molto,molto/a/i/e,aggettivo,much
quando,quando,cong. - avv.,when
baffo,il baffo,sostantivo,mustache
campagna,la campagna,sostantivo,countryside
frequentare,frequentare,verbo transitivo,to attend
partire,partire,verbo intransitivo,to leave
scegliere,scegliere,verbo transitivo,to choose
Natale,il Natale,sostantivo,Christmas
telefono,il telefono,sostantivo,telephone
fermo,fermo,agg,still
merenda,la merenda,sostantivo,snack
secondo,secondo,s.m. - prep. - agg.,second
giorno,il giorno,sostantivo,day
libero,libero/a/i/e,aggettivo,free
pantalone,il pantalone,sostantivo,trousers
ogni,ogni,aggettivo,each
macchina,la macchina,sostantivo,car
scomodo,scomodo/a/i/e,aggettivo,uncomfortable
amaro,amaro/a/i/e,aggettivo,bitter
augurio,l'augurio,sostantivo,wish
fame,la fame,sostantivo,hunger
cosa,la cosa,sostantivo,thing
abbraccio,l'abbraccio,sostantivo,hug
non,non,avverbio,not
correre,correre,verbo intransitivo,to run
ricco,ricco/a/chi/che,aggettivo,rich
piacere,piacere,v.int. - s.m.,pleasure
vicino,vicino,avverbio,nearby
me,me,pronome,me
rosa,rosa,aggettivo,pink
sonno,il sonno,sostantivo,sleep
sabato,il sabato,sostantivo,Saturday
amore,l'amore,sostantivo,love
lavandino,il lavandino,sostantivo,sink
mio,mio,agg. - pron.,my
spazzolino,lo spazzolino,sostantivo,toothbrush
fermarsi,fermarsi,verbo intransitivo pronominale,to stop
dire,dire,verbo transitivo,to say
bottiglia,la bottiglia,sostantivo,bottle
frigorifero,il frigorifero,sostantivo,refrigerator
con,con,preposizione,with
cibo,il cibo,sostantivo,food
posta,la posta,sostantivo,mail
studio,lo studio,sostantivo,study
alcuno,alcuno/a/i/e,aggettivo,any
cassa,la cassa,sostantivo,cashier
agosto,l'agosto,sostantivo,August
giovane,giovane/i,aggettivo,young
capello,il capello,sostantivo,hair
sigaretta,la sigaretta,sostantivo,cigarette
continuare,continuare,verbo transitivo,continue
spedire,spedire,verbo transitivo,to send
antipasto,l'antipasto,sostantivo,appetizer
voglia,la voglia,sostantivo,desire
sciare,sciare,verbo intransitivo,to ski
stirare,stirare,verbo transitivo,to iron
trovare,trovare,verbo transitivo,to find
bistecca,la bistecca,sostantivo,steak
terra,la terra,sostantivo,earth
informazione,l'informazione,sostantivo,information
signore/a,il signore,sostantivo,gentleman
operaio/a,l'operaio,sostantivo,worker
occhiale,l'occhiale,sostantivo,eyeglass
vi,vi,pronome,you
discoteca,la discoteca,sostantivo,nightclub
muovere/si,muovere/si,verbo transitivo - verbo riflessivo,to move
singolo,singolo/a/i/e,aggettivo,single
più,più,avverbio,more
tazza,la tazza,sostantivo,cup
busta,la busta,sostantivo,envelope
significare,significare,verbo transitivo,to mean
ambasciata,l'ambasciata,sostantivo,embassy
senza,senza,prep. - avv.,without
oro,l'oro,sostantivo,gold
malato,malato/a/i/e,aggettivo,sick
ginnastica,la ginnastica,sostantivo,gymnastics
fidanzato/a,il fidanzato,sostantivo,fiancé
dipingere,dipingere,verbo transitivo,to paint
facoltà,la facoltà,sostantivo,faculty
ritrovare,ritrovare,verbo transitivo,to rediscover
quanto,quanto,agg. - pron - avv.,how much
mai,mai,avverbio,never
tu,tu,pronome,you
nuoto,il nuoto,sostantivo,swimming
armadio,l'armadio,sostantivo,wardrobe
vaso,il vaso,sostantivo,vase
insalata,l'insalata,sostantivo,salad
pisello,il pisello,sostantivo,pea
pentola,la pentola,sostantivo,pot
numero,il numero,sostantivo,number
seta,la seta,sostantivo,silk
cotone,il cotone,sostantivo,cotton
simile,simile/i,aggettivo,similar
agenzia,l'agenzia,sostantivo,agency
separare/si,separare,v.t. – v.rifl. recip.,separate
bisogno,il bisogno,sostantivo,need
fresco,fresco/a/chi/che,aggettivo,fresh
supermercato,il supermercato,sostantivo,supermarket
giornalista,il giornalista,sostantivo,journalist
scontrino,lo scontrino,sostantivo,receipt
simpatico,simpatico/a/i/e,aggettivo,nice
ok,ok,interiezione,ok
cin-cin,cin-cin,interiezione,cheers
semaforo,il semaforo,sostantivo,traffic light
lingua,la lingua,sostantivo,language
inutile,inutile/i,aggettivo,useless
cercare,cercare,verbo transitivo,to search
fuoco,il fuoco,sostantivo,fire
dispiacere,dispiacere,verbo intransitivo,to be sorry
conto,il conto,sostantivo,bill
medico,il medico,sostantivo,doctor
stretto,stretto/a/i/e,aggettivo,narrow
felice,felice/i,aggettivo,happy
doppio,doppio/a/i/e,aggettivo,double
lei,lei,pronome,she
mancia,la mancia,sostantivo,tip
camicia,la camicia,sostantivo,shirt
vero,vero/a/i/e,aggettivo,true
gli,gli,art. - pron.,the
dentifricio,il dentifricio,sostantivo,toothpaste
centimetro,il centimetro,sostantivo,centimeter
fuori,fuori,avverbio,outside
sedersi,sedersi,verbo intransitivo pronominale,to sit down
alzarsi,alzarsi,verbo riflessivo,to get up
arrosto,l'arrosto,sostantivo,roast
pizzeria,la pizzeria,sostantivo,pizzeria
lo,lo,art. - pron.,the
banana,la banana,sostantivo,banana
normale,normale/i,aggettivo,normal
storia,la storia,sostantivo,history
giardino,il giardino,sostantivo,garden
corpo,il corpo,sostantivo,body
specchio,lo specchio,sostantivo,mirror
costo,il costo,sostantivo,cost
padella,la padella,sostantivo,frying pan
stasera,stasera,avverbio,tonight
luna,la luna,sostantivo,moon
fornello,il fornello,sostantivo,stove
vetro,il vetro,sostantivo,glass
cane,il cane,sostantivo,dog
fotografia,la fotografia,sostantivo,photograph
grazie,grazie,interiezione,thank you
voi,voi,pronome,you
farmacia,la farmacia,sostantivo,pharmacy
arancia,l'arancia,sostantivo,orange
i,i,articolo,the
aprile,l'aprile,sostantivo,April
biglietteria,la biglietteria,sostantivo,ticket office
studente/ssa,lo studente/la studentessa,sostantivo,student
come,come,avverbio,how
storico,storico/a/i/e,aggettivo,historical
accendino,l'accendino,sostantivo,lighter
palazzo,il palazzo,sostantivo,palace
carne,la carne,sostantivo,meat
aula,l'aula,sostantivo,classroom
tv,tv,s.f,TV
pasta,la pasta,sostantivo,pasta
singolare,singolare/i,aggettivo,singular
euro,l'euro,sostantivo,euro
via,la via,sostantivo,street
argento,l'argento,sostantivo,silver
piovere,piovere,verbo intransitivo,to rain
fiume,il fiume,sostantivo,river
riccio,riccio/a/i/e,aggettivo,curly
inizio,l'inizio,sostantivo,beginning
arrivederci,arrivederci,interiezione,goodbye
industria,l'industria,sostantivo,industry
spaghetto,lo spaghetto,sostantivo,spaghetti string
squadra,la squadra,sostantivo,team
polizia,la polizia,sostantivo,police
shampoo,lo shampoo,sostantivo,shampoo
lasciare,lasciare,verbo transitivo,to leave
età,l'età,sostantivo,age
spegnere,spegnere,verbo transitivo,to switch off
lavare/si,lavarsi,verbo transitivo - verbo riflessivo - verbo transitivo pronominale,to wash oneself
pomeriggio,il pomeriggio,sostantivo,afternoon
chiesa,la chiesa,sostantivo,church
lavagna,la lavagna,sostantivo,blackboard
bambola,la bambola,sostantivo,doll
raffreddore,il raffreddore,sostantivo,cold
tè,il tè,sostantivo,tea
palestra,la palestra,sostantivo,gym
nuvola,la nuvola,sostantivo,cloud
febbre,la febbre,sostantivo,fever
timido,timido/a/i/e,aggettivo,shy
guardare,guardare,verbo transitivo,to watch
di,di,preposizione,of
parente,il parente,sostantivo,relative
giallo,giallo/a/i/e,aggettivo,yellow
aprire,aprire,verbo transitivo,to open
libro,il libro,sostantivo,book
tranquillo,tranquillo/a/i/e,aggettivo,quiet
carota,la carota,sostantivo,carrot
vetrina,la vetrina,sostantivo,shop window
nipote,il nipote,sostantivo,nephew
aeroporto,l'aeroporto,sostantivo,airport
sera,la sera,sostantivo,evening
mezzanotte,la mezzanotte,sostantivo,midnight
la,la,art. - pron,the
colorare,colorare,verbo transitivo,to color
femminile,femminile/i,aggettivo,feminine
campeggio,il campeggio,sostantivo,campsite
presto,presto,avverbio,soon
pianta,la pianta,sostantivo,plant
commesso/a,il commesso,sostantivo,shop assistant
cattivo,cattivo/a/i/e,aggettivo,bad
sedia,la sedia,sostantivo,chair
metà,la metà,sostantivo,half
profumo,il profumo,sostantivo,perfume
seguire,seguire,verbo transitivo,to follow
casa,la casa,sostantivo,house
cd,il cd,sostantivo,CD
cominciare,cominciare,verbo transitivo - verbo intransitivo,to begin
tosse,la tosse,sostantivo,cough
voce,la voce,sostantivo,voice
spendere,spendere,verbo transitivo,to spend
peccato,il peccato,sostantivo,sin
uscire,uscire,verbo intransitivo,to go out
facile,facile/i,aggettivo,easy
potere,potere,verbo intransitivo,to be able to
partenza,la partenza,sostantivo,departure
bagno,il bagno,sostantivo,bathroom
camera,la camera,sostantivo,room
orario,l'orario,sostantivo,schedule
favore,il favore,sostantivo,favor
tirare,tirare,verbo transitivo,to pull
sembrare,sembrare,verbo intransitivo,to seem
baciare,baciare,verbo transitivo,to kiss
genero,il genero,sostantivo,son-in-law
gentile,gentile/i,aggettivo,kind
tecnico,il tecnico,sostantivo,technician
maglione,il maglione,sostantivo,sweater
calcio,il calcio,sostantivo,soccer
grigio,grigio/a/i/e,aggettivo,gray
parlare,parlare,verbo transitivo - verbo intransitivo,to speak
geografia,la geografia,sostantivo,geography
pagina,la pagina,sostantivo,page
dovere,dovere,verbo intransitivo,to have to
donna,la donna,sostantivo,woman
testa,la testa,sostantivo,head
idea,l'idea,sostantivo,idea
quaderno,il quaderno,sostantivo,notebook
manica,la manica,sostantivo,sleeve
nebbia,la nebbia,sostantivo,fog
addio,addio,interiezione,goodbye
brutto,brutto/a/i/e,aggettivo,ugly
neve,la neve,sostantivo,snow
casalingo/a,il casalingo,sostantivo,househusband
fronte,la fronte,sostantivo,forehead
nord,il nord,sostantivo,north
internet,l'internet,sostantivo,internet
un/o/a,un,articolo,a
elegante,elegante/i,aggettivo,elegant
ridere,ridere,verbo intransitivo,laugh
ritardo,il ritardo,sostantivo,delay
cuscino,il cuscino,sostantivo,pillow
pavimento,il pavimento,sostantivo,floor
davanti,davanti,avverbio - preposizione,in front
calmo,calmo/a/i/e,aggettivo,calm
legno,il legno,sostantivo,wood
colore,il colore,sostantivo,color
professore/ssa,il professore,sostantivo,professor
rompere,rompere,verbo transitivo,break
offrire,offrire,verbo transitivo,to offer
marrone,marrone/i,aggettivo,brown
università,l'università,sostantivo,university
insegnante,l'insegnante,sostantivo,teacher
spesso,spesso,avverbio,often
esempio,l'esempio,sostantivo,example
ricordare/si,ricordare,verbo transitivo - verbo transitivo pronominale,to remember
nostro,nostro,agg. - pron.,our
asciugamano,l'asciugamano,sostantivo,towel
camminare,camminare,verbo intransitivo,to walk
direttore/trice,il direttore,sostantivo,director
moda,la moda,sostantivo,fashion
ultimo,ultimo/a/i/e,aggettivo,last
ponte,il ponte,sostantivo,bridge
odore,l'odore,sostantivo,smell
collana,la collana,sostantivo,necklace
menù,il menù,sostantivo,menu
così,così,avverbio,so
ascensore,l'ascensore,sostantivo,elevator
piede,il piede,sostantivo,foot
sapere,sapere,verbo transitivo,to know
dopo,dopo,avverbio,after
corto,corto/a/i/e,aggettivo,short
alto,alto/a/i/e,aggettivo,tall
dottore/ssa,il dottore/la dottoressa,sostantivo,doctor
prosciutto,il prosciutto,sostantivo,ham
segretario/a,il segretario,sostantivo,secretary
tutto,tutto/a/i/e,aggettivo,all
abbonamento,l'abbonamento,sostantivo,subscription
meno,meno,avverbio,less
aspettare,aspettare,verbo transitivo,to wait
certo,certo,avverbio,certainly
crema,la crema,sostantivo,cream
caro,caro/a/i/e,aggettivo,dear
prossimo,prossimo/a/i/e,aggettivo,next
dipinto,il dipinto,sostantivo,painting
vendere,vendere,verbo transitivo,to sell
comodo,comodo/a/i/e,aggettivo,comfortable
barba,la barba,sostantivo,beard
arancione,arancione/i,aggettivo,orange
errore,l'errore,sostantivo,error
indietro,indietro,avverbio,backwards
ecco,ecco,locuzione,here is
sole,il sole,sostantivo,sun
pescare,pescare,verbo transitivo,to fish
salsa,la salsa,sostantivo,sauce
mattina,la mattina,sostantivo,morning
coperta,la coperta,sostantivo,blanket
hotel,l'hotel,sostantivo,hotel
blu,blu,aggettivo,blue
dare,dare,verbo transitivo,to give
padre,il padre,sostantivo,father
tiepido,tiepido/a/i/e,aggettivo,lukewarm
canzone,la canzone,sostantivo,song
capo,il capo,sostantivo,boss
appartamento,l'appartamento,sostantivo,apartment
ascoltare,ascoltare,verbo transitivo,to listen
lui,lui,pronome,he
giù,giù,avverbio,down
arrivare,arrivare,verbo intransitivo,to arrive
biglietto,il biglietto,sostantivo,ticket
li,li,pronome,them
settimana,la settimana,sostantivo,week
anziano/a,l'anziano,aggettivo - sostantivo,elderly person
chiudere,chiudere,verbo transitivo,to close
tanto,tanto/a/i/e,avverbio - aggettivo,much
insieme,insieme,avverbio,together
lì,lì,avverbio,there
leggere,leggere,verbo transitivo,to read
domandare,domandare,verbo transitivo,to ask
suo,suo,agg. - pron.,his/her
bello,bello/a/i/e,aggettivo,beautiful
orologio,l'orologio,sostantivo,watch
nero,nero/a/i/e,aggettivo,black
dove,dove,avverbio,where
porta,la porta,sostantivo,door
appena,appena,avverbio,just
anno,l'anno,sostantivo,year
diverso,diverso/a/i/e,aggettivo,different
preferire,preferire,verbo transitivo,to prefer
resto,il resto,sostantivo,change
addormentarsi,addormentarsi,verbo intransitivo pronominale,to fall asleep
entrare,entrare,verbo intransitivo,to enter
chiave,la chiave,sostantivo,key
frase,la frase,sostantivo,sentence
coppia,la coppia,sostantivo,couple
e,e,congiunzione,and
classe,la classe,sostantivo,class
barca,la barca,sostantivo,boat
dolce,il dolce,aggettivo - sostantivo,dessert
meccanico,il meccanico,sostantivo,mechanic
si,si,pronome,itself
patente,la patente,sostantivo,driver's license
concerto,il concerto,sostantivo,concert
triste,triste/i,aggettivo,sad
ci,ci,particella pronominale - pronome,us
mese,il mese,sostantivo,month
bocca,la bocca,sostantivo,mouth
fabbrica,la fabbrica,sostantivo,factory
città,la città,sostantivo,city
pieno,pieno/a/i/e,aggettivo,full
se,se,congiunzione,if
debole,debole/i,aggettivo,weak
straniero,straniero/a/i/e,aggettivo,foreign
dito,il dito,sostantivo,finger
là,là,avverbio,there
saldo,il saldo,sostantivo,balance
sotto,sotto,prep. - avv.,under
moderno,moderno/a/i/e,aggettivo,modern
spogliarsi,spogliarsi,verbo riflessivo,to undress
finire,finire,verbo transitivo - verbo intransitivo,to finish
sorella,la sorella,sostantivo,sister
momento,il momento,sostantivo,moment
prato,il prato,sostantivo,meadow
posata,la posata,sostantivo,cutlery
no,no,avverbio,no
esame,l'esame,sostantivo,exam
partita,la partita,sostantivo,match
rilassarsi,rilassarsi,verbo riflessivo,to relax
contento,contento/a/i/e,aggettivo,happy
dritto,dritto,avverbio,straight
svegliarsi,svegliarsi,verbo intransitivo pronominale,to wake up
aereo(aeroplano),l'aereo,sostantivo,airplane
inverno,l'inverno,sostantivo,winter
luglio,il luglio,sostantivo,July
letto,il letto,sostantivo,bed
crociera,la crociera,sostantivo,cruise
montagna,la montagna,sostantivo,mountain
loro,loro,pron.- agg.,their
grande,grande/i,aggettivo,big
cucchiaio,il cucchiaio,sostantivo,spoon
avere,avere,verbo transitivo,to have
cioccolato,il cioccolato,sostantivo,chocolate
maschile,maschile/i,aggettivo,masculine
aceto,l'aceto,sostantivo,vinegar
monumento,il monumento,sostantivo,monument
divertimento,il divertimento,sostantivo,entertainment
nuotare,nuotare,verbo intransitivo,to swim
doccia,la doccia,sostantivo,shower
figlio/a,il figlio,sostantivo,son
dialogo,il dialogo,sostantivo,dialogue
forse,forse,avverbio,maybe
complimento,il complimento,sostantivo,compliment
ritornare,ritornare,verbo intransitivo,to return
quarto,il quarto,sostantivo,quarter
fattoria,la fattoria,sostantivo,farm
stanza,la stanza,sostantivo,room
riso,il riso,sostantivo,rice
riposare/si,riposare/si,verbo intransitivo - verbo intransitivo pronominale,to rest
qua,qua,avverbio,here
olio,l'olio,sostantivo,oil
nave,la nave,sostantivo,ship
sorridere,sorridere,verbo intransitivo,to smile
stanco,stanco/a/i/e,aggettivo,tired
isola,l'isola,sostantivo,island
dizionario,il dizionario,sostantivo,dictionary
azzurro,azzurro/a/i/e,aggettivo,light blue
cultura,la cultura,sostantivo,culture
fare,fare,verbo transitivo,to do
disegnare,disegnare,verbo transitivo,to draw
vivere,vivere,verbo intransitivo,to live
risposta,la risposta,sostantivo,answer
posto,il posto,sostantivo,place
liscio,liscio/a/i/e,aggettivo,smooth
rumore,il rumore,sostantivo,noise
tortellino,il tortellino,sostantivo,tortellino
distributore,il distributore,sostantivo,vending machine
passato,il passato,sostantivo - aggettivo,past
volta,la volta,sostantivo,time
spiegare,spiegare,verbo transitivo,explain
ingegnere,l'ingegnere,sostantivo,engineer
stazione,la stazione,sostantivo,station
latte,il latte,sostantivo,milk
panino,il panino,sostantivo,sandwich
fratello,il fratello,sostantivo,brother
infermiere/a,l'infermiere,sostantivo,male nurse
benzina,la benzina,sostantivo,gasoline
luce,la luce,sostantivo,light
sbaglio,lo sbaglio,sostantivo,mistake
acquistare,acquistare,verbo transitivo,to buy
film,il film,sostantivo,film
Pasqua,la Pasqua,sostantivo,Easter
male,male,avverbio,badly
primo,il primo,aggettivo - sostantivo,first
fumare,fumare,verbo transitivo,to smoke
pelle,la pelle,sostantivo,skin
questo,questo,agg. - pron.,this
mercato,il mercato,sostantivo,market
firma,la firma,sostantivo,signature
ancora,ancora,avverbio,still
nascere,nascere,verbo intransitivo,to be born
borsa,la borsa,sostantivo,bag
nuvoloso,nuvoloso/a/i/e,aggettivo,cloudy
piccolo,piccolo/a/i/e,aggettivo,small
tornare,tornare,verbo intransitivo,return
basta,basta,interiezione,enough
cucina,la cucina,sostantivo,kitchen
visto,il visto,sostantivo,visa
solito,solito/a/i/e,aggettivo,usual
attento,attento/a/i/e,aggettivo,attentive
su,su,prep. - avv.,up
giovedì,il giovedì,sostantivo,Thursday
gas,il gas,sostantivo,gas
tra,tra,preposizione,between
salute,salute,s.f. - inter.,health
estero,l'estero,sostantivo,abroad
albergo,l'albergo,sostantivo,hotel
nevicare,nevicare,verbo intransitivo,to snow
bianco,bianco/a/i/e,aggettivo,white
estate,l'estate,sostantivo,summer
castano,castano/a/i/e,aggettivo,brown
sentire/si,sentire,v.t. – v.rifl. recip.,to hear
tennis,il tennis,sostantivo,tennis
virgola,la virgola,sostantivo,comma
