italian_original,italian,function,english
sole,il sole,sostantivo,sun
maggio,il maggio,sostantivo,May
banca,la banca,sostantivo,bank
signore/a,il signore,sostantivo,gentleman
cucchiaio,il cucchiaio,sostantivo,spoon
arte,l'arte,sostantivo,art
credito,il credito,sostantivo,credit
facile,facile/i,aggettivo,easy
sedia,la sedia,sostantivo,chair
pantalone,il pantalone,sostantivo,trousers
agosto,agosto,sostantivo,August
maglione,il maglione,sostantivo,sweater
febbraio,il febbraio,sostantivo,February
a,a,preposizione,to
metà,la metà,sostantivo,half
mi,mi,pronome,me
casa,la casa,sostantivo,house
giornata,la giornata,sostantivo,day
tanto,tanto,agg. – avv.,much
un/o/a,un,articolo,a
uovo,l'uovo,sostantivo,egg
essere,essere,verbo intransitivo,to be
blu,blu,aggettivo,blue
martedì,il martedì,sostantivo,Tuesday
che,che,pronome,that
mangiare,mangiare,verbo transitivo,to eat
posta,la posta,sostantivo,mail
abitare,abitare,verbo intransitivo,to live
settimana,la settimana,sostantivo,week
carta,la carta,sostantivo,paper
italiano,l'italiano,sostantivo,Italian
spesa,la spesa,sostantivo,grocery shopping
zaino,lo zaino,sostantivo,backpack
te,te,pronome,you
secondo,il secondo,sostantivo,second course
sposare,sposare,verbo transitivo,to marry
buonanotte,buonanotte,interiezione,goodnight
aereo(aeroplano),l'aereo,sostantivo,airplane
morire,morire,verbo intransitivo,to die
dentro,dentro,avverbio,inside
mese,il mese,sostantivo,month
lo,lo,articolo,the
tornare,tornare,verbo intransitivo,to return
giù,giù,avverbio,down
gonna,la gonna,sostantivo,skirt
attento,attento/a/i/e,aggettivo,attentive
occhiale,l'occhiale,sostantivo,eyeglass
tè,il tè,sostantivo,tea
telefonare,telefonare,verbo intransitivo,to call
spedire,spedire,verbo transitivo,to send
carne,la carne,sostantivo,meat
bottiglia,la bottiglia,sostantivo,bottle
appuntamento,l'appuntamento,sostantivo,appointment
bene,bene,avverbio,well
mai,mai,avverbio,never
marzo,il marzo,sostantivo,March
campagna,la campagna,sostantivo,countryside
sabato,il sabato,sostantivo,Saturday
treno,il treno,sostantivo,train
ieri,ieri,avverbio,yesterday
non,non,avverbio,not
internet,l'internet,sostantivo,internet
nonno/a,il nonno,sostantivo,grandfather
dire,dire,verbo transitivo,to say
mezzogiorno,il mezzogiorno,sostantivo,noon
università,l'università,sostantivo,university
data,i dati,sostantivo,data
vino,il vino,sostantivo,wine
strada,la strada,sostantivo,street
canzone,la canzone,sostantivo,song
letto,il letto,sostantivo,bed
per,per,preposizione,for
hotel,l'hotel,sostantivo,hotel
mamma,la mamma,sostantivo,mom
piatto,il piatto,sostantivo,plate
quadro,il quadro,sostantivo,painting
quarto,il quarto,sostantivo,quarter
nazione,la nazione,sostantivo,nation
coltello,il coltello,sostantivo,knife
attenzione,l'attenzione,sostantivo,attention
domanda,la domanda,sostantivo,question
il,il,articolo,the
fare,fare,verbo transitivo,to do
venerdì,il venerdì,sostantivo,Friday
conto,il conto,sostantivo,bill
arrivederci,arrivederci,interiezione,goodbye
felice,felice/i,aggettivo,happy
potere,potere,verbo intransitivo,to be able to
tu,tu,pronome,you
museo,il museo,sostantivo,museum
pranzo,il pranzo,sostantivo,lunch
zucchero,lo zucchero,sostantivo,sugar
domandare,domandare,verbo transitivo,to ask
sì,sì,avverbio,yes
lì,lì,avverbio,there
sera,la sera,sostantivo,evening
visto,il visto,sostantivo,visa
stare,stare,verbo intransitivo,to stay
mezzanotte,la mezzanotte,sostantivo,midnight
cenare,cenare,verbo intransitivo,to dine
settembre,il settembre,sostantivo,September
ospedale,l'ospedale,sostantivo,hospital
autunno,l'autunno,sostantivo,autumn
pesce,il pesce,sostantivo,fish
posto,il posto,sostantivo,place
tutto,tutto/a/i/e,aggettivo,all
documento,il documento,sostantivo,document
polizia,la polizia,sostantivo,police
colore,il colore,sostantivo,color
fumare,fumare,verbo transitivo,to smoke
giocare,giocare,verbo intransitivo,to play
castano,castano/a/i/e,aggettivo,brown
giacca,la giacca,sostantivo,jacket
passaporto,il passaporto,sostantivo,passport
lei,lei,pronome,she
taxi,il taxi,sostantivo,taxi
su,su,avverbio,up
biglietto,il biglietto,sostantivo,ticket
vacanza,la vacanza,sostantivo,holiday
spiaggia,la spiaggia,sostantivo,beach
e,e,congiunzione,and
senza,senza,prep.- avv.,without
consolato,il consolato,sostantivo,consulate
piovere,piovere,verbo intransitivo,to rain
appartamento,l'appartamento,sostantivo,apartment
autobus,l'autobus,sostantivo,bus
pulire,pulire,verbo transitivo,to clean
ci,ci,part. pron. luogo,there
no,no,avverbio,no
gentile,gentile/i,aggettivo,kind
pane,il pane,sostantivo,bread
parlare,parlare,verbo transitivo - verbo intransitivo,to speak
entrare,entrare,verbo intransitivo,to enter
montagna,la montagna,sostantivo,mountain
bagno,il bagno,sostantivo,bathroom
giovane,giovane/i,aggettivo,young
caffè,il caffè,sostantivo,coffee
mezzo,mezzo/a/i/e,aggettivo,half
lezione,la lezione,sostantivo,lesson
ragazzo/a,il ragazzo,sostantivo,boy
anno,l'anno,sostantivo,year
sorella,la sorella,sostantivo,sister
doccia,la doccia,sostantivo,shower
ora,l'ora,sostantivo - avverbio,hour
fotografia,la fotografia,sostantivo,photograph
gatto,il gatto,sostantivo,cat
bicchiere,il bicchiere,sostantivo,glass
giovedì,il giovedì,sostantivo,Thursday
vecchio,vecchio/a/i/e,aggettivo,old
viaggio,il viaggio,sostantivo,trip
finestra,la finestra,sostantivo,window
scusare,scusare,verbo transitivo,to excuse
cominciare,cominciare,verbo intransitivo,to begin
caro,caro/a/i/e,aggettivo,dear
triste,triste/i,aggettivo,sad
fiore,il fiore,sostantivo,flower
venire,venire,verbo intransitivo,to come
prezzo,il prezzo,sostantivo,price
cartolina,la cartolina,sostantivo,postcard
sopra,sopra,avverbio,above
scrivere,scrivere,verbo transitivo,to write
acqua,l'acqua,sostantivo,water
televisione,la televisione,sostantivo,television
sotto,sotto,avverbio,under
dopo,dopo,avverbio,after
novembre,il novembre,sostantivo,November
lavoro,il lavoro,sostantivo,work
compleanno,il compleanno,sostantivo,birthday
insegnante,insegnante,s.m – s.f.,teacher
vero,vero/a/i/e,aggettivo,true
professore/ssa,il professore / la professoressa,sostantivo,teacher
piacere,piacere,v.int. - s.m.,pleasure
quanto,quanto,agg. – pron. – avv.,how much
cin cin,cin cin,interiezione,cheers
nascere,nascere,verbo intransitivo,to be born
alfabeto,l'alfabeto,sostantivo,alphabet
ombrello,l'ombrello,sostantivo,umbrella
marito,il marito,sostantivo,husband
corto,corto/a/i/e,aggettivo,short
compagno/a,il compagno / la compagna,sostantivo,companion
bere,bere,verbo transitivo,to drink
amare,amare,verbo transitivo,to love
ambasciata,l'ambasciata,sostantivo,embassy
intelligente,intelligente/i,aggettivo,intelligent
numero,il numero,sostantivo,number
bar,il bar,sostantivo,bar
moglie,la moglie,sostantivo,wife
tv,tv,s.f,TV
voi,voi,pronome,you
porta,la porta,sostantivo,door
biondo,biondo/a/i/e,aggettivo,blond
rispondere,rispondere,verbo intransitivo,to answer
cane,il cane,sostantivo,dog
computer,il computer,sostantivo,computer
dare,dare,verbo transitivo,to give
domenica,la domenica,sostantivo,Sunday
ristorante,il ristorante,sostantivo,restaurant
albero,l'albero,sostantivo,tree
bravo,bravo/a/i/e,aggettivo - interiezione,good
penna,la penna,sostantivo,pen
