italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
porgere,to offer/give,sto porgendo,I am offering/holding out,stai porgendo,you are offering/holding out,sta porgendo,he/she is offering/holding out,stiamo porgendo,we are offering/holding out,state porgendo,you all are offering/holding out,stanno porgendo,they are offering/holding out
utilizzare,to utilize,sto utilizzando,I am using,stai utilizzando,you are using,sta utilizzando,he/she is using,stiamo utilizzando,we are using,state utilizzando,you all are using,stanno utilizzando,they are using
tenere,to hold,sto tenendo,I am holding/keeping,stai tenendo,you are holding/keeping,sta tenendo,he/she is holding/keeping,stiamo tenendo,we are holding/keeping,state tenendo,you all are holding/keeping,stanno tenendo,they are holding/keeping
arrivare,to arrive,sto arrivando,I am arriving,stai arrivando,you are arriving,sta arrivando,he/she is arriving,stiamo arrivando,we are arriving,state arrivando,you all are arriving,stanno arrivando,they are arriving
occorrere,to need,sto occorrendo,I am being necessary,stai occorrendo,you are being necessary,sta occorrendo,he/she is being necessary,stiamo occorrendo,we are being necessary,state occorrendo,you all are being necessary,stanno occorrendo,they are being necessary
raggiungere,to reach,sto raggiungendo,I am reaching,stai raggiungendo,you are reaching,sta raggiungendo,he/she is reaching,stiamo raggiungendo,we are reaching,state raggiungendo,you all are reaching,stanno raggiungendo,they are reaching
restare,to remain,sto restando,I am remaining,stai restando,you are remaining,sta restando,he/she is remaining,stiamo restando,we are remaining,state restando,you all are remaining,stanno restando,they are remaining
affrontare,to face,sto affrontando,I am facing,stai affrontando,you are facing,sta affrontando,he/she is facing,stiamo affrontando,we are facing,state affrontando,you all are facing,stanno affrontando,they are facing
consentire,to allow,sto consentendo,I am allowing,stai consentendo,you are allowing,sta consentendo,he/she is allowing,stiamo consentendo,we are allowing,state consentendo,you all are allowing,stanno consentendo,they are allowing
permettere,to permit,sto permettendo,I am permitting,stai permettendo,you are permitting,sta permettendo,he/she is permitting,stiamo permettendo,we are permitting,state permettendo,you all are permitting,stanno permettendo,they are permitting
fornire,to provide,sto fornendo,I am providing,stai fornendo,you are providing,sta fornendo,he/she is providing,stiamo fornendo,we are providing,state fornendo,you all are providing,stanno fornendo,they are providing
passare,to pass,sto passando,I am passing,stai passando,you are passing,sta passando,he/she is passing,stiamo passando,we are passing,state passando,you all are passing,stanno passando,they are passing
cercare,to look for,sto cercando,I am searching,stai cercando,you are searching,sta cercando,he/she is searching,stiamo cercando,we are searching,state cercando,you all are searching,stanno cercando,they are searching
valere,to be worth,sto valendo,I am being worth,stai valendo,you are being worth,sta valendo,he/she is being worth,stiamo valendo,we are being worth,state valendo,you all are being worth,stanno valendo,they are being worth
lavorare,to work,sto lavorando,I am working,stai lavorando,you are working,sta lavorando,he/she is working,stiamo lavorando,we are working,state lavorando,you all are working,stanno lavorando,they are working
spiegare,to explain,sto spiegando,I am explaining,stai spiegando,you are explaining,sta spiegando,he/she is explaining,stiamo spiegando,we are explaining,state spiegando,you all are explaining,stanno spiegando,they are explaining
partecipare,to participate,sto partecipando,I am participating,stai partecipando,you are participating,sta partecipando,he/she is participating,stiamo partecipando,we are participating,state partecipando,you all are participating,stanno partecipando,they are participating
usare,to use,sto usando,I am using,stai usando,you are using,sta usando,he/she is using,stiamo usando,we are using,state usando,you all are using,stanno usando,they are using
offrire,to offer,sto offrendo,I am offering,stai offrendo,you are offering,sta offrendo,he/she is offering,stiamo offrendo,we are offering,state offrendo,you all are offering,stanno offrendo,they are offering
ricordare,to remember,sto ricordando,I am remembering,stai ricordando,you are remembering,sta ricordando,he/she is remembering,stiamo ricordando,we are remembering,state ricordando,you all are remembering,stanno ricordando,they are remembering
leggere,to read,sto leggendo,I am reading,stai leggendo,you are reading,sta leggendo,he/she is reading,stiamo leggendo,we are reading,state leggendo,you all are reading,stanno leggendo,they are reading
riuscire,to succeed,sto riuscendo,I am succeeding,stai riuscendo,you are succeeding,sta riuscendo,he/she is succeeding,stiamo riuscendo,we are succeeding,state riuscendo,you all are succeeding,stanno riuscendo,they are succeeding
costituire,to constitute,sto costituendo,I am constituting,stai costituendo,you are constituting,sta costituendo,he/she is constituting,stiamo costituendo,we are constituting,state costituendo,you all are constituting,stanno costituendo,they are constituting
considerare,to consider,sto considerando,I am considering,stai considerando,you are considering,sta considerando,he/she is considering,stiamo considerando,we are considering,state considerando,you all are considering,stanno considerando,they are considering
rimanere,to remain,sto rimanendo,I am remaining,stai rimanendo,you are remaining,sta rimanendo,he/she is remaining,stiamo rimanendo,we are remaining,state rimanendo,you all are remaining,stanno rimanendo,they are remaining
rimare,to rhyme,sto rimando,I am rhyming,stai rimando,you are rhyming,sta rimando,he/she is rhyming,stiamo rimando,we are rhyming,state rimando,you all are rhyming,stanno rimando,they are rhyming
entrare,to enter,sto entrando,I am entering,stai entrando,you are entering,sta entrando,he/she is entering,stiamo entrando,we are entering,state entrando,you all are entering,stanno entrando,they are entering
costruire,to build,sto costruendo,I am building,stai costruendo,you are building,sta costruendo,he/she is building,stiamo costruendo,we are building,state costruendo,you all are building,stanno costruendo,they are building
piacere,to please,sto piacendo,I am being pleasing,stai piacendo,you are being pleasing,sta piacendo,he/she is being pleasing,stiamo piacendo,we are being pleasing,state piacendo,you all are being pleasing,stanno piacendo,they are being pleasing
rispondere,to respond,sto rispondendo,I am answering,stai rispondendo,you are answering,sta rispondendo,he/she is answering,stiamo rispondendo,we are answering,state rispondendo,you all are answering,stanno rispondendo,they are answering
seguire,to follow,sto seguendo,I am following,stai seguendo,you are following,sta seguendo,he/she is following,stiamo seguendo,we are following,state seguendo,you all are following,stanno seguendo,they are following
nascere,to be born,sto nascendo,I am being born,stai nascendo,you are being born,sta nascendo,he/she is being born,stiamo nascendo,we are being born,state nascendo,you all are being born,stanno nascendo,they are being born
natare,to swim,sto natando,I am swimming,stai natando,you are swimming,sta natando,he/she is swimming,stiamo natando,we are swimming,state natando,you all are swimming,stanno natando,they are swimming
promuovere,to promote,sto promuovendo,I am promoting,stai promuovendo,you are promoting,sta promuovendo,he/she is promoting,stiamo promuovendo,we are promoting,state promuovendo,you all are promoting,stanno promuovendo,they are promoting
dichiarare,to declare,sto dichiarando,I am declaring,stai dichiarando,you are declaring,sta dichiarando,he/she is declaring,stiamo dichiarando,we are declaring,state dichiarando,you all are declaring,stanno dichiarando,they are declaring
dedicare,to dedicate,sto dedicando,I am dedicating,stai dedicando,you are dedicating,sta dedicando,he/she is dedicating,stiamo dedicando,we are dedicating,state dedicando,you all are dedicating,stanno dedicando,they are dedicating
definire,to define,sto definendo,I am defining,stai definendo,you are defining,sta definendo,he/she is defining,stiamo definendo,we are defining,state definendo,you all are defining,stanno definendo,they are defining
sostenere,to support/sustain,sto sostenendo,I am supporting,stai sostenendo,you are supporting,sta sostenendo,he/she is supporting,stiamo sostenendo,we are supporting,state sostenendo,you all are supporting,stanno sostenendo,they are supporting
assicurare,to ensure/insure,sto assicurando,I am assuring,stai assicurando,you are assuring,sta assicurando,he/she is assuring,stiamo assicurando,we are assuring,state assicurando,you all are assuring,stanno assicurando,they are assuring
favorire,to favor,sto favorendo,I am favoring,stai favorendo,you are favoring,sta favorendo,he/she is favoring,stiamo favorendo,we are favoring,state favorendo,you all are favoring,stanno favorendo,they are favoring
esprimere,to express,sto esprimendo,I am expressing,stai esprimendo,you are expressing,sta esprimendo,he/she is expressing,stiamo esprimendo,we are expressing,state esprimendo,you all are expressing,stanno esprimendo,they are expressing
svolgere,to carry out/perform,sto svolgendo,I am conducting,stai svolgendo,you are conducting,sta svolgendo,he/she is conducting,stiamo svolgendo,we are conducting,state svolgendo,you all are conducting,stanno svolgendo,they are conducting
porre,to place/put,sto ponendo,I am placing,stai ponendo,you are placing,sta ponendo,he/she is placing,stiamo ponendo,we are placing,state ponendo,you all are placing,stanno ponendo,they are placing
postare,to post (online),sto postando,I am posting,stai postando,you are posting,sta postando,he/she is posting,stiamo postando,we are posting,state postando,you all are posting,stanno postando,they are posting
sentire,to feel/hear,sto sentendo,I am hearing/feeling,stai sentendo,you are hearing/feeling,sta sentendo,he/she is hearing/feeling,stiamo sentendo,we are hearing/feeling,state sentendo,you all are hearing/feeling,stanno sentendo,they are hearing/feeling
servire,to serve/need,sto servendo,I am serving,stai servendo,you are serving,sta servendo,he/she is serving,stiamo servendo,we are serving,state servendo,you all are serving,stanno servendo,they are serving
capitare,to happen,sto capitando,I am happening,stai capitando,you are happening,sta capitando,he/she is happening,stiamo capitando,we are happening,state capitando,you all are happening,stanno capitando,they are happening
perdere,to lose,sto perdendo,I am losing,stai perdendo,you are losing,sta perdendo,he/she is losing,stiamo perdendo,we are losing,state perdendo,you all are losing,stanno perdendo,they are losing
cambiare,to change,sto cambiando,I am changing,stai cambiando,you are changing,sta cambiando,he/she is changing,stiamo cambiando,we are changing,state cambiando,you all are changing,stanno cambiando,they are changing
indicare,to indicate,sto indicando,I am indicating,stai indicando,you are indicating,sta indicando,he/she is indicating,stiamo indicando,we are indicating,state indicando,you all are indicating,stanno indicando,they are indicating
procedere,to proceed,sto procedendo,I am proceeding,stai procedendo,you are proceeding,sta procedendo,he/she is proceeding,stiamo procedendo,we are proceeding,state procedendo,you all are proceeding,stanno procedendo,they are proceeding
svoltare,to turn,sto svoltando,I am turning,stai svoltando,you are turning,sta svoltando,he/she is turning,stiamo svoltando,we are turning,state svoltando,you all are turning,stanno svoltando,they are turning
avvenire,to happen,sto avvenendo,I am occurring,stai avvenendo,you are occurring,sta avvenendo,he/she is occurring,stiamo avvenendo,we are occurring,state avvenendo,you all are occurring,stanno avvenendo,they are occurring
effettuare,to carry out,sto effettuando,I am performing,stai effettuando,you are performing,sta effettuando,he/she is performing,stiamo effettuando,we are performing,state effettuando,you all are performing,stanno effettuando,they are performing
tornare,to return,sto tornando,I am returning,stai tornando,you are returning,sta tornando,he/she is returning,stiamo tornando,we are returning,state tornando,you all are returning,stanno tornando,they are returning
verificare,to verify,sto verificando,I am verifying,stai verificando,you are verifying,sta verificando,he/she is verifying,stiamo verificando,we are verifying,state verificando,you all are verifying,stanno verificando,they are verifying
stabilire,to establish,sto stabilendo,I am establishing,stai stabilendo,you are establishing,sta stabilendo,he/she is establishing,stiamo stabilendo,we are establishing,state stabilendo,you all are establishing,stanno stabilendo,they are establishing
recare,to bring/carry,sto recando,I am bringing/causing,stai recando,you are bringing/causing,sta recando,he/she is bringing/causing,stiamo recando,we are bringing/causing,state recando,you all are bringing/causing,stanno recando,they are bringing/causing
richiedere,to request,sto richiedendo,I am requesting,stai richiedendo,you are requesting,sta richiedendo,he/she is requesting,stiamo richiedendo,we are requesting,state richiedendo,you all are requesting,stanno richiedendo,they are requesting
mantenere,to maintain,sto mantenendo,I am maintaining,stai mantenendo,you are maintaining,sta mantenendo,he/she is maintaining,stiamo mantenendo,we are maintaining,state mantenendo,you all are maintaining,stanno mantenendo,they are maintaining
affermare,to affirm/state,sto affermando,I am asserting,stai affermando,you are asserting,sta affermando,he/she is asserting,stiamo affermando,we are asserting,state affermando,you all are asserting,stanno affermando,they are asserting
lasciare,to leave,sto lasciando,I am leaving,stai lasciando,you are leaving,sta lasciando,he/she is leaving,stiamo lasciando,we are leaving,state lasciando,you all are leaving,stanno lasciando,they are leaving
scegliere,to choose,sto scegliendo,I am choosing,stai scegliendo,you are choosing,sta scegliendo,he/she is choosing,stiamo scegliendo,we are choosing,state scegliendo,you all are choosing,stanno scegliendo,they are choosing
migliorare,to improve,sto migliorando,I am improving,stai migliorando,you are improving,sta migliorando,he/she is improving,stiamo migliorando,we are improving,state migliorando,you all are improving,stanno migliorando,they are improving
disporre,to arrange/dispose,sto disponendo,I am arranging,stai disponendo,you are arranging,sta disponendo,he/she is arranging,stiamo disponendo,we are arranging,state disponendo,you all are arranging,stanno disponendo,they are arranging
chiamare,to call,sto chiamando,I am calling,stai chiamando,you are calling,sta chiamando,he/she is calling,stiamo chiamando,we are calling,state chiamando,you all are calling,stanno chiamando,they are calling
valutare,to evaluate,sto valutando,I am evaluating,stai valutando,you are evaluating,sta valutando,he/she is evaluating,stiamo valutando,we are evaluating,state valutando,you all are evaluating,stanno valutando,they are evaluating
individuare,to identify,sto individuando,I am identifying,stai individuando,you are identifying,sta individuando,he/she is identifying,stiamo individuando,we are identifying,state individuando,you all are identifying,stanno individuando,they are identifying
provenire,to come from,sto provenendo,I am coming from,stai provenendo,you are coming from,sta provenendo,he/she is coming from,stiamo provenendo,we are coming from,state provenendo,you all are coming from,stanno provenendo,they are coming from
derivare,to derive,sto derivando,I am deriving,stai derivando,you are deriving,sta derivando,he/she is deriving,stiamo derivando,we are deriving,state derivando,you all are deriving,stanno derivando,they are deriving
pagare,to pay,sto pagando,I am paying,stai pagando,you are paying,sta pagando,he/she is paying,stiamo pagando,we are paying,state pagando,you all are paying,stanno pagando,they are paying
ricevere,to receive,sto ricevendo,I am receiving,stai ricevendo,you are receiving,sta ricevendo,he/she is receiving,stiamo ricevendo,we are receiving,state ricevendo,you all are receiving,stanno ricevendo,they are receiving
aggiungere,to add,sto aggiungendo,I am adding,stai aggiungendo,you are adding,sta aggiungendo,he/she is adding,stiamo aggiungendo,we are adding,state aggiungendo,you all are adding,stanno aggiungendo,they are adding
superare,to overcome/exceed,sto superando,I am overcoming,stai superando,you are overcoming,sta superando,he/she is overcoming,stiamo superando,we are overcoming,state superando,you all are overcoming,stanno superando,they are overcoming
iniziare,to start,sto iniziando,I am starting,stai iniziando,you are starting,sta iniziando,he/she is starting,stiamo iniziando,we are starting,state iniziando,you all are starting,stanno iniziando,they are starting
intervenire,to intervene,sto intervenendo,I am intervening,stai intervenendo,you are intervening,sta intervenendo,he/she is intervening,stiamo intervenendo,we are intervening,state intervenendo,you all are intervening,stanno intervenendo,they are intervening
aprire,to open,sto aprendo,I am opening,stai aprendo,you are opening,sta aprendo,he/she is opening,stiamo aprendo,we are opening,state aprendo,you all are opening,stanno aprendo,they are opening
organizzare,to organize,sto organizzando,I am organizing,stai organizzando,you are organizing,sta organizzando,he/she is organizing,stiamo organizzando,we are organizing,state organizzando,you all are organizing,stanno organizzando,they are organizing
contenere,to contain,sto contenendo,I am containing,stai contenendo,you are containing,sta contenendo,he/she is containing,stiamo contenendo,we are containing,state contenendo,you all are containing,stanno contenendo,they are containing
uscire,to exit,sto uscendo,I am going out,stai uscendo,you are going out,sta uscendo,he/she is going out,stiamo uscendo,we are going out,state uscendo,you all are going out,stanno uscendo,they are going out
ridurre,to reduce,sto riducendo,I am reducing,stai riducendo,you are reducing,sta riducendo,he/she is reducing,stiamo riducendo,we are reducing,state riducendo,you all are reducing,stanno riducendo,they are reducing
comportare,to entail,sto comportando,I am entailing,stai comportando,you are entailing,sta comportando,he/she is entailing,stiamo comportando,we are entailing,state comportando,you all are entailing,stanno comportando,they are entailing
modificare,to modify,sto modificando,I am modifying,stai modificando,you are modifying,sta modificando,he/she is modifying,stiamo modificando,we are modifying,state modificando,you all are modifying,stanno modificando,they are modifying
risolvere,to resolve,sto risolvendo,I am solving,stai risolvendo,you are solving,sta risolvendo,he/she is solving,stiamo risolvendo,we are solving,state risolvendo,you all are solving,stanno risolvendo,they are solving
guardare,to look,sto guardando,I am watching,stai guardando,you are watching,sta guardando,he/she is watching,stiamo guardando,we are watching,state guardando,you all are watching,stanno guardando,they are watching
provvedere,to provide,sto provvedendo,I am providing,stai provvedendo,you are providing,sta provvedendo,he/she is providing,stiamo provvedendo,we are providing,state provvedendo,you all are providing,stanno provvedendo,they are providing
inserire,to insert,sto inserendo,I am inserting,stai inserendo,you are inserting,sta inserendo,he/she is inserting,stiamo inserendo,we are inserting,state inserendo,you all are inserting,stanno inserendo,they are inserting
cominciare,to begin,sto cominciando,I am starting,stai cominciando,you are starting,sta cominciando,he/she is starting,stiamo cominciando,we are starting,state cominciando,you all are starting,stanno cominciando,they are starting
applicare,to apply,sto applicando,I am applying,stai applicando,you are applying,sta applicando,he/she is applying,stiamo applicando,we are applying,state applicando,you all are applying,stanno applicando,they are applying
produrre,to produce,sto producendo,I am producing,stai producendo,you are producing,sta producendo,he/she is producing,stiamo producendo,we are producing,state producendo,you all are producing,stanno producendo,they are producing
destinare,to earmark,sto destinando,I am destining,stai destinando,you are destining,sta destinando,he/she is destining,stiamo destinando,we are destining,state destinando,you all are destining,stanno destinando,they are destining
comprendere,to understand/include,sto comprendendo,I am understanding,stai comprendendo,you are understanding,sta comprendendo,he/she is understanding,stiamo comprendendo,we are understanding,state comprendendo,you all are understanding,stanno comprendendo,they are understanding
assumere,to assume/hire,sto assumendo,I am assuming,stai assumendo,you are assuming,sta assumendo,he/she is assuming,stiamo assumendo,we are assuming,state assumendo,you all are assuming,stanno assumendo,they are assuming
sostituire,to replace,sto sostituendo,I am replacing,stai sostituendo,you are replacing,sta sostituendo,he/she is replacing,stiamo sostituendo,we are replacing,state sostituendo,you all are replacing,stanno sostituendo,they are replacing
seguitare,to continue,sto seguitando,I am continuing,stai seguitando,you are continuing,sta seguitando,he/she is continuing,stiamo seguitando,we are continuing,state seguitando,you all are continuing,stanno seguitando,they are continuing
sottolineare,to underline,sto sottolineando,I am underlining,stai sottolineando,you are underlining,sta sottolineando,he/she is underlining,stiamo sottolineando,we are underlining,state sottolineando,you all are underlining,stanno sottolineando,they are underlining
accedere,to access,sto accedendo,I am accessing,stai accedendo,you are accessing,sta accedendo,he/she is accessing,stiamo accedendo,we are accessing,state accedendo,you all are accessing,stanno accedendo,they are accessing
sviluppare,to develop,sto sviluppando,I am developing,stai sviluppando,you are developing,sta sviluppando,he/she is developing,stiamo sviluppando,we are developing,state sviluppando,you all are developing,stanno sviluppando,they are developing
giocare,to play,sto giocando,I am playing,stai giocando,you are playing,sta giocando,he/she is playing,stiamo giocando,we are playing,state giocando,you all are playing,stanno giocando,they are playing
